year,en_ADP ans_NOUN,en_ADP sang_NOUN
1800,1.006132621661493e-07,6.225445758900605e-07
1801,9.28661236798689e-08,8.643692694931815e-07
1802,9.175144555229053e-08,5.773627549388038e-07
1803,9.946729906396001e-08,9.439642099096091e-07
1804,9.887404028852131e-08,5.586383053923782e-07
1805,6.25433098644379e-08,7.789485039211286e-07
1806,1.6137346481315262e-07,4.956471002515173e-07
1807,1.5088862248546775e-07,6.177892828418408e-07
1808,1.427626639127766e-07,3.331128652916959e-07
1809,7.906607124574805e-08,6.280104685174592e-07
1810,1.4508786394529238e-07,4.844062573283736e-07
1811,8.273353602206157e-08,7.320664394683263e-07
1812,9.068508077803017e-08,7.334822385018924e-07
1813,7.476928232108548e-08,7.505685744035873e-07
1814,3.1466771410748606e-08,4.814415888176882e-07
1815,4.855002422310406e-08,1.046522697834007e-06
1816,5.7940095388175905e-08,9.826640052779112e-07
1817,6.383180817248757e-08,1.5724421018603607e-06
1818,6.318223921830679e-08,9.024331006912689e-07
1819,1.066158181739496e-07,1.111702772504941e-06
1820,4.509263007435038e-08,1.0145840860786848e-06
1821,1.0354562518521959e-07,8.135727966873674e-07
1822,1.3334069137727056e-07,8.481671329718665e-07
1823,4.348382143248841e-08,9.062424055628071e-07
1824,5.557934468214398e-08,8.800062687441823e-07
1825,4.138558074018306e-08,8.153839985425293e-07
1826,3.435113959948666e-08,5.927773258918023e-07
1827,6.544263980723386e-08,5.797664925921708e-07
1828,4.035812389835414e-08,7.356185847129382e-07
1829,5.658296359234427e-08,9.310469408774225e-07
1830,2.7135772739939057e-08,6.658701181549986e-07
1831,4.989185842241284e-08,1.183372546620376e-06
1832,3.9236911608675484e-08,9.105669391828997e-07
1833,3.938433690287013e-08,7.042846164040384e-07
1834,4.760610661236342e-08,5.040646442466823e-07
1835,9.756383434478266e-08,7.873174467931676e-07
1836,3.09154504218867e-08,7.869998057685734e-07
1837,3.478945287405111e-08,8.704321317054564e-07
1838,3.282324301245865e-08,8.666598318995966e-07
1839,6.711815891957684e-08,6.194446768859052e-07
1840,6.369688487772862e-08,7.20411776455876e-07
1841,9.052973348744331e-08,9.669346354712616e-07
1842,7.24492630332918e-08,7.439466003233974e-07
1843,3.544146692791017e-08,7.868005695854663e-07
1844,3.402907938765409e-08,8.161490541169769e-07
1845,2.566904799827796e-08,7.60585066927888e-07
1846,3.2785206105501175e-08,7.02540148722619e-07
1847,2.1572895470001185e-08,7.350963642238639e-07
1848,1.930853293918844e-08,7.538372983617592e-07
1849,4.7762666932626985e-08,8.161550226759573e-07
1850,3.2587180065490884e-08,5.66881169561384e-07
1851,3.4826968864365426e-08,6.617124199692626e-07
1852,2.79953455972759e-08,6.477992542386346e-07
1853,6.270528518648177e-08,6.545237170030305e-07
1854,3.273268556203135e-08,6.333514761536208e-07
1855,2.4411910715116392e-08,7.77466311774333e-07
1856,1.501384794266869e-08,8.097123895822733e-07
1857,4.58861838525948e-08,7.99591191480431e-07
1858,5.285170184832211e-08,6.102413863118272e-07
1859,2.9025388315062628e-08,5.968026925984304e-07
1860,1.968189100587381e-08,5.785560688309488e-07
1861,1.9807047502151676e-08,7.224856517495937e-07
1862,3.252950275811628e-08,6.379396495503897e-07
