year,en_ADP âges_NOUN,en_ADP ages_NOUN,en_ADP sage_NOUN
1800,1.2576657937302116e-08,3.144164484325529e-09,2.389564959237589e-07
1801,2.8574191901498125e-08,0.0,2.9764782039087834e-07
1802,1.1189200677108602e-08,0.0,2.864435373339802e-07
1803,3.900678446910888e-09,0.0,2.0283527923936617e-07
1804,7.4155526164076946e-09,0.0,3.015658236460439e-07
1805,0.0,2.842877711017877e-09,2.5017324656317896e-07
1806,2.305335300434308e-08,0.0,2.651135684317296e-07
1807,5.693910232196231e-09,0.0,1.6797035051752118e-07
1808,3.3991110370834576e-08,0.0,2.6966281252427393e-07
1809,0.0,0.0,1.3780086760561971e-07
1810,0.0,0.0,1.5444836609646018e-07
1811,5.0141535368197765e-09,0.0,2.582289031494156e-07
1812,5.067695596494559e-08,0.0,4.2141889045055336e-07
1813,2.8757416448144113e-09,0.0,2.0992914540052254e-07
1814,0.0,0.0,1.416004700161011e-07
1815,0.0,0.0,8.631115377966125e-08
1816,6.952811659743929e-09,0.0,1.4137383885781674e-07
1817,1.8682481339737933e-08,0.0,2.6155473809019725e-07
1818,2.384235475716423e-09,0.0,2.4557625777354986e-07
1819,1.035105001712111e-09,0.0,2.9396983336482663e-07
1820,1.779972080839798e-08,3.5599443393152796e-09,2.3258303016859827e-07
1821,1.8736827200882544e-08,0.0,3.5402744102963624e-07
1822,1.2030739071633434e-08,0.0,3.478888714880668e-07
1823,4.941343334508019e-09,0.0,2.3125486858788236e-07
1824,1.0105335235266466e-08,8.421112696055388e-10,3.031600588343508e-07
1825,2.641632912414593e-09,8.805443041381977e-10,3.310846516946242e-07
1826,1.6735169694470642e-08,0.0,1.7087488979328214e-07
1827,1.6591091167583727e-08,0.0,2.092320948721138e-07
1828,5.503380862137419e-09,9.172301251858528e-10,2.0637678233015322e-07
1829,1.457439946506156e-08,8.57317605795771e-10,2.0061232097745574e-07
1830,1.2524203008013046e-08,0.0,3.4754662436853323e-07
1831,1.5591206548037917e-08,0.0,1.5435293732046773e-07
1832,1.2176972319366541e-08,0.0,3.0307130982620833e-07
1833,1.9692167896323554e-08,0.0,1.9808004481092212e-07
1834,2.5203233278148218e-08,9.334530925997342e-10,1.6335428432157073e-07
1835,1.663879345414898e-08,0.0,1.2705987728622858e-07
1836,1.8818100855355624e-08,0.0,1.5323310575965365e-07
1837,1.3219993100221927e-08,0.0,2.1430303731584388e-07
1838,1.2624323808552163e-09,1.2624323808552163e-09,1.2371837110336514e-07
1839,6.9914749545318955e-09,6.9914751765765e-10,1.6290136750640727e-07
1840,1.2102408852854296e-08,0.0,1.0892167939813291e-07
1841,2.8250413564023802e-08,6.420548537278137e-10,1.2134836513411074e-07
