year,en_ADP alu_NOUN,en_ADP salut_NOUN
1800,0.0,0.0
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,3.900678446910888e-09
1804,2.4718509461507665e-09,9.887403784603066e-09
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,5.693910232196231e-09,1.9928686256776018e-08
1808,0.0,6.798221985349073e-09
1809,2.259030518203531e-09,4.518061036407062e-09
1810,9.360507036149102e-09,7.020380277111826e-09
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,2.0130190847567064e-08,2.8757416448144113e-09
1814,0.0,1.5733386149463513e-08
1815,2.697223555614414e-09,0.0
1816,0.0,6.952811659743929e-09
1817,1.556873407970727e-09,9.341240447824362e-09
1818,0.0,5.483741682965615e-08
1819,2.070210003424222e-09,1.7596784473994376e-08
1820,2.3732962262101864e-09,3.0852851828910843e-08
1821,1.97229765852569e-09,1.0847637454958203e-08
1822,3.0076847679083585e-09,5.012807946513931e-09
1823,1.9765373782121287e-09,4.941343334508019e-09
1824,8.421112696055388e-10,2.273700427934955e-08
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,8.807984341885344e-10,1.6735169694470642e-08
1827,0.0,5.438191053031005e-08
1828,9.172301251858528e-10,2.2930752408001354e-08
1829,8.57317605795771e-10,7.715858174606183e-09
1830,4.174734336004349e-09,2.2961039070068523e-08
1831,1.5591206103948707e-09,3.585977381703742e-08
1832,1.3529969367098715e-09,1.8941957335982806e-08
1833,5.791814139399776e-09,1.6217079235048004e-08
1834,1.8669061851994684e-09,2.0535967593104942e-08
1835,0.0,2.949604294144592e-08
1836,4.032449929525228e-09,4.301280043250699e-08
1837,6.957890930081589e-10,8.279890273410473e-08
1838,6.312161904276081e-10,1.9567702125300457e-08
1839,6.9914751765765e-10,3.076248944466897e-08
1840,1.9109065441114126e-09,8.917564020549662e-09
1841,3.852329122366882e-09,1.6051371787284552e-08
1842,6.708265054555795e-10,3.8237111255057243e-08
1843,5.906911071384968e-10,1.7720733325177207e-08
1844,2.195424508855126e-09,1.701453911095996e-08
1845,5.580227946389016e-10,1.562463758375543e-08
1846,1.1709002656346001e-09,1.8734404472198207e-08
1847,2.1572894581822766e-09,2.0494249852731627e-08
1848,2.4135665133151463e-09,1.609044275596716e-08
1849,1.6758829879393033e-09,5.865590679832167e-09
1850,3.394498016007219e-09,9.504594444820214e-09
1851,3.2247193804124663e-09,2.7087642351375507e-08
1852,1.3021090872200602e-09,2.2786908582261844e-08
1853,4.180352286553557e-09,1.2541057081705276e-08
1854,3.1173986725363534e-09,3.2213119116608624e-08
1855,1.5920811335945473e-09,4.563965916304369e-08
1856,6.212626857404757e-09,1.8120163147727908e-08
1857,4.393358177257056e-09,5.467290098426503e-08
1858,3.4255731584664773e-09,1.8106600552236785e-08
1859,5.601390462572908e-09,5.6523123515006546e-08
1860,2.288591982591015e-09,1.9224172476128842e-08
1861,3.3011746669586728e-09,2.4051415636883178e-08
1862,4.066187830886747e-09,2.3945327498609004e-08
1863,2.4973103585068657e-09,3.8958042125614156e-08
1864,2.397363974004918e-09,4.698833322436258e-08
1865,2.3534221238463715e-09,6.307171673824996e-08
1866,1.9462451650298362e-09,3.308616669528419e-08
1867,1.455843445796745e-09,1.1161466417775046e-08
1868,4.93987406535723e-10,1.531360993567432e-08
1869,4.395167341186834e-09,1.9534076911575937e-08
1870,1.1468097582678638e-09,2.121598052795548e-08
1871,6.37270636261178e-09,1.5931766128574054e-08
1872,7.256807044164759e-09,2.721302638786227e-08
1873,8.380406146812902e-09,5.9860045809045914e-09
1874,2.3898436563030145e-09,8.961914044203212e-09
1875,7.437985338754061e-09,6.293679688518239e-09
1876,4.232210137899983e-09,1.6928840551599933e-08
1877,8.658742167710898e-09,1.2369632429454214e-08
1878,7.850815331167382e-09,8.4547240319921e-09
1879,3.0546627449723474e-09,6.720257683667796e-09
1880,4.492492600149944e-09,7.059630879879819e-09
1881,9.761510710859511e-09,1.045876096839038e-08
