year,en_PRON aura_VERB,en_PRON saura_VERB
1800,5.68779341847403e-06,2.0122652699683385e-07
1801,5.674357907992089e-06,3.1907845254863787e-07
1802,5.679638434230583e-06,1.3427040812530322e-07
1803,5.377085017244099e-06,1.618781624301846e-07
1804,6.201873929967405e-06,2.4718508484511403e-07
1805,6.302660040091723e-06,2.5301611117356515e-07
1806,7.045680831652135e-06,1.9019016406218725e-07
1807,7.231265954033006e-06,2.0213381901612593e-07
1808,6.1659875427722e-06,2.334056148356467e-07
1809,5.918660008319421e-06,2.0331275152329908e-07
1810,6.8635918069048785e-06,1.7316938283329364e-07
1811,6.668824426014908e-06,1.1031137603367824e-07
1812,6.459978521888843e-06,1.8137015445063298e-07
1813,5.36038260179339e-06,1.5241430162404868e-07
1814,5.24236429555458e-06,1.7306724942045548e-07
1815,4.790269031218486e-06,1.3216394734172354e-07
1816,5.997958851367002e-06,2.0858435334503156e-07
1817,5.477080776472576e-06,3.253865372698783e-07
1818,5.8497216741670854e-06,2.384235529007128e-07
1819,6.232367013581097e-06,2.1737204747296346e-07
1820,5.592672550847055e-06,2.37329629726446e-07
1821,6.006632702337811e-06,2.8302471832830634e-07
1822,6.064495210011955e-06,3.6493241850621416e-07
1823,4.724912741949083e-06,2.0061854399955337e-07
1824,5.051825610280503e-06,2.484228218690987e-07
1825,4.96715028930339e-06,2.025251859549826e-07
1826,5.5120367505878676e-06,2.1755721490990254e-07
1827,6.4115351960936096e-06,1.834237366438174e-07
1828,5.510718438017648e-06,1.8803217471941025e-07
1829,5.86319492867915e-06,2.1347207734834228e-07
1830,6.237053185031982e-06,2.4422195110673783e-07
1831,5.318160219758283e-06,1.980083226271745e-07
1832,5.179272193345241e-06,3.991341088749323e-07
1833,5.099113423057133e-06,2.1313876175099722e-07
1834,6.0553102230187505e-06,1.978920494138947e-07
1835,5.580802735494217e-06,2.2613633632317942e-07
1836,6.149486125650583e-06,2.513560559691541e-07
1837,5.214243628870463e-06,2.0456199933960306e-07
1838,5.174078978598118e-06,2.0325161642631429e-07
1839,5.462439730763435e-06,1.99257044641854e-07
1840,5.010397217120044e-06,1.4395496350516623e-07
1841,4.939327936881455e-06,1.5922960017178411e-07
1842,4.669623194786254e-06,1.8581894778435526e-07
1843,5.108296591060935e-06,1.9079323010373628e-07
1844,4.700403678725706e-06,1.877087925095111e-07
1845,4.819642981601646e-06,1.244390830379416e-07
1846,5.171866632736055e-06,2.4120544139805133e-07
1847,5.377044089982519e-06,1.4561703665094683e-07
1848,4.691973117587622e-06,1.9308532728246064e-07
1849,4.678227469412377e-06,1.248532868203256e-07
1850,4.891471689916216e-06,1.4460562169915647e-07
1851,4.871906185144326e-06,1.7606967617211922e-07
1852,5.000749752070988e-06,1.490914911528307e-07
1853,4.585846454574494e-06,1.8214392127902101e-07
1854,5.020051048632013e-06,2.171787798488367e-07
1855,4.304987214709399e-06,1.857428060247912e-07
1856,4.611322310665855e-06,1.9155599773057475e-07
1857,4.295728103898e-06,2.3919395175653335e-07
1858,4.674928732129047e-06,2.0406629630542739e-07
1859,4.644062300940277e-06,2.0623302532385424e-07
1860,4.438953055796446e-06,1.6249002499080234e-07
1861,4.852726760873338e-06,2.249514636787353e-07
1862,4.781836651090998e-06,2.1008635542330012e-07
1863,4.593053290591342e-06,2.232595477380528e-07
1864,4.614445970219094e-06,2.1048855103344977e-07
1865,4.7011963033583015e-06,1.66151608027576e-07
1866,4.4413313844415825e-06,2.092213549076405e-07
1867,4.531555532594211e-06,1.8586267458431394e-07
1868,4.659783371607773e-06,1.807993896818516e-07
1869,4.339495262684068e-06,1.885038329874078e-07
1870,4.19847037846921e-06,1.823427453473414e-07
1871,4.048792561661685e-06,1.8799484280407341e-07
1872,4.208948212180985e-06,2.3161310025443527e-07
1873,4.213548436382553e-06,1.496501056408306e-07
1874,4.142793841310777e-06,1.750560443269933e-07
1875,4.685358362621628e-06,1.785116410246701e-07
1876,4.548417109617731e-06,1.8863566708660073e-07
1877,4.414721843204461e-06,1.836890390904955e-07
1878,3.911517524102237e-06,1.4554203175976e-07
1879,4.5441161091730464e-06,1.5334406100464548e-07
