year,mon_DET air_NOUN,mon_DET cerf_NOUN
1800,2.5467732811534916e-07,0.0
1801,2.857419119095539e-07,0.0
1802,2.6854081625060644e-07,0.0
1803,2.1843799924425866e-07,3.900678446910888e-09
1804,4.4740502147533334e-07,1.2359254508709228e-08
1805,2.3595885600968813e-07,8.528633133053631e-09
1806,1.786634866718373e-07,2.881669125542885e-09
1807,1.6512339939822596e-07,0.0
1808,1.31432294381284e-07,0.0
1809,2.82378817217932e-07,0.0
1810,5.101476219238066e-07,1.6380887313260928e-08
1811,3.083704456230407e-07,5.0141535368197765e-09
1812,1.7870294755084615e-07,5.3344164641089264e-09
1813,2.7894694198948855e-07,5.751483289628823e-09
1814,2.1397405092216104e-07,2.8320094713762956e-08
1815,2.1577787912008262e-07,5.394447111228828e-09
1816,1.46009039525552e-07,0.0
1817,3.6430836658496446e-07,9.341240669868967e-09
1818,3.4929049164134085e-07,2.384235431307502e-08
1819,2.3703904972194323e-07,9.315944904386697e-09
1820,3.453146142362584e-07,2.3732962262101864e-09
1821,3.5304127266044816e-07,9.861488070583846e-09
1822,2.2156611123591574e-07,0.0
1823,3.449057608406747e-07,1.1859224269272772e-08
1824,3.107390718071201e-07,7.326367779114662e-08
1825,3.4693444384004124e-07,7.044354655150187e-09
1826,2.0434524117263209e-07,0.0
1827,2.1291900154096766e-07,0.0
1828,2.825068889933391e-07,1.8344602503717056e-09
1829,2.6062456370823384e-07,1.714635211591542e-09
1830,2.170861836958693e-07,7.305785310052215e-09
1831,2.60373150595683e-07,2.0268567268999504e-08
1832,2.814233717174375e-07,2.841293511579579e-08
1833,2.5947328552433646e-07,4.6334514003376626e-09
1834,2.0162587244243468e-07,6.534171648198139e-09
1835,2.6243913708867694e-07,1.285724948729694e-08
1836,3.098265786150023e-07,2.0162250202737653e-09
1837,1.7325148338187546e-07,9.045257765016856e-09
1838,2.1713836595438352e-07,1.0730675681358548e-08
1839,1.475201329981246e-07,0.0
1840,1.6561191085173732e-07,1.9109065441114126e-09
1841,1.373997422504658e-07,3.2102742686390684e-09
1842,1.8514812083481047e-07,4.695785538189057e-09
1843,1.7366318783018642e-07,2.3627644285539873e-09
1844,1.0812466033627288e-07,5.488561272137815e-09
1845,1.858215874506186e-07,1.2276501593078137e-08
1846,1.6041333328331575e-07,1.6978054739880122e-08
1847,8.35949656163848e-08,7.550513103637968e-09
1848,1.0619692769608946e-07,3.218088684420195e-09
1849,1.0641857173254721e-07,1.6758829879393033e-09
1850,9.911934029105396e-08,1.8330289286438983e-08
1851,6.191460899529488e-08,3.8696632564949596e-09
1852,1.3281512689644615e-07,9.114763610540422e-09
1853,1.481039095807546e-07,1.0152283902442605e-08
