year,en_ADP eau_NOUN,en_ADP seaux_NOUN
1800,3.1787503758096136e-06,9.432493897065797e-09
1801,2.576439555923571e-06,7.143547975374531e-09
1802,1.4859258499200223e-06,1.3427040812530322e-08
1803,2.201932985057553e-06,0.0
1804,3.030489324373775e-06,4.943701892301533e-09
1805,2.771805839074659e-06,0.0
1806,1.8154515828427975e-06,2.881669125542885e-09
1807,1.3608445215140819e-06,8.540865348294346e-09
1808,1.4004336890138802e-06,0.0
1809,2.3855361632740824e-06,2.259030518203531e-09
1810,1.8884823020925978e-06,1.1700633795186377e-08
1811,1.5669229469494894e-06,1.2535384286138651e-08
1812,1.2935960285176407e-06,0.0
1813,4.155446731601842e-06,2.8757416448144113e-09
1814,1.2838443126383936e-06,0.0
1815,1.4484090797850513e-06,0.0
1816,2.1762300548289204e-06,0.0
1817,1.3918448757976876e-06,1.556873407970727e-09
1818,1.5902850138971303e-06,0.0
1819,1.3725492635785486e-06,0.0
1820,9.97971028482425e-07,0.0
1821,1.6942037053269132e-06,0.0
1822,1.7294187273364514e-06,3.0076847679083585e-09
1823,1.5199573006885458e-06,9.882686891060644e-10
1824,1.6134852103277808e-06,7.57900142644985e-09
1825,9.906123521474797e-07,8.805443041381977e-10
1826,1.0745741292339517e-06,2.642395191543301e-09
1827,1.295948550250614e-06,2.7651818612639545e-09
1828,1.5776357807917307e-06,5.503380862137419e-09
1829,1.1325165587550146e-06,1.2859763920403111e-08
1830,1.4121038334202751e-06,3.1310507520032616e-09
1831,1.3642305702887825e-06,0.0
1832,1.2853470745533002e-06,4.19429042608499e-08
1833,1.4502702546659307e-06,3.4750886612755494e-09
1834,1.1350789714814624e-06,9.334530925997342e-10
1835,1.5663155323863975e-06,7.563087933704082e-10
1836,1.5007434512881446e-06,6.720750067579218e-10
1837,1.0840394311095736e-06,6.262101948095733e-09
1838,1.4972448525440996e-06,6.9433778726590845e-09
1839,1.4038881772648892e-06,6.9914751765765e-10
1840,1.4242623365134932e-06,6.369688665408546e-10
1841,1.6276090946121258e-06,4.494383976094696e-09
1842,1.3577528821251406e-06,6.708265054555795e-10
1843,1.7366319041145495e-06,5.906911071384968e-10
1844,1.482460447732592e-06,1.097712254427563e-09
1845,1.506103540216408e-06,3.348136878855712e-09
1846,1.391614934398433e-06,5.854501328173001e-10
1847,1.3439913750801225e-06,1.0786447290911383e-09
1848,1.6235256907748408e-06,2.413566457803995e-09
1849,1.2527224966252248e-06,8.379414939696517e-10
1850,1.2641111135636152e-06,0.0
1851,1.2840832823712844e-06,2.579775504329973e-09
1852,9.987177236325806e-07,1.9531636308300904e-09
1853,1.5377724897902567e-06,3.5831591027601917e-09
1854,1.4958318388380576e-06,5.195664454227256e-10
1855,1.4493245217295225e-06,5.306937111981824e-09
1856,1.6701612384206754e-06,0.0
1857,1.3028747867793733e-06,3.905207268672939e-09
1858,1.2777388309626048e-06,4.893676130990343e-09
1859,1.353499639922262e-06,2.036869339860914e-09
1860,1.8111916695318087e-06,3.661747127736703e-09
1861,1.883084323139883e-06,9.431927461278633e-10
1862,1.8085498547648626e-06,3.162590411776023e-09
1863,1.7695941867401643e-06,9.989241656072068e-10
1864,1.517531341921341e-06,1.4384183844029508e-09
1865,1.7208223508369258e-06,2.3534221238463715e-09
1866,1.852338885832694e-06,4.865612801552288e-09
1867,1.6955722994538291e-06,3.396968040192405e-09
1868,2.0530117073036536e-06,1.4819622196071691e-09
1869,1.8576907141465426e-06,1.4650557433881772e-09
1870,2.1290523042338805e-06,5.734048791339319e-10
1871,2.2368199523725707e-06,0.0
1872,1.9557096111455508e-06,0.0
1873,2.254329380946274e-06,2.9930022904522957e-09
1874,2.2464530360366552e-06,6.572069999322139e-09
1875,1.9190002786828586e-06,8.010138052849669e-09
