year,on_PRON aura_VERB,on_PRON saura_VERB
1800,2.7995640948574874e-05,1.5406405964313308e-06
1801,2.8147959483248997e-05,1.4882391070614176e-06
1802,2.824601733664167e-05,1.1882931687523524e-06
1803,2.3667366804147605e-05,1.2872238244199252e-06
1804,2.1764647044619778e-05,1.3224402408695823e-06
1805,3.0381834449144662e-05,1.4100673908501449e-06
1806,3.21680718116113e-05,1.2938693885189423e-06
1807,2.1961412585369544e-05,1.0192099324513038e-06
1808,3.463240841483639e-05,1.060522635043526e-06
1809,2.712417926886701e-05,9.284615742899405e-07
1810,3.264242786826799e-05,1.0998595669775568e-06
1811,5.2500695346680004e-05,1.248524228003589e-06
1812,2.626399941618729e-05,1.2429190121565625e-06
1813,3.651329120657465e-05,1.291207993858734e-06
1814,3.2838722290762234e-05,1.4915248982561025e-06
1815,3.1158326692093397e-05,1.2272367655441485e-06
1816,3.452534429015941e-05,1.5991466426612533e-06
1817,1.7983444422497996e-05,1.4323235006941104e-06
1818,1.459628958855319e-05,1.120590710002034e-06
1819,1.9010738924407633e-05,1.3104429115173843e-06
1820,1.584293863743369e-05,1.191394744637364e-06
1821,1.6019987924664747e-05,1.5088076565916708e-06
1822,1.7760378341336036e-05,1.2822762727182635e-06
1823,1.3792277513857698e-05,1.1167436042569534e-06
1824,1.2813564694624802e-05,1.3574833985785517e-06
1825,1.5081081869539048e-05,1.0962776215706072e-06
1826,1.9068405435973546e-05,1.3159129110817958e-06
1827,1.705103341009817e-05,1.1392549339461766e-06
1828,1.5325997992476914e-05,1.1813923492809408e-06
1829,2.143379765584541e-05,1.2996934657394377e-06
1830,1.809538548513956e-05,1.4695064862735308e-06
1831,2.1041891841377947e-05,1.5170243727880006e-06
1832,1.631037775950972e-05,1.3354079726468626e-06
1833,2.311281400579901e-05,1.456062051374829e-06
1834,1.6768551404311438e-05,1.3367048268264625e-06
1835,1.7240815168406698e-05,1.2191697180696792e-06
1836,1.2985160992684541e-05,1.0887615360388736e-06
1837,1.799658480194921e-05,1.207194081587204e-06
1838,1.7376750520270434e-05,1.1008410041313255e-06
1839,1.83442318757443e-05,1.215817555078047e-06
1840,1.6179646308955853e-05,1.077751342393185e-06
1841,1.5451692433998687e-05,1.2725527085422073e-06
1842,1.5930117115203757e-05,1.2041335821777466e-06
1843,2.0201045572321163e-05,1.1288106804840936e-06
1844,1.6863055407156935e-05,1.2673088320980241e-06
1845,1.857602001109626e-05,1.248296996436693e-06
1846,1.5403778434119886e-05,1.200172803805799e-06
1847,1.9956545202148845e-05,1.2161718956349432e-06
1848,1.631249142519664e-05,1.1448350250020667e-06
1849,1.3518510513677029e-05,1.1044068628507375e-06
1850,1.5423920331159024e-05,1.1887532025411929e-06
1851,1.3942396662969259e-05,1.222813580170623e-06
1852,1.402501675329404e-05,1.1035374427592615e-06
1853,1.4253209883463569e-05,1.0946551327606358e-06
1854,1.3773186992693809e-05,1.164868010050668e-06
1855,1.328114058196661e-05,1.231209466823202e-06
1856,1.7156687135866378e-05,1.1451943109364038e-06
1857,1.288132580157253e-05,1.262358210851744e-06
1858,1.424206561750907e-05,1.2219508818134273e-06
1859,1.3237613529781811e-05,1.1666169115187586e-06
1860,1.2525463944257353e-05,1.171759080875745e-06
1861,1.4161567833070876e-05,1.1233425567525046e-06
1862,1.2782287058143993e-05,1.1814533991127973e-06
1863,1.2540493798951502e-05,1.218187989593389e-06
1864,1.2426496596162906e-05,1.167995719697501e-06
1865,1.3117033631715458e-05,1.140468384619453e-06
1866,1.2888522178400308e-05,1.0504858067861278e-06
1867,1.5323722664106754e-05,1.0627657331951923e-06
1868,1.7496539612693596e-05,1.0828203755863797e-06
1869,1.845823680923786e-05,1.1461619209285345e-06
1870,1.709606635813543e-05,1.064812863660336e-06
1871,1.4588187013941933e-05,1.1237205228553648e-06
1872,1.4871616258460563e-05,1.0836832160521226e-06
1873,1.814657230170269e-05,1.144524048868334e-06
1874,1.576042132001021e-05,1.0831966221758194e-06
1875,1.472721100981289e-05,1.2633131660777508e-06
1876,1.4223249308997765e-05,1.0931194793784016e-06
1877,1.688454722170718e-05,1.0848167022459165e-06
1878,1.671015866122616e-05,1.0991141436988983e-06
1879,1.4077107152843382e-05,1.1699358140049299e-06
1880,1.4423467973756487e-05,1.0936009857687168e-06
1881,1.4418448017750052e-05,1.0089218278608314e-06
1882,1.6184565993171418e-05,1.174009881310667e-06
1883,1.452120909561927e-05,1.0869263036283883e-06
1884,1.634646196180256e-05,1.035806249660709e-06
1885,1.5188495581242023e-05,1.0706201010179939e-06
1886,1.5417970871567377e-05,9.531766238524142e-07
1887,1.5945593077049125e-05,9.316775617662643e-07
1888,1.4934683804312954e-05,9.95476483467428e-07
1889,1.531450061520445e-05,9.905180888836185e-07
1890,1.369866777167772e-05,1.0847509770428587e-06
1891,1.63275647082628e-05,1.0989155327933986e-06
1892,1.364905915579584e-05,9.923054875571324e-07
1893,1.5171875020314474e-05,1.0253763349510336e-06
1894,1.608593947821646e-05,9.931226117032566e-07
1895,1.4115456451690989e-05,1.0189514654257437e-06
1896,1.4551508456861484e-05,9.877523581280911e-07
1897,1.3707926200368092e-05,9.608250763903925e-07
1898,1.3960293472337071e-05,1.0337814586591776e-06
1899,1.261448664990894e-05,9.75617567178233e-07
1900,1.2734172969430801e-05,9.842236465829046e-07
1901,1.326151823377586e-05,9.908833931149275e-07
1902,1.2201072877360275e-05,8.548804117936015e-07
1903,1.2595473435794702e-05,9.995807772611442e-07
1904,1.297165817959467e-05,1.069012981247397e-06
1905,1.2272284720893367e-05,1.0388608160383228e-06
1906,1.1588304687393247e-05,9.707076316090024e-07
1907,1.1648025747490465e-05,1.0362829527821305e-06
1908,1.1726923503374564e-05,9.999587859965686e-07
1909,1.194428546114068e-05,9.736741048982367e-07
1910,1.2322543170739664e-05,1.1511300499478239e-06
1911,1.1680349189191475e-05,1.0401331280718296e-06
1912,1.1753495982702589e-05,1.029381635930804e-06
1913,1.1522866088853334e-05,1.045219306661238e-06
1914,1.132218449129141e-05,1.1746088830477674e-06
1915,1.1680625448207138e-05,1.3783491965568828e-06
1916,1.2508126246757456e-05,1.1558809944745008e-06
1917,1.3062107882433338e-05,1.2249495853211556e-06
1918,1.118313616643718e-05,1.1210703121378174e-06
1919,1.054390668286942e-05,1.1058625943860534e-06
1920,1.1411352943468955e-05,9.404711818206124e-07
1921,1.1568128911676467e-05,9.450788809317601e-07
