year,un_DET satin_NOUN
1800,1.1633408547595536e-07
1801,1.2144030847593967e-07
1802,1.3650824826072494e-07
1803,5.070882025393075e-08
1804,3.460591457837836e-08
1805,2.842877755426798e-08
1806,5.76333825108577e-08
1807,5.4092146317685774e-08
1808,4.078933102391602e-08
1809,4.969867006821005e-08
1810,5.148279003108769e-08
1811,5.2648610804340024e-08
1812,1.8670457180292033e-08
1813,3.7384642270765767e-08
1814,3.461344810773426e-08
1815,8.091670444798638e-09
1816,4.1716869958463576e-08
1817,1.2454987263765815e-08
1818,2.8610825708597076e-08
1819,2.070209959015301e-08
1820,1.3527788667033747e-07
1821,1.4792232327920374e-08
1822,3.909990198280866e-08
1823,1.581229902569703e-08
1824,5.978990103017168e-08
1825,6.78019105304628e-08
1826,1.4092774947016551e-08
1827,3.410390903013649e-08
1828,1.2841221419535032e-08
1829,3.0006116702452346e-08
1830,3.235419265834594e-08
1831,7.795603096383275e-08
1832,8.659180672498934e-08
1833,3.590924946283991e-08
1834,1.8669062740173104e-08
1835,5.672315950278062e-08
1836,5.8470526198561856e-08
1837,7.792837664055696e-08
1838,5.680945847075236e-08
1839,4.055055502494298e-08
1840,3.439631796053888e-08
1841,1.219904177673925e-08
1842,3.6224630406422875e-08
1843,3.36693943836508e-08
1844,7.080243968893285e-08
1845,3.627148004170522e-08
1846,3.922516000898213e-08
1847,3.4516631330916425e-08
1848,1.609044275596716e-08
1849,4.273501730267526e-08
1850,3.869727649430388e-08
1851,4.063146263888484e-08
1852,3.841221940525941e-08
1853,2.9262466227919504e-08
1854,4.520228102933288e-08
1855,6.368324534378189e-08
1856,6.057311341400862e-08
1857,6.004256125624607e-08
1858,2.4468380155351355e-08
1859,5.092173416265666e-08
1860,3.204028783954094e-08
1861,4.197207559286653e-08
1862,4.87942522220397e-08
1863,2.9967724579638144e-08
1864,3.1165733105353866e-08
1865,2.7299697724636474e-08
1866,4.962925237439464e-08
1867,4.658699026549584e-08
1868,3.210918109175509e-08
1869,6.592751178313705e-08
1870,6.651496686771452e-08
1871,4.460894587055009e-08
1872,6.168286148522384e-08
1873,3.651462843201614e-08
1874,3.405527343458559e-08
1875,3.7762079130310156e-08
1876,8.887641911314859e-08
1877,4.08197848855707e-08
1878,5.012443438090486e-08
1879,6.414791586806246e-08
1880,4.428314070992201e-08
1881,4.392679869846816e-08
1882,4.525661734255948e-08
1883,3.602023063153936e-08
1884,5.215340781461464e-08
1885,4.447488777259423e-08
1886,4.5174246565693466e-08
1887,3.525619185484885e-08
1888,4.6286489086000415e-08
1889,4.5108982937858144e-08
1890,4.2603512107053376e-08
1891,3.888274235919198e-08
1892,4.576013878931917e-08
1893,5.234653960295432e-08
1894,3.591877373310126e-08
1895,4.8750777192907435e-08
1896,4.717623358629908e-08
1897,5.1275080958923525e-08
1898,4.809601605870739e-08
1899,6.135611840818456e-08
1900,5.762068921999486e-08
1901,4.694540578498163e-08
1902,5.008489623037349e-08
1903,2.9161189685211752e-08
1904,3.0097901060344157e-08
1905,2.8900250914620784e-08
1906,3.8066964413996374e-08
1907,3.4971334272881904e-08
1908,3.487086286391161e-08
1909,3.9056984924012994e-08
1910,4.1684376839157267e-08
1911,5.69280018680729e-08
1912,5.2094211611120045e-08
1913,5.196929953044105e-08
1914,4.553785615257766e-08
1915,2.4739600590351074e-08
1916,3.4061131692908475e-08
1917,3.180263163926611e-08
1918,2.8715941624568586e-08
1919,6.169258170984904e-08
1920,5.906340572181534e-08
1921,6.891200143854803e-08
1922,5.976127681606158e-08
1923,3.927900671385487e-08
1924,2.3204924093356283e-08
1925,5.0591619782380803e-08
1926,5.907453337616886e-08
1927,7.469980545238286e-08
1928,4.1133748851507335e-08
1929,4.67897081080082e-08
1930,2.9410089141812534e-08
1931,3.763767697506637e-08
1932,2.9590749406338546e-08
1933,3.9000251472742775e-08
1934,1.4377896206951846e-08
1935,2.8723881939640705e-08
1936,2.424942868728408e-08
1937,2.7700460591972842e-08
1938,2.2040865133021725e-08
1939,1.6823456405745674e-08
1940,5.0715658339584024e-09
1941,3.5418032950929046e-08
1942,4.247896612241675e-08
1943,1.7419411690866582e-08
1944,2.2492303131116387e-08
1945,1.9606536838523425e-08
1946,3.201854159584627e-08
1947,2.5033829231801974e-08
1948,3.9138795093762724e-08
1949,2.5524220959027843e-08
1950,3.722376362702562e-08
1951,3.091806477506509e-08
1952,2.7416489301046454e-08
1953,2.908933460776808e-08
1954,3.3226621232174125e-08
1955,2.3464020060259827e-08
1956,3.4012452632126156e-08
1957,2.827212136624624e-08
1958,3.8052319961678904e-08
1959,2.0927018340444192e-08
1960,4.0832916214927906e-08
1961,3.265634873628187e-08
1962,2.0294261215969556e-08
1963,3.944292514823644e-08
1964,4.319617330494907e-08
1965,1.6963335014441583e-08
1966,4.431259803538978e-08
1967,4.092178407244518e-08
1968,2.6499354238707085e-08
1969,3.905911682977603e-08
1970,3.311082119594744e-08
1971,2.723350611688602e-08
1972,3.1806909106535386e-08
1973,3.748978727458052e-08
1974,1.4626486688484874e-08
