year,mon_DET honneur_NOUN,mon_DET sonneur_NOUN
1800,1.7387229931387083e-06,0.0
1801,2.8788497843379446e-06,0.0
1802,1.9245425164626795e-06,0.0
1803,1.948388920425259e-06,0.0
1804,2.859931484522349e-06,0.0
1805,1.3475239875049283e-06,0.0
1806,1.9422450208139708e-06,0.0
1807,1.5800600543514065e-06,0.0
1808,1.2757996934453786e-06,0.0
1809,2.2341811884984963e-06,0.0
1810,3.2410755892442467e-06,2.3401267590372754e-09
1811,1.6095432897600404e-06,0.0
1812,1.2349173843517747e-06,0.0
1813,1.8836108139907992e-06,0.0
1814,1.9603799081835405e-06,0.0
1815,2.0660732271693405e-06,0.0
1816,2.0974315901867158e-06,0.0
1817,2.8070428612636533e-06,0.0
1818,1.9789155132343694e-06,0.0
1819,1.9190846600736222e-06,0.0
1820,3.949164863570331e-06,0.0
1821,3.7670885575380453e-06,1.2819934447350079e-08
1822,4.298984180195475e-06,0.0
1823,3.624969636462083e-06,0.0
1824,2.9608632274857882e-06,0.0
1825,2.3642615261110222e-06,0.0
1826,2.9903107119366723e-06,0.0
1827,2.3098486892081382e-06,0.0
1828,2.2343726158169375e-06,0.0
1829,2.1938758436590433e-06,0.0
1830,2.498578396625817e-06,0.0
1831,2.0611575024531703e-06,0.0
1832,2.3176836734251083e-06,0.0
1833,1.9669000757005506e-06,4.6334514003376626e-09
1834,2.3280319929597226e-06,5.600718555598405e-09
1835,3.4676758104978944e-06,7.563087933704082e-10
1836,2.8932828932681787e-06,0.0
1837,2.9153563332329213e-06,0.0
1838,2.571574775345198e-06,0.0
1839,2.388987063284276e-06,0.0
1840,1.9344743904525785e-06,0.0
1841,2.012199864509512e-06,0.0
1842,2.0855995899182744e-06,0.0
1843,1.949871375472867e-06,0.0
1844,1.995640850793734e-06,0.0
1845,1.741031102397983e-06,5.580227946389016e-10
1846,1.78855012578083e-06,0.0
1847,1.5532484098912391e-06,0.0
1848,1.7458131402747767e-06,0.0
1849,1.4177969909212607e-06,0.0
1850,1.7053958494273047e-06,0.0
1851,1.5117484792881442e-06,0.0
1852,1.7754256873558916e-06,0.0
1853,1.5873395149412772e-06,0.0
1854,1.8860261619124685e-06,0.0
1855,1.784192249942862e-06,0.0
1856,1.5448732568756895e-06,0.0
1857,2.0707362509142513e-06,0.0
1858,2.183068822603218e-06,0.0
1859,2.1000122600867144e-06,8.147477359443656e-09
1860,2.0130454743139126e-06,0.0
1861,2.0938879643495056e-06,0.0
1862,2.0344493236734706e-06,9.035972525772706e-10
1863,1.849508052487181e-06,0.0
1864,1.8972738686784396e-06,0.0
1865,1.7716562012992654e-06,0.0
1866,1.6805826525967404e-06,0.0
1867,1.5475615811055832e-06,0.0
1868,1.7250040507121867e-06,0.0
1869,2.4241788878498483e-06,0.0
1870,1.6095474393296172e-06,0.0
1871,1.8693271641723186e-06,0.0
1872,1.7706609938272777e-06,0.0
1873,2.2082370918496963e-06,0.0
1874,2.1305457096332248e-06,0.0
1875,1.8606406300136769e-06,1.1443054281912168e-09
1876,1.62879633336388e-06,6.04601479992084e-10
1877,1.7719498117685362e-06,0.0
1878,1.4952784042066014e-06,0.0
1879,1.664791174249558e-06,0.0
1880,1.7251170376653135e-06,1.2835692508872398e-09
1881,1.6308695123257166e-06,0.0
1882,1.7237447522688853e-06,6.655385131892899e-10
1883,1.6973744365600396e-06,0.0
1884,1.469537764364759e-06,6.601696966868076e-10
1885,1.216291508399081e-06,0.0
1886,1.3171519768206963e-06,0.0
1887,1.6394130284425046e-06,0.0
1888,1.1856949253541416e-06,0.0
1889,1.3488838987996132e-06,0.0
1890,1.193553806899672e-06,3.2771931834929546e-09
1891,1.040910131422379e-06,1.9122659011827636e-09
1892,1.23865810053303e-06,0.0
1893,1.074643709131351e-06,0.0
1894,9.691767317576705e-07,0.0
1895,1.2073341153495676e-06,0.0
1896,1.0944885602270915e-06,2.358811590497112e-09
1897,8.384640715064506e-07,0.0
1898,1.1560018933209903e-06,0.0
1899,1.0922494659837412e-06,0.0
1900,9.567111156627561e-07,0.0
1901,9.383492844960983e-07,0.0
1902,7.29668169441311e-07,0.0
1903,8.424343551638458e-07,0.0
1904,8.12105888314818e-07,0.0
1905,8.28817881881605e-07,0.0
1906,7.484788238087958e-07,0.0
1907,9.210832452311024e-07,0.0
1908,8.717715580530694e-07,0.0
1909,8.30648527738731e-07,0.0
1910,9.202627317961287e-07,5.344150677544235e-10
1911,7.794347851586281e-07,0.0
1912,1.0819968352393516e-06,0.0
1913,8.410541703085528e-07,0.0
1914,8.591921947243009e-07,0.0
1915,5.678327301694708e-07,0.0
1916,5.361881232346377e-07,1.0987462051303964e-09
1917,6.261828104925371e-07,1.0966424435210342e-09
1918,6.064806470362782e-07,0.0
1919,7.485980884069932e-07,0.0
1920,7.723676453963435e-07,0.0
1921,7.807502484524775e-07,0.0
1922,7.968170336880576e-07,7.377935484775833e-10
1923,8.567070182152747e-07,0.0
1924,9.101487030704902e-07,0.0
1925,9.93135436999637e-07,0.0
1926,9.351610295027513e-07,0.0
