year,en_PRON aie_VERB,en_PRON sais_VERB
1800,3.144164395507687e-08,1.8550569791386806e-07
1801,9.048493865293494e-08,2.0478169915350009e-07
1802,4.4756802708434407e-08,1.4769744893783354e-07
1803,6.436119548425268e-08,1.4432510297979206e-07
1804,1.6808586167371686e-07,2.941502579290045e-07
1805,1.1655798459742073e-07,2.558589926593413e-07
1806,1.3255677799861587e-07,5.878604758535744e-07
1807,7.971474502710407e-08,1.3950080779423502e-07
1808,9.517511045942229e-08,1.087715486569607e-07
1809,5.873479480555943e-08,1.9653565885846547e-07
1810,9.594519667643908e-08,1.918903902442537e-07
1811,5.264861258069686e-08,1.7800245011301286e-07
1812,3.7340914360584065e-08,2.2937990706850542e-07
1813,4.3136125782439194e-08,1.8692321157587344e-07
1814,1.2901375612273114e-07,2.0138733525243424e-07
1815,1.3216394734172354e-07,9.44028248905937e-08
1816,1.668674798338543e-07,2.549364204185167e-07
1817,1.4323235575375293e-07,2.1329165011962914e-07
1818,5.126106117359086e-08,3.230639062934415e-07
1819,8.9019032145643e-08,1.749327509514842e-07
1820,7.95054262425765e-08,1.7918386419069066e-07
1821,1.2425475404143072e-07,2.780939656332748e-07
1822,1.0426640528748976e-07,2.7369932809051534e-07
1823,1.2551012673611694e-07,1.976537351566776e-07
1824,1.2379035752019263e-07,2.618965915246463e-07
1825,1.215151144151605e-07,2.888185335336857e-07
1826,7.04638765114396e-08,2.536699357236216e-07
1827,7.650336897313537e-08,2.1384073978225615e-07
1828,6.604057034564903e-08,2.843413398068151e-07
1829,8.401712392469562e-08,2.4090624872741273e-07
1830,5.322786122974321e-08,2.5778984991120524e-07
1831,8.263339168479433e-08,2.4322281522159983e-07
1832,7.712082350508354e-08,1.799485913611676e-07
1833,5.09679658478035e-08,1.9112986449076885e-07
1834,4.1071935186209885e-08,2.1656111814927215e-07
1835,7.411826175030001e-08,3.56221455888317e-07
1836,6.25029770162655e-08,2.567326427005412e-07
1837,6.331680424409569e-08,1.6768516974963177e-07
1838,4.7341213615936795e-08,1.98201886014715e-07
1839,6.222413162504381e-08,2.50294823533892e-07
1840,5.6690229399691816e-08,1.758034087195881e-07
1841,5.072233477676491e-08,1.9133234419044243e-07
1842,6.305769062464606e-08,2.012479534130307e-07
1843,4.371114314949409e-08,1.6716558637330792e-07
1844,5.0494762149355665e-08,1.3117661179506968e-07
1845,5.245414413934668e-08,1.9642402371289336e-07
1846,4.507965911670908e-08,1.6334059216305263e-07
1847,5.501087940729121e-08,1.4885296995004182e-07
1848,4.183515400768556e-08,1.424004269501289e-07
1849,3.6869426622843093e-08,1.106082763158156e-07
1850,5.2275268558332755e-08,2.009542887648763e-07
1851,4.6435957301582675e-08,1.9283821828253167e-07
1852,4.492276417522589e-08,2.363327937793258e-07
1853,4.478948767427937e-08,1.6542251546347586e-07
1854,4.624141425324524e-08,2.021113408301467e-07
1855,6.315255518529739e-08,2.2925967968490113e-07
1856,4.970101485923806e-08,2.1226475482860607e-07
1857,6.638852312335075e-08,2.0160633007471063e-07
1858,4.991549573674092e-08,3.0536539386005757e-07
1859,6.568903643255908e-08,2.077606764405715e-07
1860,5.446849016266242e-08,2.8882029923238406e-07
1861,6.319391587794598e-08,2.3721297104373207e-07
1862,6.23482137029896e-08,2.9773529067189664e-07
1863,6.293222298836554e-08,2.532272644906186e-07
1864,9.54150891629979e-08,2.7329949814358656e-07
1865,6.542513375507042e-08,2.69231498206679e-07
1866,6.373952743388145e-08,2.189525862839048e-07
1867,4.464586567110018e-08,2.7321328133211864e-07
1868,6.57003269566303e-08,2.7564497262488885e-07
1869,6.299739396808945e-08,3.2377732761545985e-07
1870,5.160643823387545e-08,2.2936194632450224e-07
1871,4.248470730772169e-08,2.241068335351315e-07
1872,5.019291648977742e-08,2.908770246889958e-07
1873,5.447263973223926e-08,2.8732822787702617e-07
1874,5.675878611555163e-08,3.082898363260256e-07
1875,8.181783783811625e-08,3.369979566514303e-07
1876,6.590155976482492e-08,3.3615841488199294e-07
1877,7.978412952525105e-08,3.9520974937090614e-07
1878,5.3747889694477635e-08,3.24299048504173e-07
1879,7.331190232662266e-08,4.081029283398152e-07
1880,6.161132404258751e-08,3.086984103894963e-07
1881,5.299105865219644e-08,3.9046042754620203e-07
1882,7.387477296560974e-08,3.2677941863568094e-07
1883,5.750598575104959e-08,4.151805788055185e-07
1884,5.6114423330200225e-08,2.924551631977579e-07
1885,6.316722789279083e-08,2.829634100365297e-07
1886,5.162771188338411e-08,2.452316161249968e-07
1887,6.006610675513002e-08,3.0620656193969253e-07
1888,4.9456794215529953e-08,3.163966808550356e-07
1889,5.325366103647866e-08,2.7065389901492765e-07
1890,6.226667181863377e-08,2.956028311018599e-07
1891,5.16311828846483e-08,2.466823136870744e-07
1892,6.769993632360638e-08,2.595164072527467e-07
1893,4.310891554837326e-08,2.6481191661709147e-07
1894,3.843938856107343e-08,2.205538760513548e-07
1895,3.4306101071024386e-08,2.3051294184561755e-07
1896,2.7126333179694484e-08,2.2172828983979542e-07
1897,6.292850684985751e-08,2.6045408407782134e-07
1898,5.092519472782442e-08,3.17999531151969e-07
1899,3.703477347016815e-08,2.852230345240514e-07
1900,4.152842336679896e-08,2.1387138726680632e-07
1901,3.1855812210324075e-08,2.347270395830492e-07
1902,3.093478895266344e-08,1.640034832384174e-07
1903,3.7801541452608944e-08,2.095285465131269e-07
1904,5.697102523072317e-08,2.477702185643693e-07
1905,4.69629064525634e-08,2.0539820644316364e-07
1906,3.395161840558103e-08,2.191422638908591e-07
1907,4.371417006154843e-08,2.535421774751967e-07
1908,3.732655784460803e-08,2.2346820749419294e-07
1909,3.355599886845084e-08,1.6227901333820682e-07
1910,2.51175080734356e-08,2.3888354228063235e-07
1911,2.8730021028877673e-08,1.9898199399293048e-07
1912,2.8651816919023076e-08,2.3390301140402414e-07
1913,3.553003224965323e-08,1.871955368493161e-07
