year,en_ADP heure_NOUN,en_ADP soeur_NOUN
1800,7.231578251776227e-07,3.144164484325529e-09
1801,6.714934670526418e-07,1.4287095950749062e-08
1802,6.870169499961776e-07,0.0
1803,1.2111606793041574e-06,3.900678446910888e-09
1804,5.166168648429448e-07,7.4155526164076946e-09
1805,6.623905051128531e-07,2.842877711017877e-09
1806,6.656655955339374e-07,0.0
1807,5.608501396636711e-07,0.0
1808,6.254364279811853e-07,0.0
1809,8.697267617208126e-07,4.518061036407062e-09
1810,9.734927743920707e-07,0.0
1811,7.245452025017585e-07,0.0
1812,7.814920195414743e-07,0.0
1813,7.476928090000001e-07,0.0
1814,1.7023522786985268e-06,1.8880061958270744e-08
1815,1.1058616564696422e-06,2.697223555614414e-09
1816,7.138219757507613e-07,0.0
1817,6.881380727463693e-07,0.0
1818,7.534184192081739e-07,1.1921177378582115e-09
1819,7.12152257165144e-07,1.035105001712111e-09
1820,6.502831411125953e-07,3.5599443393152796e-09
1821,7.218609425763134e-07,2.9584463767662328e-09
1822,7.408930287056137e-07,7.017931125119503e-09
1823,1.0969782806569128e-06,6.917880934764753e-09
1824,1.0231651685899124e-06,1.6842225392110777e-09
1825,6.877050964249065e-07,0.0
1826,9.776862270882702e-07,1.7615968683770689e-09
1827,9.254142128156673e-07,1.8434546111834038e-09
1828,7.741422223261907e-07,1.8344602503717056e-09
1829,8.616041782261163e-07,0.0
1830,1.0593388424240402e-06,3.1310507520032616e-09
1831,9.83805080068123e-07,3.1182412207897414e-09
1832,1.2555811963466113e-06,5.411987746839486e-09
1833,1.107394837163156e-06,3.4750886612755494e-09
1834,9.92260652310506e-07,9.334530925997342e-10
1835,1.206312504109519e-06,1.5126175867408165e-09
1836,1.0739759090938605e-06,6.720750067579218e-10
1837,1.2558992921185563e-06,6.957890930081589e-10
1838,1.0036337698693387e-06,0.0
1839,9.137858114627306e-07,1.3982950353153e-09
1840,1.3166146572984871e-06,0.0
1841,9.695028211353929e-07,0.0
1842,1.2906701840620372e-06,6.708265054555795e-10
