year,ton_DET oeil_NOUN,ton_DET seuil_NOUN
1800,4.087413785214267e-08,3.144164484325529e-09
1801,2.143064325998978e-08,2.3811825844433088e-09
1802,4.0281122437590966e-08,4.475680270843441e-09
1803,3.1205427575287104e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,2.8428777332223376e-08,0.0
1806,2.0171683878800195e-08,2.881669125542885e-09
1807,4.270432762965015e-08,2.8469551160981155e-09
1808,3.172503593162901e-08,2.2660739951163578e-09
1809,1.3554183553310395e-08,0.0
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,0.0,0.0
1812,1.8670458068470452e-08,8.00162425207418e-09
1813,8.627224934443234e-09,5.751483289628823e-09
1814,9.440030979135372e-09,0.0
1815,8.091670666843243e-09,0.0
1816,1.3905623319487859e-08,1.622322720606917e-08
1817,4.826307620220405e-08,4.670620223912181e-09
1818,4.768470951432846e-09,3.5763532135746345e-09
1819,1.035105001712111e-08,1.3456364911235141e-08
1820,1.4239777357261119e-08,1.1866481131050932e-09
1821,4.2404399991369246e-08,1.3806083387635226e-08
1822,1.9048670196752937e-08,3.0076847679083585e-09
1823,2.668325560506446e-08,3.9530747564242574e-09
1824,1.51580028528997e-08,2.5263338088166165e-08
1825,2.5535783931829314e-08,8.805443485471187e-09
1826,2.3781557612068127e-08,6.1655889282974385e-09
1827,1.1982455028203276e-08,9.217273055917019e-10
1828,2.3847982533187206e-08,1.8344602503717056e-09
1829,7.715858452161939e-09,8.57317605795771e-10
1830,1.6698937344017395e-08,2.0873671680021744e-09
1831,5.768746147438719e-08,9.354723218280014e-09
1832,2.8412936226018815e-08,4.329590197471589e-08
1833,8.108540172635514e-09,2.4325620628928846e-08
1834,1.0267984240641681e-08,3.080395316601425e-08
1835,1.8907719834260206e-08,1.2100940693926532e-08
1836,6.720749956556915e-09,2.2850549896702432e-08
1837,4.870523762079415e-09,4.383471363667013e-08
1838,8.837026665986514e-09,3.787297142565649e-09
1839,1.3283802724473048e-08,3.355908262392404e-08
1840,1.2739377108772487e-08,2.993753511759678e-08
1841,5.778493683550323e-09,1.4125206782011901e-08
1842,8.049918065466954e-09,1.542900918138912e-08
1843,7.678984337289307e-09,5.906910960362666e-09
1844,1.3721402902788782e-08,1.0428266250528395e-08
1845,3.9061596734946136e-09,1.1718478631905782e-08
1846,1.0538102612756006e-08,1.6978054073746307e-08
1847,3.775256551818984e-09,2.2112217834546755e-08
1848,4.022610855525244e-09,4.02261068899179e-09
1849,5.02764896381791e-09,5.02764896381791e-09
1850,2.0366988096043315e-09,1.765138968323754e-08
1851,5.159551008659946e-09,1.2898877521649865e-08
1852,8.463709288974997e-09,2.2135854482741024e-08
1853,2.9859659189668264e-09,1.6124215962420863e-08
1854,6.2347975116061605e-09,1.195002835574499e-08
1855,5.306937111981824e-09,2.0166361025530932e-08
1856,1.035437813268203e-08,3.313401153448581e-08
1857,7.81041464836818e-09,2.636014878598658e-08
1858,4.404308417971237e-09,4.648992280031905e-08
1859,3.5645213447565993e-09,3.920973390414417e-08
1860,6.865776031039772e-09,2.7920822320837146e-08
1861,6.602349278406194e-09,2.640939761322514e-08
1862,9.035972914350765e-09,1.671654992208005e-08
1863,6.99246927027275e-09,1.6981710260211003e-08
1864,5.2742007428108195e-09,2.876836791010362e-08
1865,4.236159978354692e-09,3.0123804117820896e-08
1866,8.271541951376804e-09,1.6056523222118813e-08
1867,4.85281148598915e-09,1.7955402498159856e-08
1868,4.93987406535723e-09,1.0373735981339394e-08
1869,4.8835191446272574e-09,2.588265080039065e-08
