year,en_PRON avaient_VERB,en_PRON savaient_VERB
1800,4.1943153519241605e-06,1.0061326349841693e-07
1801,4.167069619143149e-06,7.857902772911984e-08
1802,3.461938604232273e-06,2.4616241489638924e-08
1803,4.130818524572533e-06,6.046051481689574e-08
1804,5.54436155653093e-06,6.673997887673977e-08
1805,3.8606281123065855e-06,7.675770063997334e-08
1806,4.391663878777763e-06,2.305335300434308e-08
1807,6.76721219861065e-06,6.547996633798903e-08
1808,4.545744559436571e-06,2.039466551195801e-08
1809,5.604654688795563e-06,5.6475762733043666e-08
1810,5.227843303146074e-06,5.3822915901946544e-08
1811,6.7014161686529405e-06,9.025476543911282e-08
1812,5.870525455975439e-06,7.734903562095496e-08
1813,6.594075784960296e-06,1.121539270343419e-07
1814,5.185724148759618e-06,5.349351184236184e-08
1815,6.748453415639233e-06,6.74305908887618e-08
1816,5.270231213216903e-06,1.0429217667251578e-07
1817,6.973235940677114e-06,1.6191484064620454e-07
1818,7.928774721221998e-06,1.81201897930805e-07
1819,7.882325007813051e-06,1.811433776310878e-07
1820,7.976648703333922e-06,1.5307760747873544e-07
1821,7.99174995336216e-06,1.3510238261460472e-07
1822,8.289179277198855e-06,1.3634837614517892e-07
1823,8.03363582235761e-06,8.993244904331732e-08
1824,9.045958904607687e-06,8.842168597311684e-08
1825,8.558890840504318e-06,1.5937851571834472e-07
1826,8.394889846385922e-06,7.662946188702335e-08
1827,8.414448529947549e-06,1.0692036767068203e-07
1828,8.786147191131022e-06,7.979902250099258e-08
1829,1.0257805115543306e-05,1.9546841656392644e-07
1830,8.905752110877074e-06,1.315041373572967e-07
1831,7.259265657921787e-06,1.2317052267007966e-07
1832,7.430659024976194e-06,1.2853470821028168e-07
1833,8.35643004393205e-06,1.0656938087549861e-07
1834,8.376808182219975e-06,1.0454674281845655e-07
1835,8.500154763169121e-06,1.1798417176578369e-07
1836,8.39085623738356e-06,8.064900214321824e-08
1837,8.28684824227821e-06,1.4959465488573187e-07
1838,8.883105692802928e-06,1.117252637072852e-07
1839,8.414939657086506e-06,1.2165166651811887e-07
1840,1.0041177120001521e-05,1.4140708515242295e-07
1841,8.245910066762008e-06,1.5666138608594338e-07
1842,9.207764378516003e-06,1.0531976357697204e-07
1843,8.063524546741974e-06,7.383638944702398e-08
1844,8.798163435130846e-06,1.1965063606567128e-07
1845,8.64209869178012e-06,1.2611315014510183e-07
1846,8.5780156950932e-06,1.4987523400122882e-07
1847,8.796887414064258e-06,1.003139615818327e-07
1848,7.74433010519715e-06,9.97607472186246e-08
1849,7.182834451668896e-06,7.0387088157986e-08
1850,7.687858669669367e-06,1.1609183303562531e-07
1851,7.973440915520769e-06,1.30923609731326e-07
1852,7.68374593462795e-06,1.3086196304357145e-07
1853,7.75335865910165e-06,9.43565225952625e-08
1854,7.281204034370603e-06,9.248282850649048e-08
1855,7.753966201562434e-06,1.427566047595974e-07
1856,7.826356522855349e-06,1.216639446965928e-07
1857,7.266614375112113e-06,1.1910881880794477e-07
1858,7.091915449564112e-06,1.3359735362428182e-07
1859,7.631640073668677e-06,9.013146495817637e-08
1860,7.469506272173021e-06,1.0664838612228777e-07
1861,6.9890584200038575e-06,1.0988195242589427e-07
1862,7.088720394676784e-06,9.984749738123355e-08
1863,7.216727681225166e-06,1.0538649775071462e-07
1864,6.921189651620807e-06,1.0020981733305234e-07
1865,7.088036909408402e-06,1.2755548084442125e-07
1866,6.759309599146945e-06,1.4061620845495781e-07
1867,6.3911525103321765e-06,1.1840860025813527e-07
1868,6.572502570634242e-06,8.447184995930002e-08
1869,6.571751782757929e-06,1.1964621648985485e-07
1870,6.592435966012999e-06,1.2958950890151755e-07
1871,6.574508915946353e-06,7.328612383616928e-08
1872,7.007656677160412e-06,1.1489944995446422e-07
1873,6.276924068515655e-06,6.165584665041024e-08
1874,6.327708433673251e-06,1.350261698007671e-07
1875,6.275371106312377e-06,7.09469389903461e-08
1876,6.067175945645431e-06,8.706261667157378e-08
1877,5.981335561955348e-06,9.339072448710795e-08
1878,5.847045486007119e-06,1.1353486684129166e-07
1879,6.09283006269834e-06,1.435691387996485e-07
1880,5.674659860233078e-06,1.0461089061664097e-07
1881,5.483179847942665e-06,1.0877111833451636e-07
1882,5.532621798920445e-06,8.718554767028763e-08
1883,5.497824986377964e-06,7.140852886777793e-08
1884,5.640489689540118e-06,8.516189353713344e-08
1885,5.407888238551095e-06,9.023889901982329e-08
1886,5.3292706070351414e-06,7.615087582735214e-08
1887,4.934561275149463e-06,1.0838014929959172e-07
1888,5.277927812130656e-06,1.1730136861842766e-07
1889,5.503922693606e-06,9.710961990094802e-08
1890,5.1779652494587936e-06,6.88210590737981e-08
1891,4.871179044130258e-06,1.0262494498647357e-07
1892,4.9671693886921275e-06,9.026658176480851e-08
1893,5.0967055358341895e-06,6.096832549928877e-08
1894,5.2454010983638e-06,5.1672621736997826e-08
1895,5.421567948360462e-06,7.82419888878394e-08
1896,5.057292128185509e-06,8.845543675306544e-08
1897,4.811699909623712e-06,5.2440423559119154e-08
1898,5.095914275443647e-06,6.393941021087812e-08
1899,4.702863861894002e-06,8.346643198819947e-08
1900,4.571241333906073e-06,9.291984781611973e-08
1901,4.615739271685015e-06,8.830207320897898e-08
1902,3.8693037822667975e-06,5.9414436037741325e-08
1903,4.4897433326696046e-06,6.53426681651581e-08
1904,4.4394405449565966e-06,1.0426772689697827e-07
1905,4.7143535084615e-06,5.7800502162308476e-08
1906,4.638511200028006e-06,6.481672443214848e-08
1907,4.502045158005785e-06,9.668545430940867e-08
1908,4.314164016250288e-06,7.858222517143076e-08
1909,4.354578777565621e-06,8.251475236420447e-08
1910,4.225620159559185e-06,6.680188135987919e-08
1911,4.213736247038469e-06,4.8947441655400326e-08
1912,4.438426913111471e-06,7.866226070518678e-08
1913,3.970348188886419e-06,8.643873172786698e-08
1914,4.381009603093844e-06,5.49132970206756e-08
1915,4.786523732036585e-06,5.654765544704787e-08
1916,4.475193236430641e-06,9.229468389548856e-08
1917,4.960113983543124e-06,8.334482259897413e-08
1918,4.55664530818467e-06,1.1026921242773824e-07
1919,4.64628010377055e-06,9.207848705727883e-08
1920,4.397952125145821e-06,8.405176998849129e-08
1921,4.08246796723688e-06,6.058198209757393e-08
1922,4.223868018016219e-06,7.377935418162451e-08
1923,4.123234248254448e-06,7.537322943562685e-08
1924,3.832679794868454e-06,6.316896161706609e-08
1925,4.017634182673646e-06,7.91868828287079e-08
1926,4.121841811866034e-06,9.251294841305935e-08
1927,4.032674496556865e-06,7.358488574027433e-08
1928,3.927130364900222e-06,8.569531217972326e-08
1929,3.886887952830875e-06,8.355304714768863e-08
1930,3.8789808058936615e-06,7.352522146675255e-08
1931,3.839043074549409e-06,5.360517718600022e-08
1932,3.6593892218661495e-06,5.589363638591749e-08
1933,3.709612201419077e-06,8.947116469926186e-08
1934,3.7694051115977345e-06,5.870974462141021e-08
1935,3.4468657759134658e-06,6.462873614054843e-08
1936,3.3573335258552106e-06,6.426098764222843e-08
1937,3.7118616091902368e-06,6.673292318737367e-08
1938,3.501904529912281e-06,8.81634605320869e-08
1939,3.4319848509767326e-06,8.105846660555471e-08
1940,3.3954133868974168e-06,6.085878823114399e-08
1941,4.114394414500566e-06,7.67390702094417e-08
1942,3.920201834262116e-06,9.102635090130207e-08
1943,4.4884018279844895e-06,9.580676163523094e-08
1944,4.042188265884761e-06,6.7476911169706e-08
1945,4.577037088893121e-06,1.285317381416462e-07
1946,4.076099230587715e-06,7.65660743695662e-08
1947,4.080513917870121e-06,7.390939771312333e-08
1948,3.859520347759826e-06,5.762100485640076e-08
1949,3.5115438095090212e-06,6.97007607186606e-08
1950,3.3129151688626735e-06,6.806631347444636e-08
1951,3.6195458505972056e-06,8.848963517493758e-08
1952,3.2488540000485955e-06,8.752187596883232e-08
1953,3.584452315408271e-06,5.171437322815109e-08
1954,3.345139020893839e-06,6.645324646115114e-08
1955,3.3853887089208e-06,7.977766358635563e-08
1956,3.167518570990069e-06,5.755953580433015e-08
1957,3.2689638373994967e-06,7.333080986882123e-08
1958,3.3088974760175915e-06,7.52774127477096e-08
1959,3.1669555937696714e-06,5.2705086517335076e-08
1960,3.240334081056062e-06,8.789458405544792e-08
1961,3.244790377721074e-06,8.198828282957038e-08
1962,3.3333321880490985e-06,7.420089076504155e-08
1963,3.4444665288901888e-06,7.56528208967211e-08
1964,3.43379178957548e-06,8.21335746081786e-08
1965,3.3373992209817516e-06,6.621172587983892e-08
1966,3.3611106573516736e-06,7.588532469071652e-08
1967,3.2752218430687208e-06,7.592716855242543e-08
1968,3.815008767560357e-06,8.219291203204193e-08
1969,3.6415813156054355e-06,5.450109341609277e-08
1970,3.146447625113069e-06,7.541908786379281e-08
1971,3.151892997266259e-06,5.7550053611521435e-08
1972,3.1642746307625202e-06,5.7457643976022155e-08
1973,3.198760850864346e-06,7.001769120051904e-08
1974,3.1300680802814895e-06,6.863197654638498e-08
1975,2.9139971502445405e-06,6.282628106646371e-08
1976,2.964749000966549e-06,5.88493271891366e-08
1977,2.9801160508213798e-06,7.169673921225694e-08
1978,3.08851349473116e-06,5.762373689321976e-08
1979,3.069359991059173e-06,5.910493072747158e-08
1980,2.901701009250246e-06,6.253665674194053e-08
1981,2.9584596177301137e-06,6.00927236860116e-08
1982,2.9926368370070122e-06,5.462602103989411e-08
1983,2.928411959146615e-06,6.567928778622445e-08
1984,3.0189637527655577e-06,6.610869718315371e-08
1985,2.9157408789615147e-06,6.917891681723631e-08
1986,3.0751709800824756e-06,7.553051517561471e-08
1987,2.9448026452882914e-06,7.210763897091965e-08
1988,3.1098127237783046e-06,6.11648474091453e-08
1989,3.3087887914007297e-06,6.805271368648391e-08
1990,2.95698282570811e-06,7.737084217751544e-08
1991,2.999311845996999e-06,7.209602159718997e-08
1992,3.0728958790859906e-06,7.107828281505135e-08
1993,3.092539600402233e-06,7.53332187741762e-08
1994,3.072117351621273e-06,7.859640760443654e-08
1995,3.0772407626500353e-06,8.350573921234172e-08
1996,3.0272319690993754e-06,5.97866289808735e-08
1997,2.9886577976867557e-06,5.7538734665740776e-08
1998,2.973405344164348e-06,6.484656012162304e-08
1999,3.043754077225458e-06,6.581089451174194e-08
2000,3.0210499062377494e-06,6.361965176893136e-08
2001,3.0659718959213933e-06,9.069108131143366e-08
2002,3.122058387816651e-06,7.491888709409977e-08
2003,3.251449925301131e-06,7.25044557725596e-08
2004,3.0859966955176787e-06,6.739330871141647e-08
2005,3.120197789030499e-06,8.602161472026637e-08
2006,3.267957481511985e-06,8.112242966262784e-08
2007,3.353764896019129e-06,1.222310714865671e-07
2008,3.253961040172726e-06,9.834685954501765e-08
2009,3.6576805086951936e-06,1.1634389807113621e-07
2010,4.005776645499282e-06,1.2045671837768168e-07
2011,4.031613570987247e-06,1.4684052018765215e-07
2012,4.8588899517199025e-06,1.657871138149858e-07
2013,4.99086036143126e-06,1.7571487376244477e-07
2014,5.435484126792289e-06,2.0355184915388236e-07
2015,5.12959877596586e-06,1.759960923664039e-07
2016,5.279638571664691e-06,1.6612146680472506e-07
2017,4.78066795039922e-06,1.7332561697003257e-07
2018,5.096331733511761e-06,1.9877293766512594e-07
2019,4.991773039364489e-06,1.8009973246080335e-07
