year,son_DET entier_ADJ,son_DET sentier_NOUN
1800,2.6222330689051887e-06,2.5153315874604232e-08
1801,2.4216626570705557e-06,9.524730337773235e-09
1802,2.853246087397565e-06,2.2378401354217203e-08
1803,2.4437749743810855e-06,2.3404070459420723e-08
1804,2.3779205093887867e-06,7.4155526164076946e-09
1805,2.370959919062443e-06,1.421438877713399e-08
1806,2.1814234969497193e-06,2.881669125542885e-09
1807,2.3430441160599003e-06,2.8469551160981155e-09
1808,2.4813509753585095e-06,2.4926813058101516e-08
1809,2.61595732808928e-06,9.036122072814123e-09
1810,2.1833382106706267e-06,2.106114038724627e-08
1811,2.5145980089291697e-06,0.0
1812,2.419157908661873e-06,2.6672082320544632e-09
1813,2.312096285095322e-06,3.163315653864629e-08
1814,2.640062120917719e-06,3.4613449884091096e-08
1815,2.672948539839126e-06,2.697223555614414e-09
1816,2.848335270755342e-06,0.0
1817,2.5268054741900414e-06,0.0
1818,2.2078020265325904e-06,1.3113295338484932e-08
1819,2.526691332604969e-06,3.1053151161586356e-09
1820,2.328203663637396e-06,1.779972080839798e-08
1821,2.5945575998775894e-06,4.930744257336528e-09
1822,2.5986396394728217e-06,1.5038423839541792e-08
1823,2.647571818670258e-06,1.7788837070042973e-08
1824,2.8193885555083398e-06,1.1789557774477544e-08
1825,2.6213804176222766e-06,1.0566531649658373e-08
1826,2.22753919842944e-06,1.8496766784892316e-08
1827,2.687756932573393e-06,1.7512819638909605e-08
1828,2.8122276489739306e-06,2.2930752408001354e-08
1829,2.687690766833839e-06,1.457439946506156e-08
1830,2.5904225822159788e-06,2.817945699007396e-08
1831,2.374540599703323e-06,1.7150326492298973e-08
1832,2.4624544039397733e-06,5.2766881641908014e-08
1833,2.482371655787574e-06,2.20088942626262e-08
1834,2.6799439183378126e-06,2.7070139907436896e-08
1835,2.7915357350138947e-06,1.2100940693926532e-08
1836,2.9793084195262054e-06,4.5701099793404865e-08
1837,2.883349907278898e-06,2.1569461661208322e-08
1838,2.6624697966326494e-06,2.2092566664966284e-08
1839,2.497354898878257e-06,2.237272100913401e-08
1840,2.455514959365246e-06,6.560779297615227e-08
1841,2.91813921649009e-06,6.484754333513365e-08
1842,2.7611220048129326e-06,5.43369451655451e-08
1843,2.357448238399229e-06,3.898561473647533e-08
1844,2.939124669865123e-06,3.67733621886579e-08
1845,2.6176849132752977e-06,1.9530798311961917e-08
1846,2.5186063794535585e-06,3.981061014179943e-08
1847,2.5434442250116263e-06,2.8044762956369595e-08
1848,2.4433338694507256e-06,1.2872355126258839e-08
1849,2.4509788545401534e-06,4.692472543865733e-08
1850,2.302148459421005e-06,3.394497838371535e-08
1851,2.2231215552892536e-06,3.4826968864365426e-08
1852,2.412157073194976e-06,4.557381916292513e-08
1853,2.458644303260371e-06,3.463720288365835e-08
1854,2.371820755797671e-06,2.597832238215858e-08
1855,2.4677258352312492e-06,5.200798369742188e-08
1856,2.4125702111632563e-06,6.523258322399528e-08
