year,rien_PRON en_ADP,rien_PRON sans_ADP
1800,3.669239916348488e-06,1.2891074732124252e-06
1801,5.107636482648559e-06,1.5977735543515337e-06
1802,4.6412806113949046e-06,1.3673202943209617e-06
1803,4.2770939643332895e-06,1.7631066029366593e-06
1804,4.006870526040984e-06,1.7352393655301057e-06
1805,3.7014267491031205e-06,1.617597469305565e-06
1806,3.890253410077094e-06,1.4379528465724434e-06
1807,4.082533550331391e-06,9.96434312838801e-07
1808,3.661975569002607e-06,1.4593516368677228e-06
1809,3.6144488859690682e-06,1.3486411987173597e-06
1810,4.743437131082828e-06,1.439177907514022e-06
1811,3.6879099383213543e-06,1.3437931833948369e-06
1812,3.144638469620986e-06,9.975358441494109e-07
1813,3.6119316035865268e-06,1.5874093861611982e-06
1814,3.7319590404649716e-06,1.3688045328308363e-06
1815,3.3067961595634188e-06,1.726223132436644e-06
1816,5.084822930712107e-06,1.7451556999503737e-06
1817,4.563195879825344e-06,2.073755304365932e-06
1818,4.526471087729078e-06,1.493723519985224e-06
1819,4.631059923099201e-06,1.7555381219835908e-06
1820,5.109706748385179e-06,1.9959421493354057e-06
1821,5.553003987301963e-06,2.1606521229955433e-06
1822,5.3386404061939174e-06,1.9961000532475737e-06
1823,4.9364019005793125e-06,1.990373171167903e-06
1824,4.949087909267291e-06,1.9478033159714414e-06
1825,4.557697252494108e-06,1.8685150493524816e-06
1826,3.963593030675838e-06,1.7069873763375654e-06
1827,3.989235878520958e-06,1.752203562688237e-06
1828,4.159638713474578e-06,1.5968976114777433e-06
1829,4.464052764774351e-06,1.718064453370971e-06
1830,4.304150891698555e-06,1.5279528113865126e-06
1831,3.6265145695324463e-06,1.5965394624117835e-06
1832,3.73833059086337e-06,1.4598837339008242e-06
1833,3.5874496404630918e-06,1.633291628166944e-06
1834,4.0138483541340975e-06,1.5803361392840998e-06
1835,4.480373291926298e-06,1.430936229951385e-06
1836,5.4538889031618965e-06,1.652632413140509e-06
1837,4.693097238828159e-06,1.6058811915797833e-06
1838,4.7480081235562466e-06,1.692921841822681e-06
1839,4.16272420977748e-06,1.4409429986983469e-06
1840,4.6180241497495444e-06,1.619811868636134e-06
1841,4.323597494249043e-06,1.3971114185551414e-06
1842,4.612602907627661e-06,1.6073002981897844e-06
1843,5.144328810047227e-06,1.5464292744127306e-06
1844,4.629601548344908e-06,1.5785102398524486e-06
1845,4.694645568292799e-06,1.5747402812849032e-06
1846,4.594612761366079e-06,1.482359706983516e-06
1847,3.8054585189684076e-06,1.409788669803902e-06
1848,3.892278314765463e-06,1.4545760613771108e-06
1849,3.788333501120178e-06,1.1513316238165316e-06
1850,4.027911302273424e-06,1.5478910668775825e-06
1851,3.845155376325238e-06,1.3518023393999101e-06
1852,4.174561595959858e-06,1.4798469933907654e-06
1853,4.298596337548588e-06,1.4888025674508754e-06
1854,4.973809438979515e-06,1.680277833315813e-06
1855,4.449866764844046e-06,1.563423644768136e-06
1856,4.89813861292987e-06,1.4252802316150337e-06
1857,4.530040428107895e-06,1.6797273030277893e-06
1858,4.338243627444172e-06,1.372676170063869e-06
1859,4.223957887461438e-06,1.4874238587481159e-06
1860,4.00091667529523e-06,1.3704088246413448e-06
1861,4.279265311879499e-06,1.5227846716925342e-06
1862,4.316032388373969e-06,1.4181959109293985e-06
1863,4.1655138147689286e-06,1.493391629026064e-06
1864,4.401081014293595e-06,1.348277528734343e-06
1865,4.6192970444280945e-06,1.3607486550881731e-06
1866,4.372726394308302e-06,1.5438589819893878e-06
1867,3.8075159807249292e-06,1.26367206298994e-06
1868,4.021551575306148e-06,1.2468241621377274e-06
1869,3.832585832697077e-06,1.4015699463243436e-06
1870,3.991471572817318e-06,1.4736505491441676e-06
1871,3.442323446734008e-06,1.1693915737964744e-06
1872,3.77051605937595e-06,1.3933069453742064e-06
1873,3.7436472979379687e-06,1.249877680464806e-06
1874,3.437790113025585e-06,1.1244214732641922e-06
1875,3.815114226313199e-06,1.394908338170353e-06
1876,3.7092301141683492e-06,1.324077249620359e-06
1877,3.3960824765699726e-06,1.1874847203330319e-06
1878,3.3196869395624162e-06,1.1746027190895347e-06
1879,3.6857558853853334e-06,1.1931512595708682e-06
1880,3.283370119788742e-06,1.0916756281176276e-06
1881,3.0072425687421855e-06,1.002646580872124e-06
1882,3.3443309490621687e-06,1.3357357815380055e-06
1883,3.402332183100043e-06,1.0812389277248258e-06
1884,3.1358060113007014e-06,1.1414333727088888e-06
1885,3.1074410316023204e-06,1.0216332952950324e-06
1886,3.0066688552210508e-06,9.080023843921481e-07
1887,3.1116854444235287e-06,1.0544212756258275e-06
1888,2.987063695059078e-06,1.027179591162053e-06
1889,2.9909763696878144e-06,9.817469219797204e-07
1890,2.7711947154784866e-06,9.641502458634932e-07
1891,2.7855340505311688e-06,8.866539982221866e-07
1892,2.9230073437247484e-06,9.064268766678651e-07
1893,2.923400316490188e-06,8.744951323080841e-07
1894,2.8905161570946802e-06,9.326278025412194e-07
1895,2.8913423477661127e-06,9.370982780865234e-07
1896,2.84649588877528e-06,9.54139288467104e-07
1897,2.6674695305928253e-06,8.005904135188757e-07
1898,2.934988614811118e-06,9.596569618963713e-07
1899,2.9500685343464284e-06,8.650660170417268e-07
1900,2.6801406889376267e-06,9.572302275273614e-07
1901,2.7608371269138843e-06,8.981103256644474e-07
1902,2.258730546600418e-06,7.326143549590824e-07
1903,2.5823853633255567e-06,8.705154819210748e-07
1904,2.6023935362218253e-06,8.755264531146167e-07
1905,2.7352023295179606e-06,7.994015973622481e-07
1906,2.6816635028126257e-06,7.901467586890476e-07
1907,2.6418786802651084e-06,7.853121672951602e-07
1908,2.775917053554622e-06,8.044855164257569e-07
1909,2.8346569109771735e-06,8.581534629570342e-07
1910,2.7506342519245663e-06,9.523276602863007e-07
1911,2.9293979650901747e-06,9.124441628927116e-07
1912,2.9167549087105726e-06,9.653057730929504e-07
1913,2.675358231840619e-06,8.638570427876857e-07
1914,2.8467858328440343e-06,8.866488805381323e-07
1915,2.58705540545634e-06,7.469003184823464e-07
1916,2.583152223678553e-06,8.504295365696635e-07
1917,2.639618273292399e-06,7.862926274526671e-07
1918,2.431665905078262e-06,9.70598797778166e-07
1919,2.615029018215864e-06,9.1986404271438e-07
1920,2.7472057411159767e-06,9.639451015175382e-07
1921,2.5467148674351847e-06,8.284585462092764e-07
