year,en_ADP aile_NOUN,en_ADP selles_NOUN
1800,1.1318992676478956e-07,3.144164484325529e-09
1801,1.6668278135512082e-07,2.3811825400343878e-08
1802,1.857407312400028e-07,6.713520406265161e-09
1803,1.4432510653250574e-07,0.0
1804,2.1257918803030407e-07,0.0
1805,1.9331568079650197e-07,0.0
1806,2.8528523543513984e-07,2.5935023018064385e-08
1807,9.96434317279693e-08,0.0
1808,2.2660739151803e-07,0.0
1809,1.445779496123123e-07,0.0
1810,1.5444837231370911e-07,0.0
1811,1.3287507272252697e-07,2.0056614147279106e-08
1812,1.8137016155606034e-07,1.8670457180292033e-08
1813,1.1215392348162823e-07,2.300593315851529e-08
1814,1.1328037530233814e-07,0.0
1815,1.7801675156192687e-07,0.0
1816,2.2712518621403888e-07,2.3176038865813098e-09
1817,9.02986592166144e-08,7.784366928831332e-09
1818,1.7881766112282094e-07,3.5763532135746345e-09
1819,2.701624062240171e-07,2.070210003424222e-09
1820,6.645229433388522e-08,2.4919611263385377e-08
1821,9.565643921405353e-08,0.0
1822,3.559093784133438e-07,0.0
1823,8.993244904331732e-08,0.0
1824,1.1873769167891624e-07,2.5263338088166165e-09
1825,1.8139213153745004e-07,1.8491430608946757e-08
1826,1.735172965311449e-07,3.8755132436563144e-08
1827,1.4839809026057083e-07,9.217273055917019e-10
1828,1.5317743340403922e-07,0.0
1829,9.773420650560638e-08,8.57317605795771e-10
1830,1.1480519557238722e-07,1.2524203008013046e-08
1831,3.196197297938852e-07,4.677361609140007e-09
1832,2.1106752612354285e-07,5.411987746839486e-09
1833,8.571885423691583e-08,1.0425265983826648e-08
1834,1.577535688745968e-07,2.0535967593104942e-08
1835,9.075705520444899e-08,3.327758690829796e-08
1836,9.140220419423528e-08,1.2097349788575684e-08
1837,7.931995860133156e-08,4.174734336004349e-09
1838,5.996553742448896e-08,2.9035945203759184e-08
1839,1.4122779212755177e-07,1.11863602825224e-08
1840,7.962110792902877e-08,6.305991462340899e-08
1841,2.587481109372902e-07,3.2102743574569104e-08
1842,1.0263645577879288e-07,1.3349448124699848e-07
1843,1.3940310239490827e-07,5.906910960362666e-09
1844,8.94635450721104e-08,8.781698035420504e-09
1845,9.318980787043074e-08,2.622707206967334e-08
1846,6.557041487553761e-08,5.269050973311096e-09
1847,7.928039025273392e-08,7.550513103637968e-09
1848,1.1102405750307298e-07,9.65426583121598e-09
1849,8.211826862947191e-08,3.016589289472904e-08
1850,7.535785417900343e-08,1.1541293254424545e-08
1851,1.2060450416129243e-07,0.0
1852,1.2370036017728125e-07,1.4974254725075298e-08
1853,1.0510599857127545e-07,2.20961471342207e-08
1854,8.884586311097564e-08,4.1565314745639625e-08
1855,8.756445879498642e-08,9.552486801567284e-09
1856,4.918329715719594e-08,6.212626857404757e-09
1857,9.177237469959465e-08,1.4644527368545823e-08
1858,6.459652546197958e-08,2.936205500958522e-09
1859,7.485494712966556e-08,1.476730293603623e-08
1860,1.0527523386372195e-07,2.1512764902809067e-08
1861,1.0752397328062102e-07,6.6023493339173456e-09
1862,1.9156261488184612e-07,4.517986429419807e-09
1863,1.2286767453462133e-07,1.6482248454963155e-08
1864,1.0164823471825457e-07,3.835782358407869e-09
1865,1.0919878867809985e-07,6.118897832863013e-09
1866,1.0266443128958969e-07,1.6543083347642096e-08
1867,1.4073152954097168e-07,2.620518202434141e-08
1868,1.4276235482668653e-07,3.309715523869272e-08
1869,1.0108884396231588e-07,8.790334682373668e-09
1870,1.4048419272327806e-07,1.1468097582678638e-09
1871,1.5188283208900089e-07,5.3105884134652115e-09
1872,1.5662608721100924e-07,1.269941218851045e-08
1873,2.1370035430123835e-07,6.584604861359367e-09
1874,1.1949218076123813e-07,1.3144139998644278e-08
1875,1.8766609422016245e-07,1.3159512590732447e-08
1876,1.4873196030329439e-07,8.464420275799966e-09
1877,9.339071826985901e-08,0.0
1878,1.425224924744839e-07,6.039088784604019e-09
1879,9.408360746032685e-08,9.774920428640144e-09
1880,1.2964049678210188e-07,1.9253538763308597e-09
1881,9.691785241017215e-08,1.2550513517339823e-08
1882,7.8533544112247e-08,6.655385131892899e-10
1883,9.9845554324407e-08,8.847074184359371e-09
1884,1.313737740815668e-07,3.9610181801208455e-09
1885,1.289127151693492e-07,3.480643329112354e-08
1886,1.2261581527894805e-07,3.872078213618124e-09
1887,9.662808686528024e-08,1.4363633837888301e-08
