year,mon_DET an_NOUN,mon_DET sang_NOUN
1800,1.8864986461863964e-08,3.427139256828582e-06
1801,1.6668278313147766e-08,5.671977042709386e-06
1802,1.3427040812530322e-08,3.1508788538303634e-06
1803,4.290746247193056e-08,4.011847735796437e-06
1804,7.4155528384522995e-09,3.1689129187384424e-06
1805,1.1371510844071508e-08,3.2408806696082593e-06
1806,1.152667650217154e-08,2.7981007377775313e-06
1807,2.562259604488304e-08,2.8896595551941573e-06
1808,1.5862517521725295e-08,3.01387833800959e-06
1809,1.129515236897305e-08,3.4992382680343326e-06
1810,2.3401267590372754e-09,4.378377207459039e-06
1811,1.7549537378869218e-08,2.4895271621971915e-06
1812,1.0668832928217853e-08,1.8803818000456829e-06
1813,1.4378708224072057e-08,3.698203769886277e-06
1814,2.5173417128598885e-08,2.816275973316351e-06
1815,3.236668266737297e-08,3.813874112523763e-06
1816,1.1588019432906549e-08,3.4277360683176994e-06
1817,4.670620334934483e-09,5.1236704976531655e-06
1818,1.4305412632253933e-08,3.776629107221652e-06
1819,6.210630232317271e-09,4.427144052243648e-06
1820,2.254631414899677e-08,5.621151935031321e-06
1821,2.7612166775270452e-08,4.26213506088402e-06
1822,7.017931125119503e-09,4.577696429919342e-06
1823,5.929612023614084e-09,4.619167647490485e-06
1824,1.1789557774477544e-08,4.1895033504602e-06
1825,1.8491430164857547e-08,3.6384090229546473e-06
1826,1.0569581432307018e-08,3.3637693324095608e-06
1827,3.6869092223668076e-09,2.9301710391393954e-06
1828,1.0089531266022078e-08,3.6221417225590358e-06
1829,1.5431717126368483e-08,2.9526018110459518e-06
1830,1.8786305178153384e-08,4.135074270550376e-06
1831,7.795602829929749e-09,3.925865636134063e-06
1832,1.894195755802741e-08,4.192937465674618e-06
1833,1.3900354645102198e-08,3.3372432888256753e-06
1834,1.0267984462686286e-08,3.2400156517731205e-06
1835,1.5126175867408165e-08,3.3875070712952038e-06
1836,1.6129799718100912e-08,4.148046908625247e-06
1837,3.478945576063097e-09,3.0677341396057045e-06
1838,3.1560809521380406e-09,2.8865516874532204e-06
1839,2.9364194964465185e-08,2.532312237235601e-06
1840,9.554533331179726e-09,2.7147612957634237e-06
1841,2.0545755763379248e-08,3.463886041998876e-06
1842,1.0062398025922903e-08,2.817471235871949e-06
1843,2.953455535692484e-09,2.9611345464530814e-06
1844,4.939705144924034e-09,2.9325382655542853e-06
1845,8.370341586516616e-09,2.586435579488011e-06
1846,1.0538102390711401e-08,2.47762485194869e-06
1847,4.853901280910122e-09,2.394591287924186e-06
1848,1.3676876908785829e-08,2.354031966689263e-06
1849,1.6758829879393033e-09,2.10490894581028e-06
1850,8.146795238417326e-09,2.51124953720705e-06
1851,7.094382858952031e-09,2.3211529018851706e-06
1852,1.2370036328590572e-08,2.5182788778721488e-06
1853,1.4332636411040767e-08,2.321289819917638e-06
1854,1.1950028522278444e-08,2.9646460291132826e-06
1855,1.3798036491152743e-08,2.8482331124735083e-06
1856,1.7602442614617075e-08,2.8303692474196396e-06
1857,9.763018116171196e-09,2.6584697998544016e-06
1858,1.2723557929472662e-08,2.7336074222006346e-06
1859,6.110607797538137e-09,2.7686145696037556e-06
1860,5.950339110327718e-09,3.0296380257865962e-06
1861,1.3676294874365169e-08,2.788549438470511e-06
1862,1.084316739174973e-08,3.3907487955175952e-06
1863,9.989241878116673e-09,3.1960579178758053e-06
1864,7.192092033037056e-09,2.9147150337749395e-06
1865,9.884373208812747e-09,2.44708837282559e-06
1866,9.244664256335966e-09,2.604562645558417e-06
1867,6.308654931785895e-09,2.287130026701334e-06
1868,4.445886658821507e-09,2.174038460811545e-06
1869,1.2697149998075474e-08,2.6102409087513934e-06
1870,1.0321287824410774e-08,2.328597126677323e-06
1871,7.434823867669138e-09,1.918184569404957e-06
1872,5.442605366390296e-09,2.005297819351881e-06
1873,8.380406202324053e-09,1.9897478651387246e-06
1874,9.559374403167453e-09,1.9118748975088806e-06
1875,1.544812294751452e-08,2.2319676382664966e-06
1876,9.67362345782874e-09,1.742461414266927e-06
1877,1.6080521580974505e-08,2.958197486080394e-06
1878,1.0870359612447089e-08,1.7483161744991094e-06
1879,1.2829583284634793e-08,2.1700323680207134e-06
1880,2.0537108014195837e-08,1.7944297834304734e-06
1881,2.2312023950643578e-08,1.7284846265397391e-06
1882,1.1979693681496428e-08,1.914754328424806e-06
1883,6.951273001654101e-09,1.6107994937897274e-06
1884,5.281357573494461e-09,1.7435081538508257e-06
1885,1.2246707870033902e-08,1.6861782485833032e-06
1886,1.0325542199041138e-08,1.6611215940542934e-06
1887,6.528924623161458e-09,1.6067683059617366e-06
1888,1.7753720937818684e-08,1.4348810903896947e-06
1889,8.14467776555361e-09,1.6727915235215107e-06
1890,7.865263995654459e-09,1.234190953880443e-06
1891,3.187110020341777e-09,1.3309371915681822e-06
1892,5.641661360300532e-09,1.5245021867116293e-06
1893,4.926733243593162e-09,1.323443722611728e-06
1894,5.671385583383426e-09,1.3088297219354672e-06
1895,3.611168697403855e-09,1.3830775591472388e-06
1896,4.717623069971921e-09,1.461873506691802e-06
1897,4.661370844871726e-09,1.2795462418502268e-06
1898,7.355861253444118e-09,1.4298663266743006e-06
1899,2.7637891975018647e-09,1.4111907802316637e-06
1900,9.34389587925466e-09,1.494504149768261e-06
1901,7.2653604799022276e-09,1.2323169844563608e-06
1902,3.4371988033576883e-09,1.0301775477117303e-06
1903,1.2420506623200822e-08,1.2506910529452853e-06
1904,5.912087708281888e-09,1.3033465862122284e-06
1905,4.1286072338664326e-09,1.4398517720337622e-06
1906,1.0288368823552219e-08,1.3920162871272623e-06
1907,1.2342824040612044e-08,1.4394818315111024e-06
1908,6.875944924544797e-09,1.4724343895267111e-06
1909,1.320236009405562e-08,1.442357917547099e-06
1910,8.016226016316352e-09,1.5979010203892585e-06
1911,6.916486605668126e-09,1.5285434997736047e-06
1912,1.2502610557962868e-08,1.630548806197396e-06
1913,5.3029897140177695e-09,1.5733970482045834e-06
1914,8.036092347118995e-09,1.4264063761260104e-06
1915,1.1780761921542648e-08,1.2193088370082705e-06
1916,1.2086208034389756e-08,1.3580503139820621e-06
1917,3.289927441585405e-09,1.4026057391092195e-06
1918,6.89182577673364e-09,1.3462032519839795e-06
1919,5.524709134618888e-09,1.41616703785985e-06
