year,mon_DET ombre_NOUN,mon_DET sombre_ADJ
1800,3.081281136907421e-07,6.288328968651058e-09
1801,2.928854456740737e-07,0.0
1802,3.20011139365306e-07,0.0
1803,2.1648764736426074e-07,3.900678446910888e-09
1804,5.289761126903159e-07,0.0
1805,1.3930100628556374e-07,0.0
1806,3.342736079048336e-07,0.0
1807,1.395007984683616e-07,5.693910232196231e-09
1808,2.991217660230916e-07,0.0
1809,1.762043848607675e-07,0.0
1810,4.844062431175189e-07,0.0
1811,3.710473635010203e-07,0.0
1812,1.600324992523383e-07,2.6672082320544632e-09
1813,3.422132621722085e-07,0.0
1814,1.6048053108619342e-07,3.1466771410748606e-09
1815,1.132833897798946e-07,0.0
1816,1.8540830382107742e-07,0.0
1817,1.977229224792154e-07,0.0
1818,1.6093589927379526e-07,2.384235475716423e-09
1819,1.9149442620491897e-07,0.0
1820,2.563159995361275e-07,0.0
1821,2.7908012256716574e-07,1.97229765852569e-09
1822,2.476327125577882e-07,0.0
1823,2.085246993965839e-07,0.0
1824,2.8547571062631505e-07,0.0
1825,1.2151511352698208e-07,0.0
1826,1.8144448432622085e-07,1.7615968683770689e-09
1827,2.05545188591838e-07,1.8434546111834038e-09
1828,1.403362084317905e-07,2.568244400480424e-08
1829,1.5688912213818185e-07,0.0
1830,2.2021724177534452e-07,1.3567886814058738e-08
1831,2.416637003843647e-07,4.677361609140007e-09
1832,2.5436342376838894e-07,0.0
1833,2.4673128251606613e-07,1.853380560135065e-08
1834,3.0243881532499017e-07,3.733812370398937e-09
1835,1.9285873520402674e-07,0.0
1836,2.3791455561195107e-07,8.736974699274924e-09
1837,1.9203779622056771e-07,9.045257876039159e-09
1838,2.0830134239702147e-07,7.574594285131298e-09
1839,1.3982950630708757e-07,3.4957374772659477e-09
1840,1.3248952512867618e-07,1.0191501864653674e-08
1841,2.2536125143801655e-07,5.1364388298225094e-09
1842,1.7038993327389562e-07,1.408735705865638e-08
1843,1.9374668364102732e-07,4.134837805480629e-09
1844,1.822202402301798e-07,2.7442805805577564e-09
1845,1.2332303428452818e-07,3.9061593959388574e-09
1846,1.4636253897748475e-07,5.854501328173001e-10
1847,1.2781940661454883e-07,4.314578916364553e-09
1848,1.1906927888105656e-07,6.43617736884039e-09
1849,2.1786479509344758e-07,7.54147322368226e-09
1850,1.955230892747295e-07,6.1100964288129944e-09
1851,1.2511911418044974e-07,1.1608989325395669e-08
1852,1.6276363723477516e-07,1.3021090872200602e-09
1853,1.1167512714571615e-07,2.9859659189668264e-09
1854,1.1742201455611223e-07,1.8184825645306546e-08
1855,2.1174679432078847e-07,7.960405667972736e-09
1856,1.7602443003195134e-07,1.0354378687793542e-08
1857,2.816630716440116e-07,7.3222639063175166e-09
1858,2.275559416453632e-07,4.404308473482388e-09
1859,2.2965701518273818e-07,5.601390684617513e-09
1860,2.3114779165722688e-07,9.612086238064421e-09
1861,1.5279722020977715e-07,1.9335450573976232e-08
1862,2.6430219124407017e-07,1.0843167363994155e-08
1863,2.3125094222864462e-07,1.1987090431375691e-08
1864,2.1096803415332488e-07,7.671564716815737e-09
1865,1.4261737923959572e-07,2.0710115844480015e-08
1866,1.960841982118211e-07,1.2164032725525686e-08
1867,1.3684927679946668e-07,7.279217228983725e-09
1868,1.1658102783140833e-07,3.457911734727759e-09
1869,1.6799305768699924e-07,2.441759683335931e-09
1870,1.4507143752950924e-07,6.880858549607183e-09
1871,1.1789506970671937e-07,1.4869648623516696e-08
1872,1.3606514004393944e-07,1.8142017887967654e-09
1873,1.203186918985466e-07,6.58460502789282e-09
1874,1.631068293761473e-07,7.766991494406739e-09
1875,1.5390908519874458e-07,1.4303817408301e-08
1876,1.1971109059594198e-07,3.627608879952504e-09
1877,1.3730290959745872e-07,7.421779191219002e-09
1878,1.334638602967786e-07,4.831270938865373e-09
1879,1.588424556331347e-07,7.331190543524713e-09
1880,2.1628141455565242e-07,6.417846254436199e-09
1881,1.520006694399889e-07,2.6495529104053617e-08
1882,1.8768186449413804e-07,8.652000671460769e-09
1883,1.6493475030188165e-07,1.0110942305630033e-08
1884,1.445771697916598e-07,3.9610181801208455e-09
1885,1.276235855329766e-07,1.0957580731663086e-08
1886,1.5359243960011426e-07,7.744156760303156e-09
1887,1.2861980902556525e-07,2.6115698492645834e-09
1888,1.369572739662317e-07,6.34061492199578e-09
1889,1.215436533641423e-07,3.1325683158556217e-09
1890,1.0618106333071253e-07,1.9663159989136147e-09
1891,9.497587871720725e-08,4.461953917456185e-09
1892,1.0154989915633905e-07,1.2537024751679837e-08
1893,1.1085149620448931e-07,8.005941687372342e-09
1894,1.0208493428365273e-07,6.301539290376468e-09
1895,1.8597519257923523e-07,3.0093072478365457e-09
1896,1.2973463675569619e-07,2.948514543632541e-09
1897,1.852894948584094e-07,9.905413378419325e-09
1898,1.250496414195723e-07,3.960848538042683e-09
1899,1.2547602601387098e-07,7.738609753005221e-09
1900,1.1783690423428084e-07,9.863001082521805e-09
1901,9.444968984695379e-08,7.265360424391076e-09
1902,1.1784680920001733e-07,6.874397495693074e-09
1903,1.2150495454221755e-07,1.2420506401156217e-08
1904,9.190609073783662e-08,2.1498500757388683e-09
1905,1.0579555764778092e-07,1.2385822145688508e-08
1906,1.713013464410551e-07,1.9033482789865275e-08
1907,1.42456762830534e-07,6.685696440911215e-09
1908,1.551998964899326e-07,6.384805573134145e-09
1909,1.8373285159967168e-07,7.151278680339601e-09
1910,1.5925568952468439e-07,2.1376603487333057e-08
1911,1.6546364189906626e-07,1.8089271303090015e-08
1912,1.844135133488578e-07,2.8651816474933867e-08
1913,1.675744742968277e-07,1.007568034561146e-08
1914,1.3393487696689022e-07,2.678697486047099e-09
1915,7.539687529867223e-08,3.534228465440492e-09
1916,1.2305957741709506e-07,8.789969418998567e-09
1917,1.4804673043045113e-07,7.676496771580332e-09
1918,1.6195791108231106e-07,2.1824114071478107e-08
1919,2.1270129968442575e-07,7.366278698128781e-09
1920,2.052074816738525e-07,1.2872793497820112e-08
1921,2.3324061437790533e-07,9.087297137000405e-09
1922,2.5380098112037786e-07,6.640141769764796e-09
1923,3.460799202770204e-07,1.0615948120573648e-08
1924,2.9263987100236477e-07,1.5469948877466777e-08
1925,2.969508097194762e-07,6.598906754362588e-09
1926,2.686219398029266e-07,4.458455382660986e-09
1927,2.664664795481997e-07,1.1149224654616319e-08
1928,2.1366696767444182e-07,1.1426041335305115e-08
1929,2.540012689067339e-07,2.4508894469477127e-08
1930,2.279281947625833e-07,1.1553964229804592e-08
1931,1.8818838132261817e-07,1.1405356659111021e-08
1932,1.9179188748275067e-07,1.753525868952721e-08
1933,2.099131162225376e-07,9.176529536247813e-09
1934,2.528113469679738e-07,1.0783422155213884e-08
1935,1.5199720770908698e-07,1.0771455727365264e-08
1936,1.7702083798809554e-07,1.2124714565686645e-08
1937,1.473160827769604e-07,1.3850230295986421e-08
1938,1.8280952818194862e-07,6.482607339819424e-09
1939,1.7129336971066778e-07,1.5294050470515685e-09
1940,9.128818367898361e-08,0.0
1941,2.892472465987339e-07,5.9030051957620344e-09
1942,4.0961860747756873e-07,1.517105907566929e-08
1943,3.570979254519102e-07,5.806470415592457e-09
1944,5.655207715449251e-07,1.6065930807940276e-08
1945,3.6163167038694155e-07,1.089252066321933e-08
1946,4.4965167944610585e-07,8.352662561605939e-09
1947,3.0755846402996667e-07,1.1920870957027319e-08
1948,3.446388578964843e-07,3.2615663503321457e-09
1949,3.6322931906696e-07,5.890204768377316e-09
1950,3.764917995141559e-07,9.57182533234402e-09
1951,2.68667323055638e-07,1.0661401761424827e-09
1952,2.6572905031940763e-07,1.2653764258629963e-08
1953,3.555363141671819e-07,9.69644453618912e-09
1954,2.765627682421723e-07,8.795282724349818e-09
1955,2.6561269983460534e-07,9.385608290557457e-09
1956,3.7936964769613724e-07,5.232684952005684e-09
1957,2.8713871813579317e-07,1.325255621908994e-08
1958,2.6388456442205666e-07,7.445019267748876e-09
1959,3.030542292670191e-07,8.525822714489095e-09
1960,3.411970848077317e-07,1.3841666257619067e-08
1961,3.3142718613987654e-07,1.0422239238305764e-08
1962,3.8939613067334733e-07,1.0147130691251505e-08
