year,en_PRON aviez_VERB,en_PRON saviez_VERB
1800,3.5214641380676426e-07,2.2009151834367913e-08
1801,5.071918867116665e-07,4.0480102825313224e-08
1802,2.752543366568716e-07,2.2378401354217203e-09
1803,3.5886242022442616e-07,7.801356893821776e-09
1804,4.350457629698212e-07,2.4718509905596875e-08
1805,3.3830244206001225e-07,2.55858996212055e-08
1806,4.668303859034495e-07,3.458002950651462e-08
1807,2.135216305987342e-07,1.7081731584767113e-08
1808,1.8808413448923034e-07,1.8128591960930862e-08
1809,2.552704359004565e-07,4.518061036407062e-09
1810,4.633450885194179e-07,1.6380887757350138e-08
1811,2.582289084784861e-07,5.0141535368197765e-09
1812,3.120633493836067e-07,3.467370746079723e-08
1813,2.0992914540052254e-07,1.7254450312975678e-08
1814,2.8949429520253034e-07,1.2586708564299443e-08
1815,2.643278946834471e-07,8.091670444798638e-09
1816,2.966532903769803e-07,1.8540831092650478e-08
1817,3.8299085503012975e-07,3.269434145636296e-08
1818,3.6717227658300544e-07,1.9073883805731384e-08
1819,3.374442201220518e-07,2.070209959015301e-08
1820,1.0667966989785782e-06,2.254631326081835e-08
1821,7.741268469585449e-07,1.1833785507064931e-08
1822,4.952654393264311e-07,7.017931125119503e-09
1823,3.458940401879218e-07,1.9765373338032077e-08
1824,3.452656063274162e-07,3.2000230021367315e-08
1825,2.685660263068712e-07,2.993850500843109e-08
1826,2.9594826855827705e-07,1.0569580766173203e-08
1827,2.3872738097452384e-07,8.295545583791863e-09
1828,3.026859521360059e-07,2.4765213879618386e-08
1829,2.5890992105814803e-07,1.0287811491593857e-08
1830,3.6424557103842403e-07,1.878630406793036e-08
1831,3.5547950094638736e-07,3.1182412207897414e-09
1832,3.355432340867992e-07,5.411987746839486e-09
1833,3.3476686889244434e-07,1.0425265983826648e-08
1834,3.1550714574279937e-07,2.42697808516823e-08
1835,3.645408526153915e-07,1.4369867074037757e-08
1836,3.1587525795018223e-07,1.1425274948351216e-08
1837,5.907249667203018e-07,9.74104708006962e-09
1838,3.1876416528575646e-07,1.5780404538645598e-08
1839,2.7686242720648124e-07,1.7478688718597368e-08
1840,3.496959108950648e-07,1.2739377552861697e-08
1841,2.317818053043652e-07,9.630822361827995e-09
1842,2.8510126659497814e-07,6.708265054555795e-09
1843,2.8116895667285036e-07,1.7130041385371442e-08
1844,2.4533868647758084e-07,1.756339607084101e-08
1845,3.247692785812717e-07,1.2276501593078137e-08
1846,2.2481285277820007e-07,5.854501328173001e-09
1847,2.1734690847097227e-07,1.6718992412734224e-08
1848,2.8962799092369096e-07,1.6090443422100975e-09
1849,2.0026801594852373e-07,1.4245005175439474e-08
1850,3.014314309268684e-07,9.504594444820214e-09
1851,2.418539601922731e-07,7.094382858952031e-09
1852,2.441454667323484e-07,1.4323200403509873e-08
1853,2.275306087984319e-07,2.329053394589664e-08
1854,3.475899488236678e-07,2.4419623656513068e-08
1855,2.4358841343996573e-07,1.539011762474729e-08
1856,2.1588879278722217e-07,9.318940286107136e-09
1857,2.9289054648273805e-07,1.2691923956253959e-08
1858,3.1417400281341656e-07,1.5170396494568195e-08
1859,2.3423997608240654e-07,1.323965115318515e-08
1860,2.970592354323287e-07,2.288591893773173e-08
1861,2.9097496589969296e-07,8.488735048217677e-09
1862,3.772518586409035e-07,1.536115412648087e-08
1863,2.64215431089454e-07,1.1487627737949424e-08
1864,3.0110891735546375e-07,6.233146443435089e-09
1865,3.2853772680141446e-07,1.5061901947888146e-08
1866,2.8317867872829083e-07,1.702964524952222e-08
1867,2.605959821266879e-07,9.7056229719783e-09
1868,2.8453675071649087e-07,1.9265508299781686e-08
1869,2.510128878085993e-07,1.0743741896135361e-08
1870,2.0757256580239414e-07,2.0069171213776826e-08
1871,2.4003861653909553e-07,8.496941816815706e-09
1872,3.785634423714157e-07,1.1489944995446422e-08
1873,3.094764267075334e-07,8.380406590902112e-09
1874,2.682599571368627e-07,5.974609251779839e-09
1875,3.009523275032677e-07,5.721527251978387e-09
1876,2.696522511946853e-07,2.0556450763820067e-08
1877,2.455371844733989e-07,1.6699003069220453e-08
1878,2.2586191383844323e-07,7.2469061862534545e-09
1879,2.7553055570450624e-07,1.7717043832021773e-08
1880,2.3810209959229667e-07,5.134277003548959e-09
1881,2.4961576627902105e-07,9.064259565150223e-09
1882,2.608911096046995e-07,1.6638463051776853e-08
1883,2.527735651902674e-07,5.687405213450347e-09
1884,2.0069158424007583e-07,7.922036360241691e-09
1885,2.017483940464082e-07,1.933690763067375e-09
1886,2.0134806733018706e-07,2.5813855497602844e-09
1887,2.25900785189026e-07,7.834709769838355e-09
1888,2.44113664393808e-07,6.974675947901687e-09
1889,1.9108666948763897e-07,5.6386229019267375e-09
1890,2.0646316711836477e-07,3.2771931834929546e-09
1891,1.8230269327457194e-07,9.561330394092238e-09
1892,1.661155759613564e-07,1.002961980134387e-08
1893,2.4633666884099625e-07,4.926733243593162e-09
1894,1.940874057027031e-07,5.041231432301174e-09
1895,1.3902999285164697e-07,3.0093072478365457e-09
1896,1.562712647618092e-07,8.845543852942228e-09
1897,1.7363607041076534e-07,1.7480140668268973e-09
1898,2.14451647662095e-07,5.6583546736987955e-09
1899,2.1060073507328525e-07,1.2160672469008205e-08
1900,1.764958132977057e-07,2.595526460424935e-09
1901,1.8778162758081862e-07,1.0059729937950124e-08
1902,1.4583543705981583e-07,6.38336894454028e-09
1903,1.463459637918163e-07,5.940242076007962e-09
1904,1.8918680222412831e-07,2.203596238814498e-08
1905,1.6256390722446667e-07,1.5482277682110634e-09
1906,1.48152521139977e-07,7.716276506641861e-09
1907,1.5222816385218607e-07,2.5714217422034835e-09
