year,en_PRON aies_VERB,en_PRON sais_VERB
1800,1.5720821977538435e-08,1.8550569791386806e-07
1801,0.0,2.0478169915350009e-07
1802,2.2378401354217203e-09,1.4769744893783354e-07
1803,1.950339223455444e-09,1.4432510297979206e-07
1804,0.0,2.941502579290045e-07
1805,2.842877711017877e-09,2.558589926593413e-07
1806,2.881669125542885e-09,5.878604758535744e-07
1807,2.8469551160981155e-09,1.3950080779423502e-07
1808,4.5321479902327155e-09,1.087715486569607e-07
1809,1.129515236897305e-08,1.9653565885846547e-07
1810,0.0,1.918903902442537e-07
1811,5.0141535368197765e-09,1.7800245011301286e-07
1812,5.3344164641089264e-09,2.2937990706850542e-07
1813,0.0,1.8692321157587344e-07
1814,6.293354282149721e-09,2.0138733525243424e-07
1815,0.0,9.44028248905937e-08
1816,4.6352077731626196e-09,2.549364204185167e-07
1817,7.784366928831332e-09,2.1329165011962914e-07
1818,3.5763532135746345e-09,3.230639062934415e-07
1819,4.140420006848444e-09,1.749327509514842e-07
1820,5.933240565525466e-09,1.7918386419069066e-07
1821,1.972297702934611e-08,2.780939656332748e-07
1822,6.015369535816717e-09,2.7369932809051534e-07
1823,9.882686891060644e-10,1.976537351566776e-07
1824,1.6842225392110777e-08,2.618965915246463e-07
1825,1.2327619813845558e-08,2.888185335336857e-07
1826,4.403992281964975e-09,2.536699357236216e-07
1827,5.530363722527909e-09,2.1384073978225615e-07
1828,0.0,2.843413398068151e-07
1829,2.571952872898464e-09,2.4090624872741273e-07
1830,1.2524203008013046e-08,2.5778984991120524e-07
1831,4.677361609140007e-09,2.4322281522159983e-07
1832,1.0823975493678972e-08,1.799485913611676e-07
1833,1.7375443306377747e-08,1.9112986449076885e-07
1834,1.8669061851994684e-09,2.1656111814927215e-07
1835,6.806779140333674e-09,3.56221455888317e-07
1836,3.36037508930076e-09,2.567326427005412e-07
1837,1.530736071231331e-08,1.6768516974963177e-07
1838,1.2624323808552163e-08,1.98201886014715e-07
1839,4.894032734625853e-09,2.50294823533892e-07
1840,1.4013314952876499e-08,1.758034087195881e-07
1841,7.0626033910059505e-09,1.9133234419044243e-07
1842,2.0124794275488966e-08,2.012479534130307e-07
1843,3.5441467538532834e-09,1.6716558637330792e-07
1844,8.781698035420504e-09,1.3117661179506968e-07
1845,1.5066614622583074e-08,1.9642402371289336e-07
1846,8.196302303531411e-09,1.6334059216305263e-07
1847,2.6966118227278457e-09,1.4885296995004182e-07
1848,9.65426583121598e-09,1.424004269501289e-07
1849,0.0,1.106082763158156e-07
1850,1.0183494048021657e-08,2.009542887648763e-07
1851,9.674158363282004e-09,1.9283821828253167e-07
1852,9.765818376195057e-09,2.363327937793258e-07
1853,3.5831591027601917e-09,1.6542251546347586e-07
1854,3.117398783558656e-09,2.021113408301467e-07
1855,6.368324534378189e-09,2.2925967968490113e-07
1856,6.73034605824796e-09,2.1226475482860607e-07
1857,3.4170564155999728e-09,2.0160633007471063e-07
1858,1.2234189661342043e-08,3.0536539386005757e-07
1859,5.092173349652285e-09,2.077606764405715e-07
1860,4.119465657481669e-09,2.8882029923238406e-07
