year,ton_DET salut_NOUN
1800,1.5406406683737828e-07
1801,2.452618019788133e-07
1802,1.3874608839614666e-07
1803,1.0726866039867389e-07
1804,2.1010733064485976e-07
1805,1.904728037516179e-07
1806,2.1036185327005796e-07
1807,2.4483814087261635e-07
1808,1.5182695278781466e-07
1809,1.1521055487406784e-07
1810,1.6146874326494753e-07
1811,1.4541045345595194e-07
1812,6.40129966811287e-08
1813,1.5241430162404868e-07
1814,1.6362720778317907e-07
1815,1.7801675133988226e-07
1816,1.9236112791531923e-07
1817,1.8838168935886301e-07
1818,1.3351718775034271e-07
1819,1.490551255756145e-07
1820,2.4919611263385377e-07
1821,2.72177065774315e-07
1822,1.744457165386848e-07
1823,2.668325418397899e-07
1824,2.981073876640039e-07
1825,1.9195866229893e-07
1826,1.338813691020846e-07
1827,2.2490146633913355e-07
1828,1.742737177901077e-07
1829,1.3459886877287275e-07
1830,1.9412514262739933e-07
1831,1.3720260993999034e-07
1832,1.4882965748697075e-07
1833,2.258807629829107e-07
1834,1.3908451657052012e-07
1835,2.752963865759739e-07
1836,2.7756697384972995e-07
1837,2.0664935895808867e-07
1838,1.7484688430435824e-07
1839,2.1184169818333487e-07
1840,2.0510397003015157e-07
1841,2.1637248615036242e-07
1842,2.6698894028953646e-07
1843,1.8075147889540233e-07
1844,2.8266091445239283e-07
1845,2.59480604558604e-07
1846,2.277401047745542e-07
1847,1.7581908640096344e-07
1848,1.520546847877391e-07
1849,1.667503539692916e-07
1850,1.6293591098559546e-07
1851,1.7864944901191393e-07
1852,1.718783930737544e-07
1853,2.0662883937205834e-07
1854,2.2393313336976917e-07
1855,2.53140900241533e-07
1856,2.397038600943091e-07
1857,2.2113235520482277e-07
1858,2.544711530383381e-07
1859,2.922907444968814e-07
1860,2.3755584699358678e-07
1861,2.523040549817779e-07
1862,2.525554458898682e-07
1863,2.3374826013666805e-07
1864,2.766558049316359e-07
1865,2.4428522804598174e-07
1866,2.7052806395033713e-07
1867,2.2371460239867247e-07
1868,1.980889523522933e-07
1869,1.6848141037861808e-07
1870,1.9495766467869657e-07
1871,1.8268424817335926e-07
1872,1.9895746183884455e-07
1873,2.0112975640529385e-07
1874,1.6728905194440813e-07
1875,1.4475463672170008e-07
1876,1.469181638569239e-07
1877,1.7379333561162724e-07
1878,1.3467168225034243e-07
1879,1.7228297766180845e-07
1880,1.1616301853756283e-07
1881,7.669758139705607e-08
1882,9.317539362285743e-08
1883,1.1058842819267056e-07
1884,1.5249919460558203e-07
1885,1.2117794789823222e-07
1886,1.1164492463855424e-07
1887,1.2535535165447698e-07
1888,9.257297417519794e-08
1889,1.1465200233651274e-07
1890,9.307228987509575e-08
1891,1.1537337973877015e-07
1892,1.0719156295913024e-07
1893,1.2132080962068414e-07
1894,9.074216822391179e-08
1895,1.2759463086098322e-07
1896,9.376275972305947e-08
1897,1.2469166466022585e-07
1898,1.2165463658675435e-07
1899,1.02260200307569e-07
1900,8.928611616720872e-08
1901,8.830207698373727e-08
1902,6.923500217581591e-08
1903,7.992325734562655e-08
1904,7.36323677585915e-08
1905,1.0373125869378441e-07
1906,1.0854229404166915e-07
1907,7.457122686016504e-08
1908,1.1050625303710149e-07
1909,7.70137725814024e-08
1910,1.1917456110843716e-07
1911,1.0640748460133409e-07
1912,1.0783501913635973e-07
1913,1.1030218338703435e-07
1914,9.576343806827481e-08
1915,5.772573163920214e-08
1916,7.36159972980488e-08
1917,4.934890984742424e-08
1918,5.6283242955146306e-08
1919,1.2246438529928128e-07
1920,1.3630017159371732e-07
1921,8.102839643697735e-08
1922,9.22241909506738e-08
1923,1.369457374167382e-07
1924,1.3536205023534364e-07
1925,1.0778214365458894e-07
1926,1.047737026027562e-07
1927,1.2041163088838402e-07
1928,7.541187541093564e-08
1929,1.1140406375176326e-07
1930,7.037414262445196e-08
1931,7.527535483831116e-08
1932,1.0301964481485015e-07
1933,7.455930095545682e-08
1934,1.3299554346701825e-07
1935,8.736847156853855e-08
1936,9.699771608140395e-08
1937,7.428759829508635e-08
1938,8.686693442339077e-08
1939,6.882323067003426e-08
1940,1.2932493120842992e-07
1941,8.559357667081713e-08
1942,9.102635090130207e-08
1943,9.580676163523094e-08
1944,1.3495382056305516e-07
1945,1.7645882266492663e-07
1946,1.0997672728052521e-07
1947,1.370900175601264e-07
1948,1.239395199803539e-07
1949,1.0307858389069224e-07
1950,1.0635361613609007e-07
1951,1.1087857654246136e-07
1952,8.541291296459974e-08
1953,5.7101286476957114e-08
1954,9.381634491489876e-08
1955,1.0324168364661546e-07
1956,1.0203735789637847e-07
1957,1.2634103718767165e-07
1958,1.0340304124056843e-07
1959,9.920957477760339e-08
1960,7.889750319733935e-08
1961,1.43826893506116e-07
1962,1.3571786849908563e-07
1963,1.480726252722775e-07
1964,1.2167936436213722e-07
1965,9.794957600561816e-08
1966,1.717113216059829e-07
1967,1.5924983909343382e-07
1968,1.1453110415615697e-07
1969,9.038097681379753e-08
1970,1.0209169332142665e-07
1971,1.1561394419601356e-07
1972,1.0311594955680903e-07
1973,7.222297204734218e-08
1974,7.482010522252835e-08
1975,1.0851812426437846e-07
1976,9.541589696127062e-08
1977,8.109958860025301e-08
1978,1.140593548498714e-07
1979,9.538716483348253e-08
1980,7.5612501371225e-08
1981,7.464148388258707e-08
1982,8.442203336400667e-08
1983,6.820541198493402e-08
1984,1.1713997061235659e-07
1985,9.865514982720924e-08
1986,8.991727984408726e-08
1987,8.188494593497353e-08
1988,6.65617458928125e-08
1989,1.0262788308068593e-07
1990,7.791570655335534e-08
1991,8.03020721029668e-08
1992,6.667032614871005e-08
1993,8.253418926074119e-08
1994,7.490395814713224e-08
1995,9.32661530228529e-08
1996,9.501804276723647e-08
1997,1.0596716526478644e-07
1998,1.058524716768261e-07
1999,7.997852113916792e-08
2000,1.1000898592072872e-07
2001,9.02529659896345e-08
2002,1.458946723431609e-07
2003,9.208899864887599e-08
2004,9.866732231245123e-08
2005,1.0043361786671312e-07
2006,9.800577793761533e-08
2007,8.668020701207979e-08
2008,8.898049141947695e-08
2009,8.20129137935055e-08
2010,1.2281862105112396e-07
2011,1.449285438326342e-07
2012,1.4195733344379846e-07
2013,1.6344272601998e-07
2014,1.3534032472506397e-07
2015,1.8198084461573671e-07
2016,2.2660460619050582e-07
2017,4.80984880368851e-07
2018,1.3836661327815136e-07
2019,1.7933443707818242e-07
