year,en_ADP eau_NOUN,en_ADP sceau_NOUN
1800,3.1787503758096136e-06,0.0
1801,2.576439555923571e-06,2.3811825844433088e-09
1802,1.4859258499200223e-06,2.2378401354217203e-09
1803,2.201932985057553e-06,2.5354410126965377e-08
1804,3.030489324373775e-06,4.943701892301533e-09
1805,2.771805839074659e-06,0.0
1806,1.8154515828427975e-06,0.0
1807,1.3608445215140819e-06,0.0
1808,1.4004336890138802e-06,0.0
1809,2.3855361632740824e-06,0.0
1810,1.8884823020925978e-06,0.0
1811,1.5669229469494894e-06,5.0141535368197765e-09
1812,1.2935960285176407e-06,0.0
1813,4.155446731601842e-06,0.0
1814,1.2838443126383936e-06,0.0
1815,1.4484090797850513e-06,0.0
1816,2.1762300548289204e-06,3.476405652236281e-08
1817,1.3918448757976876e-06,0.0
1818,1.5902850138971303e-06,0.0
1819,1.3725492635785486e-06,0.0
1820,9.97971028482425e-07,1.542642635854463e-08
1821,1.6942037053269132e-06,0.0
1822,1.7294187273364514e-06,0.0
1823,1.5199573006885458e-06,0.0
1824,1.6134852103277808e-06,1.3473780313688621e-08
1825,9.906123521474797e-07,0.0
1826,1.0745741292339517e-06,0.0
1827,1.295948550250614e-06,0.0
1828,1.5776357807917307e-06,9.172301251858528e-10
1829,1.1325165587550146e-06,0.0
1830,1.4121038334202751e-06,0.0
1831,1.3642305702887825e-06,0.0
1832,1.2853470745533002e-06,2.705993873419743e-09
1833,1.4502702546659307e-06,0.0
1834,1.1350789714814624e-06,1.8669061851994684e-09
1835,1.5663155323863975e-06,0.0
1836,1.5007434512881446e-06,0.0
1837,1.0840394311095736e-06,0.0
1838,1.4972448525440996e-06,0.0
1839,1.4038881772648892e-06,0.0
1840,1.4242623365134932e-06,7.64362617644565e-09
1841,1.6276090946121258e-06,0.0
1842,1.3577528821251406e-06,2.0124795163667386e-09
1843,1.7366319041145495e-06,1.7720733769266417e-09
1844,1.482460447732592e-06,2.7442805805577564e-09
1845,1.506103540216408e-06,0.0
1846,1.391614934398433e-06,1.7563503984519002e-09
1847,1.3439913750801225e-06,0.0
1848,1.6235256907748408e-06,0.0
1849,1.2527224966252248e-06,1.508294644736452e-08
1850,1.2641111135636152e-06,1.3577992064028876e-09
1851,1.2840832823712844e-06,1.2898877521649865e-09
1852,9.987177236325806e-07,4.557381805270211e-09
1853,1.5377724897902567e-06,5.971931837933653e-10
1854,1.4958318388380576e-06,1.558699391779328e-09
1855,1.4493245217295225e-06,6.8990182455763716e-09
1856,1.6701612384206754e-06,0.0
1857,1.3028747867793733e-06,2.440754542920587e-09
1858,1.2777388309626048e-06,3.9149408159744326e-09
1859,1.353499639922262e-06,0.0
1860,1.8111916695318087e-06,0.0
1861,1.883084323139883e-06,2.3579818653196583e-09
1862,1.8085498547648626e-06,2.710791813242963e-09
1863,1.7695941867401643e-06,3.496234690647526e-09
1864,1.517531341921341e-06,7.192092033037056e-09
1865,1.7208223508369258e-06,3.765475486972036e-09
1866,1.852338885832694e-06,2.432806400776144e-09
1867,1.6955722994538291e-06,1.455843445796745e-09
1868,2.0530117073036536e-06,0.0
1869,1.8576907141465426e-06,4.883519144627257e-10
