year,mon_DET antre_NOUN,mon_DET centre_NOUN
1800,2.829747991484055e-08,1.2576657937302116e-08
1801,1.1905912700171939e-08,2.3811825400343878e-08
1802,3.1329761895904085e-08,2.2378401354217203e-08
1803,1.950339223455444e-09,1.1702034896643454e-08
1804,3.707776485839531e-08,1.730295728918918e-08
1805,3.1271653710973624e-08,5.685755422035754e-09
1806,6.916005901302924e-08,1.181484350354367e-07
1807,8.540865792383556e-09,5.124519120158766e-08
1808,4.305540457494317e-08,2.945896193651265e-08
1809,2.0331274441787173e-08,2.9367397402779716e-08
1810,7.722418615685456e-08,2.106114038724627e-08
1811,3.5099073869560016e-08,5.0141535368197765e-09
1812,2.6672082320544632e-09,1.8670457180292033e-08
1813,5.751483289628823e-09,1.4378708002027452e-08
1814,2.2026739543434815e-08,1.8880061958270744e-08
1815,0.0,1.6183340889597275e-08
1816,1.3905623319487859e-08,6.952811659743929e-09
1817,4.826307531402563e-08,1.0898113522728181e-08
1818,2.741870730460505e-08,2.2650237241350624e-08
1819,1.5526575580793178e-08,4.6579724966022695e-08
1820,8.306536791735653e-09,2.7292905713238724e-08
1821,1.2819934447350079e-08,1.7750679148775816e-08
1822,5.514088741165324e-08,1.7043547018147365e-08
1823,3.360113609574e-08,3.5577674140085946e-08
1824,4.8000341479337294e-08,4.463189640091514e-08
1825,4.4027217427355936e-09,9.68598712347557e-09
1826,1.2331177856594877e-08,9.688783109140786e-09
1827,9.217273166939322e-09,1.1429418655950485e-07
1828,1.834460228167245e-08,5.961995697134626e-08
1829,1.628903412154159e-08,3.4292705397565015e-08
1830,1.7742621594152297e-08,2.0873670791843324e-08
1831,3.897801548191637e-08,3.897801548191637e-08
1832,1.6235963684607668e-08,6.764984572527055e-09
1833,2.3167256557599103e-08,2.3167257001688313e-09
1834,1.213489042584115e-08,1.4935249481595747e-08
1835,3.1764969321557146e-08,1.8151411040889798e-08
1836,2.2850549896702432e-08,4.704525213838906e-09
1837,2.922314124020886e-08,3.965997663613052e-08
1838,2.398621568033832e-08,2.146135025249407e-08
1839,1.3982949909063791e-08,2.3771015378315496e-08
1840,1.52872523528913e-08,1.8472097795818598e-08
1841,1.8619591202195807e-08,2.8892467973662406e-08
1842,8.049918065466954e-09,1.475818356411196e-08
1843,4.016699506337318e-08,3.1306630177141415e-08
1844,1.0977122322231025e-08,1.4270259640625227e-08
1845,1.1160455670733427e-08,1.562463758375543e-08
1846,1.3465353276842507e-08,2.2247105491146613e-08
1847,1.3483059113639229e-08,1.5101026207275936e-08
1848,6.43617736884039e-09,2.172209789819135e-08
1849,1.6758829879393033e-09,2.0948537127196687e-08
1850,8.82569484161877e-09,2.1724787302446202e-08
1851,1.1608989325395669e-08,2.2573036106976474e-08
1852,2.1484799939130994e-08,1.4323199737376058e-08
1853,1.2541056637616066e-08,1.851298847554972e-08
1854,1.506742641765868e-08,3.3252252507054436e-08
1855,2.9188154115900034e-08,2.865746040470185e-08
1856,1.346069211649592e-08,2.174419400091665e-08
1857,3.7099468386259105e-08,8.59145572462694e-08
1858,2.0064071293290908e-08,5.431980554249094e-08
1859,2.3933214521321133e-08,5.092173172016601e-08
1860,4.668727626722102e-08,3.661747269290139e-08
1861,1.6977470096435354e-08,2.4994607550343773e-08
1862,1.490935552794781e-08,2.981871105589562e-08
1863,1.6981710815322515e-08,9.639618525625337e-08
1864,8.151037178549814e-09,2.3014694150447212e-08
1865,1.835669355410019e-08,1.694464046853028e-08
1866,2.092213513549268e-08,4.573676132269e-08
1867,1.1161466417775046e-08,1.747012134956094e-08
1868,8.397785911107292e-09,2.420538258718352e-08
1869,1.2208797528501236e-08,4.5416729377301124e-08
1870,2.064257476064313e-08,1.77755516972411e-08
1871,1.0621176826930423e-08,4.248470730772169e-08
1872,1.9351485747165498e-08,2.3584623920491765e-08
1873,8.380406590902112e-09,2.334541804316359e-08
1874,1.4339061493728877e-08,3.286034977456609e-08
1875,9.7265964171811e-09,4.3483606049221635e-08
1876,7.255217759905008e-09,2.6602464897607092e-08
1877,2.4120782260439455e-08,5.690030846494665e-08
1878,1.268208649207736e-08,1.2078177569208037e-08
1879,3.1157558311178946e-08,1.8938909107646396e-08
1880,2.9522093214495726e-08,1.2193908105473383e-08
