year,en_ADP août_NOUN,en_ADP soute_NOUN
1800,3.229057028875104e-06,1.8864987794131594e-08
1801,1.5049074093553827e-06,4.7623651688866175e-09
1802,1.996153372374465e-06,1.7902721083373763e-08
1803,1.7104474636653322e-06,3.900678446910888e-09
1804,1.3076091889274721e-06,2.4718509461507665e-09
1805,1.2736091719034448e-06,8.528632911009026e-09
1806,2.616555661916209e-06,2.881669125542885e-09
1807,1.3323749712412791e-06,2.8469551160981155e-09
1808,1.8468503526491986e-06,2.2660739951163578e-09
1809,1.1746958179514877e-06,6.7770917766551975e-09
1810,1.2706887915214793e-06,7.020380277111826e-09
1811,4.424990692086794e-06,2.5070767684098882e-09
1812,1.2749255873245602e-06,5.3344164641089264e-09
1813,1.2538233491454776e-06,2.8757416448144113e-09
1814,2.108273719159115e-06,3.1466771410748606e-09
1815,1.6722786497780362e-06,1.3486118000116676e-08
1816,1.610734670975944e-06,1.8540831092650478e-08
1817,1.7250157569037583e-06,4.670620334934483e-09
1818,1.7464524759702726e-06,2.6226590676969863e-08
1819,1.4108480659302813e-06,4.140420006848444e-09
1820,1.4109246251337026e-06,4.746592452420373e-09
1821,1.8588905845717818e-06,5.9168927535324656e-09
1822,2.080315269381572e-06,5.012807946513931e-09
1823,1.6444790915670637e-06,1.581229902569703e-08
1824,1.1781136777244683e-06,6.736890156844311e-09
1825,2.1414837760858063e-06,1.1447076175841175e-08
1826,2.0584259203815236e-06,1.2331177856594877e-08
1827,2.2066152070010503e-06,6.452091305675367e-09
1828,1.4033620914233325e-06,1.2841221419535032e-08
1829,1.4334350559863651e-06,6.001223074036943e-09
1830,1.4768122404973383e-06,1.6698937344017395e-08
1831,2.106371908894289e-06,3.1182412207897414e-09
1832,1.6073603603672382e-06,1.8941957335982806e-08
1833,1.712060280212313e-06,3.4750886612755494e-09
1834,1.9070446235502914e-06,5.60071877764301e-09
1835,1.572365945889942e-06,1.5126175867408165e-08
1836,1.6492720149585693e-06,3.36037508930076e-09
1837,1.7241653935684553e-06,4.174734336004349e-09
1838,1.4461162649581638e-06,4.418513332993257e-09
1839,1.8058980764124044e-06,9.788065469251706e-09
1840,1.6026136968605442e-06,1.3376346252869098e-08
1841,1.8253619415986577e-06,9.630822361827995e-09
1842,1.7783610477550837e-06,6.037438549100216e-09
1843,1.8606769316420468e-06,9.4510577697271e-09
1844,1.798052654322646e-06,9.330554107123135e-09
1845,2.0228325858795415e-06,2.6227071736606433e-08
1846,1.7586922140822026e-06,1.1709002656346001e-08
1847,1.936167237204245e-06,7.550513103637968e-09
1848,1.563991084196914e-06,9.65426583121598e-09
1849,2.0973675063373776e-06,1.1731181359664333e-08
1850,1.806551837901793e-06,8.82569484161877e-09
1851,2.226346261124945e-06,9.674158363282004e-09
1852,2.215538575711662e-06,9.765818376195057e-09
1853,2.3159151538720835e-06,1.791579506971175e-08
1854,2.0725506004737326e-06,6.234797567117312e-09
1855,2.072889685678092e-06,6.368324534378189e-09
1856,2.195645937064228e-06,8.801221695886596e-09
1857,3.4492743026248718e-06,1.122747050885664e-08
1858,2.9264183609711836e-06,1.9085336810942266e-08
1859,2.294533398838894e-06,2.2405562516425448e-08
1860,2.0958925297520636e-06,5.950338888283113e-09
1861,2.199997020113642e-06,5.659156698811785e-09
1862,2.305528397528178e-06,1.1294965879260488e-08
1863,2.513293267725203e-06,1.1487627737949424e-08
1864,2.557987336615497e-06,1.0068928801842958e-08
1865,2.573231697056144e-06,3.765475486972036e-09
1866,2.9140156314610977e-06,2.919367692033603e-09
1867,2.9267306160818407e-06,1.4073153309368536e-08
1868,2.54304710267661e-06,1.4819622196071691e-09
