year,en_ADP airs_NOUN,en_ADP cerf_NOUN
1800,0.0,1.1633408902866904e-07
1801,2.3811825844433088e-09,5.476719877606229e-08
1802,0.0,1.3427040812530322e-07
1803,7.801356671777171e-09,1.1311967429428194e-07
1804,2.4718509905596875e-08,6.673997243744623e-08
1805,3.1271653710973624e-08,1.0234359471006371e-07
1806,4.3225035994964855e-08,2.1612518175118112e-07
1807,1.4234775136401367e-08,6.832692145408714e-08
1808,2.2660739951163578e-09,1.7448769717987034e-07
1809,2.259030518203531e-09,5.42167306605279e-08
1810,9.360507036149102e-09,1.4976811257838563e-07
1811,1.2535384286138651e-08,1.5042460255187962e-07
1812,2.9339290108509886e-08,2.6672083208723052e-08
1813,4.3136125782439194e-08,1.0352669699287276e-07
1814,0.0,3.776012391654149e-08
1815,3.506390555685357e-08,2.4275012222574333e-08
1816,1.228330006597389e-07,4.4034472068688046e-08
1817,6.227493631882908e-09,3.580808805025981e-08
1818,5.960588467246453e-09,8.940882878505363e-08
1819,0.0,1.1386155129855524e-08
1820,2.0173018810965004e-08,6.526564533260171e-08
1821,1.676452932031225e-08,5.1279737789400315e-08
1822,1.0025615893027862e-09,3.709477880420309e-08
1823,1.2847492847356534e-08,4.644862849900733e-08
1824,1.7684335773537896e-08,3.789500624407083e-08
1825,4.4027217427355936e-09,2.0252519661312363e-08
1826,7.0463874735082754e-09,3.258954150986426e-08
1827,5.530363722527909e-09,1.6591091167583727e-08
1828,1.0089530988466322e-08,5.5033806956039655e-09
1829,1.7146351893870815e-08,4.286587973467704e-09
1830,1.982998831806526e-08,4.383470941782264e-08
1831,0.0,3.585977381703742e-08
1832,2.976593194148336e-08,4.8707889277466165e-08
1833,2.085053074640797e-08,3.0117434990373226e-08
1834,1.8669061851994684e-09,4.0138484536100805e-08
1835,6.050470346963266e-09,4.61348363955949e-08
1836,1.1425274948351216e-08,2.419469957715137e-08
1837,2.5048407792382932e-08,2.01778832531474e-08
1838,2.1461350030449466e-08,5.996553653631054e-08
1839,5.2436064379435265e-08,1.677954131196202e-08
1840,7.0066574764382494e-09,3.758116307039927e-08
1841,1.733548060656176e-08,9.695028069245382e-08
1842,6.708265054555795e-09,5.0311989241436095e-08
1843,1.3585895075607368e-08,2.126487963494128e-08
1844,1.0977122322231025e-08,3.0187088384536764e-08
1845,5.580227835366713e-09,1.897277535078956e-08
1846,9.952652035849496e-09,3.5127008857216424e-08
1847,9.168480197274675e-09,4.0449176452739266e-08
1848,2.735375304041554e-08,2.011305433313737e-08
1849,6.703531951757213e-09,7.0387088157986e-08
1850,2.0366988096043315e-09,2.5119284430275002e-08
1851,3.8696632564949596e-09,2.644269869733762e-08
1852,5.859490670445666e-09,3.1250618093281446e-08
1853,1.1943863675867306e-09,3.523439673358553e-08
1854,7.27393034694046e-09,5.2476209710938804e-08
1855,1.2736649068756378e-08,5.3600064831016425e-08
1856,1.0872097000458325e-08,4.0899795550330964e-08
1857,7.322263684272912e-09,3.3194262505364946e-08
1858,2.4468379322684086e-08,5.4809170979552846e-08
1859,1.3748867822016564e-08,1.5785736939832873e-08
1860,1.373155189554609e-08,4.165237399433863e-08
1861,1.2733101684148096e-08,4.810283105172175e-08
1862,1.0843167252971853e-08,3.885468302655681e-08
1863,9.489779628779615e-09,2.3474717281146695e-08
1864,1.3904711160250827e-08,5.2742006984018985e-08
1865,7.530950973944073e-09,5.5540765098172074e-08
1866,1.0704348518686402e-08,3.503241430280468e-08
1867,2.426405742994575e-08,4.949867715708933e-08
1868,1.1855697756857353e-08,2.420538258718352e-08
