year,en_ADP eau_NOUN,en_ADP saut_NOUN
1800,3.1787503758096136e-06,4.4018302336468196e-08
1801,2.576439555923571e-06,7.381665767525192e-08
1802,1.4859258499200223e-06,5.370816325012129e-08
1803,2.201932985057553e-06,2.9255089017965474e-08
1804,3.030489324373775e-06,5.9324420931261557e-08
1805,2.771805839074659e-06,3.1271653710973624e-08
1806,1.8154515828427975e-06,1.4408345627714425e-08
1807,1.3608445215140819e-06,1.1387820464392462e-08
1808,1.4004336890138802e-06,1.2236799307174806e-07
1809,2.3855361632740824e-06,2.25903047379461e-08
1810,1.8884823020925978e-06,2.3401266702194334e-08
1811,1.5669229469494894e-06,3.259199843341776e-08
1812,1.2935960285176407e-06,2.9339290108509886e-08
1813,4.155446731601842e-06,1.7254450312975678e-08
1814,1.2838443126383936e-06,4.720015622794449e-08
1815,1.4484090797850513e-06,2.4275012222574333e-08
1816,2.1762300548289204e-06,1.1588019432906549e-08
1817,1.3918448757976876e-06,2.1796227045456362e-08
1818,1.5902850138971303e-06,1.1921176934492905e-08
1819,1.3725492635785486e-06,2.2772310259711048e-08
1820,9.97971028482425e-07,1.4239777357261119e-08
1821,1.6942037053269132e-06,3.254291058851777e-08
1822,1.7294187273364514e-06,2.8071724500478012e-08
1823,1.5199573006885458e-06,5.336650943377208e-08
1824,1.6134852103277808e-06,4.7158231097910175e-08
1825,9.906123521474797e-07,2.1133063299316746e-08
1826,1.0745741292339517e-06,4.844391454650321e-08
1827,1.295948550250614e-06,2.2121454890111636e-08
1828,1.5776357807917307e-06,5.044765671868845e-08
1829,1.1325165587550146e-06,6.858540846366168e-09
1830,1.4121038334202751e-06,8.349468672008697e-09
1831,1.3642305702887825e-06,1.7150327380477393e-08
1832,1.2853470745533002e-06,9.470978779013706e-09
1833,1.4502702546659307e-06,9.266902467608418e-09
1834,1.1350789714814624e-06,1.7735608093261135e-08
1835,1.5663155323863975e-06,3.781543966852041e-08
1836,1.5007434512881446e-06,2.2850549896702432e-08
1837,1.0840394311095736e-06,1.3915782193230086e-08
1838,1.4972448525440996e-06,2.7142295522253335e-08
1839,1.4038881772648892e-06,1.7478688718597368e-08
1840,1.4242623365134932e-06,1.2102408852854296e-08
1841,1.6276090946121258e-06,8.988767952189392e-09
1842,1.3577528821251406e-06,2.683306021822318e-08
1843,1.7366319041145495e-06,8.269675610961258e-09
1844,1.482460447732592e-06,8.232841963717874e-09
1845,1.506103540216408e-06,1.6740683173033233e-08
1846,1.391614934398433e-06,1.1123552745573306e-08
1847,1.3439913750801225e-06,1.0247124926365814e-08
1848,1.6235256907748408e-06,8.045221766561639e-09
1849,1.2527224966252248e-06,1.6758828991214614e-08
1850,1.2641111135636152e-06,1.2220192857625989e-08
1851,1.2840832823712844e-06,1.0319102017319892e-08
1852,9.987177236325806e-07,2.408901877970493e-08
1853,1.5377724897902567e-06,1.3735442783158192e-08
1854,1.4958318388380576e-06,1.454786069388092e-08
1855,1.4493245217295225e-06,3.714855978387277e-09
1856,1.6701612384206754e-06,6.73034605824796e-09
1857,1.3028747867793733e-06,1.3180074809326925e-08
1858,1.2777388309626048e-06,1.3702292633865909e-08
1859,1.353499639922262e-06,1.476730293603623e-08
1860,1.8111916695318087e-06,9.612086238064421e-09
1861,1.883084323139883e-06,2.0278644541349422e-08
1862,1.8085498547648626e-06,1.0391368654438793e-08
1863,1.7695941867401643e-06,1.048870412745373e-08
1864,1.517531341921341e-06,1.0548401263577034e-08
1865,1.7208223508369258e-06,8.943004170536284e-09
1866,1.852338885832694e-06,6.3252967308358166e-09
1867,1.6955722994538291e-06,1.6014277903764196e-08
1868,2.0530117073036536e-06,1.432563490055827e-08
1869,1.8576907141465426e-06,1.0743742229202269e-08
1870,2.1290523042338805e-06,1.3188312220080434e-08
1871,2.2368199523725707e-06,2.2304471603007414e-08
1872,1.9557096111455508e-06,9.675742873582749e-09
1873,2.254329380946274e-06,2.1549615758509333e-08
1874,2.2464530360366552e-06,1.1949218059470468e-08
1875,1.9190002786828586e-06,2.4030414436104763e-08
1876,2.4728200003210077e-06,1.6928841217733748e-08
1877,2.013776033038539e-06,1.36065949618569e-08
1878,2.335919546680998e-06,2.0532901601200138e-08
