year,en_PRON auront_VERB,en_PRON sauront_VERB
1800,1.6789838355180109e-06,8.489244152087849e-08
1801,1.6263477391476044e-06,4.286128785224719e-08
1802,1.5015907592896838e-06,8.280008501060365e-08
1803,1.7826100702222902e-06,2.7304748684287006e-08
1804,1.9577059902076144e-06,5.9324420931261557e-08
1805,1.6716120398996281e-06,8.24434565060983e-08
1806,2.383140326855937e-06,2.0171682990621775e-08
1807,2.19215553443064e-06,7.117387923472052e-08
1808,2.1142470814083936e-06,4.078933102391602e-08
1809,1.757525751600042e-06,9.03612189517844e-08
1810,2.066331944661215e-06,4.44624070894406e-08
1811,2.146057795471279e-06,4.011322829455821e-08
1812,1.840373670347617e-06,2.1337665856435706e-08
1813,1.446498004042951e-06,1.2365688917270745e-07
1814,1.7401124523530598e-06,5.664018942752591e-08
1815,1.591361865393992e-06,3.506390555685357e-08
1816,1.3743391491516377e-06,5.7940098940889584e-08
1817,1.4883710264257388e-06,9.49692804397273e-08
1818,1.821555883907422e-06,6.199012148044858e-08
1819,1.9346111912454944e-06,6.93520334493769e-08
1820,1.6791070720501011e-06,9.255855104584043e-08
1821,1.8440982785250526e-06,1.0255947557880063e-07
1822,1.9319361399539048e-06,1.6843034700286807e-07
1823,1.180981030302064e-06,1.0772128433700345e-07
1824,1.790328610695724e-06,1.4063257935958973e-07
1825,1.978582986339461e-06,1.2063456722444243e-07
1826,2.079565092572011e-06,5.725189922145546e-08
1827,2.371604296058649e-06,7.558163872545265e-08
1828,2.0949535155523336e-06,9.264024214417077e-08
1829,2.4570722416683566e-06,5.829759786024624e-08
1830,1.8984604821525863e-06,1.1376150865771706e-07
1831,1.512347012067039e-06,9.354723573551382e-08
1832,1.3097010196361225e-06,6.3590853471851e-08
1833,1.4016191016708035e-06,8.456049016558609e-08
1834,1.8482371615391457e-06,4.29388435918554e-08
1835,1.8544691329225316e-06,5.899208588289184e-08
1836,1.8125863334716996e-06,6.787957573806125e-08
1837,1.5697002027081908e-06,1.224588856985065e-07
1838,1.4328606994240545e-06,1.249808008196851e-07
1839,1.8478468746252474e-06,9.648235987924636e-08
1840,1.3567437235906255e-06,8.280595409360103e-08
1841,1.3720712104259292e-06,7.383631128732304e-08
1842,1.2001086133750505e-06,7.177843741601464e-08
1843,1.4099796317168511e-06,7.029224491361674e-08
1844,1.3178035942473798e-06,1.1196664928547762e-07
1845,1.3465089523378992e-06,4.631589334280761e-08
1846,1.2352998055575881e-06,7.727941664370519e-08
1847,1.694550860520394e-06,7.604445073638999e-08
1848,1.461012288928032e-06,6.999342616609283e-08
1849,1.316406041951268e-06,6.116972883773997e-08
1850,1.3992121239425614e-06,9.708264059327121e-08
1851,1.3176203310649726e-06,6.320450296470881e-08
1852,1.5332334442064166e-06,6.901178295493082e-08
1853,1.3329351986612892e-06,6.628844317901894e-08
1854,1.3685380508832168e-06,9.663936140213991e-08
1855,1.132500415224058e-06,7.748128183493463e-08
1856,1.3134529126546113e-06,6.782117623060913e-08
1857,1.0446429996591178e-06,9.030792114117503e-08
1858,1.1828014976345003e-06,9.689478730479095e-08
1859,1.1330085953886737e-06,8.096555603742672e-08
1860,1.1603161738094059e-06,7.689668990451537e-08
1861,1.2997196563446778e-06,6.508030025997869e-08
1862,1.3309987707543769e-06,7.093238707511773e-08
1863,1.3205777804614627e-06,8.390963301962984e-08
1864,1.138747848017374e-06,1.006892844657159e-07
1865,1.1988332744294894e-06,7.107335164846518e-08
1866,1.1195775186934043e-06,7.93094869777633e-08
1867,1.0637362493071123e-06,1.057912868418498e-07
1868,1.2749815141432919e-06,8.891773006780568e-08
1869,1.0963500471916632e-06,9.718203131114933e-08
1870,1.121006562243565e-06,6.020751186497364e-08
1871,1.0121981404154212e-06,1.072738911034321e-07
1872,1.132666625380807e-06,7.135860613516343e-08
1873,9.068796771316556e-07,6.764184945495799e-08
1874,1.1244214874750469e-06,8.48394492436455e-08
1875,1.1580370937736006e-06,7.495200549101355e-08
