year,un_DET sentier_NOUN
1800,1.2073591548755758e-06
1801,1.281076229986411e-06
1802,1.5038285141599772e-06
1803,1.0648851720418406e-06
1804,1.18401659321421e-06
1805,2.0298147092034924e-06
1806,1.0748625669521061e-06
1807,1.0533733387774191e-06
1808,1.1534316115557885e-06
1809,9.216844318871154e-07
1810,1.2917499958575718e-06
1811,1.6496565535817354e-06
1812,9.361901014415253e-07
1813,1.1071605854340305e-06
1814,1.161123861947999e-06
1815,7.606170520091382e-07
1816,9.085007377507281e-07
1817,8.827472441907958e-07
1818,1.1706595657301477e-06
1819,8.498212196172972e-07
1820,1.18783472657924e-06
1821,8.273788800750026e-07
1822,9.444130029123698e-07
1823,1.0989547405415578e-06
1824,9.659016448892999e-07
1825,8.761415628555369e-07
1826,1.2798001094438405e-06
1827,8.378501448191855e-07
1828,7.218601218994536e-07
1829,9.524798691984415e-07
1830,1.1918866320570487e-06
1831,1.2270279725612454e-06
1832,9.430388914211107e-07
1833,1.413202696198823e-06
1834,1.246159911261202e-06
1835,1.4158100611894042e-06
1836,1.307185883092643e-06
1837,1.0756899513353346e-06
1838,1.0509749763798482e-06
1839,9.962852161038427e-07
1840,1.0395331848656042e-06
1841,1.1152492831456584e-06
1842,1.0102647109988538e-06
1843,1.0661974592096612e-06
1844,1.0439243922633068e-06
1845,8.967426552430879e-07
1846,1.0871809195123205e-06
1847,7.733882512184209e-07
1848,8.326804490366158e-07
1849,1.0574822120190674e-06
1850,1.0550099531769774e-06
1851,1.1047888506254822e-06
1852,8.925957715177901e-07
1853,9.758136663151618e-07
1854,1.067709092694713e-06
1855,1.113926131779408e-06
1856,1.0074810319338212e-06
1857,1.0534296599473691e-06
1858,1.0849279448166271e-06
1859,1.1416652867524135e-06
1860,1.2980893231429036e-06
1861,1.1266437134338503e-06
1862,1.1760317732978365e-06
1863,1.0873289326696067e-06
1864,1.0231949403305407e-06
1865,1.1644733319826628e-06
1866,1.11519842960206e-06
1867,1.005987840585476e-06
1868,9.692032847397059e-07
1869,1.1779048563198558e-06
1870,1.0332755735475985e-06
1871,9.877694964188777e-07
1872,9.137529772829112e-07
1873,9.900851338784378e-07
1874,9.607171307379758e-07
1875,1.1368674250888944e-06
1876,1.165067082808946e-06
1877,1.1243994961773751e-06
1878,1.12206265612258e-06
1879,1.099067624465988e-06
1880,1.295121393241061e-06
1881,1.145582984918292e-06
1882,1.2032936282935225e-06
1883,1.0515380424180876e-06
1884,1.0523104805315597e-06
1885,1.0789994249194024e-06
1886,1.0551413680559563e-06
1887,1.4272228767708839e-06
1888,9.574328245776087e-07
1889,1.2047858461983196e-06
1890,1.092616265907509e-06
1891,1.049196626468074e-06
1892,1.0499758005266813e-06
1893,1.1306852982784221e-06
1894,1.1267152402183456e-06
1895,1.0959897025486498e-06
1896,1.148741276324472e-06
1897,1.1076582993041484e-06
1898,1.054151532287051e-06
1899,1.0137578527746882e-06
1900,1.076105355934942e-06
1901,1.0585071450464056e-06
1902,8.538983706785075e-07
1903,1.0255018452198783e-06
1904,9.276602810359691e-07
1905,9.712548774132301e-07
1906,9.485876049097897e-07
1907,9.236546816282498e-07
1908,9.670525358274062e-07
1909,9.368175142299151e-07
1910,1.0089756230513558e-06
1911,8.837141436401907e-07
1912,9.304026349354899e-07
1913,8.946143594812384e-07
