year,rien_PRON avoir_VERB,rien_PRON savoir_VERB
1800,4.4332719539852405e-07,6.759953521395801e-07
1801,4.952859740114945e-07,8.310327075378154e-07
1802,3.8043282302169246e-07,5.348438207875006e-07
1803,4.661310697429144e-07,4.856344730796991e-07
1804,5.68525706512446e-07,5.80885000545095e-07
1805,4.6338905690390675e-07,5.5151826927613e-07
1806,5.388721433519095e-07,5.965055152046261e-07
1807,3.98573718030093e-07,4.640536701572273e-07
1808,4.7134338387877506e-07,5.801149427497876e-07
1809,4.721373727534228e-07,4.2469773120501486e-07
1810,4.727056079900649e-07,4.0250179722534085e-07
1811,4.3372426716814516e-07,4.1617474266786303e-07
1812,4.5875981413701084e-07,4.1341726841892523e-07
1813,4.112310421078291e-07,5.86651310641173e-07
1814,2.9578765747828584e-07,2.517341783914162e-07
1815,4.693168875746778e-07,2.778140242298832e-07
1816,5.608601441053906e-07,4.1021587549039396e-07
1817,4.826307531402563e-07,7.192755333562673e-07
1818,4.685022645389836e-07,7.128863899197313e-07
1819,5.506758498086128e-07,5.879396667296533e-07
1820,5.95697372318682e-07,7.001223707447934e-07
1821,6.656504751845205e-07,9.230353157363425e-07
1822,5.123089863445784e-07,7.76985245920514e-07
1823,4.7436896011276986e-07,7.63931723213318e-07
1824,5.541091923078056e-07,9.246381864613795e-07
1825,6.287086193879077e-07,6.331113695523527e-07
1826,6.130356950961868e-07,7.187315418377693e-07
1827,4.48881195325157e-07,5.991227567392343e-07
1828,5.173178010409174e-07,5.402485498962051e-07
1829,5.821186732646311e-07,6.069808478059713e-07
1830,5.395843913902354e-07,6.554332685482223e-07
1831,4.661770560687728e-07,6.049388048268156e-07
1832,4.2619404894139734e-07,6.697334811178735e-07
1833,5.490639978233958e-07,7.668361945434299e-07
1834,4.2658805909923103e-07,7.271599429259368e-07
1835,6.882410161779262e-07,8.591667892687838e-07
1836,6.458640768869373e-07,7.856556862861908e-07
1837,4.515671321314585e-07,8.335553616234392e-07
1838,4.7278092552005546e-07,6.362658950820332e-07
1839,5.334495654096827e-07,6.313301810223493e-07
1840,4.662612127503962e-07,6.490712962659018e-07
1841,4.918140348308953e-07,5.438204766505805e-07
1842,4.3603722588159144e-07,6.540558388223872e-07
1843,4.944084821545403e-07,8.039306180762651e-07
1844,4.753094060561125e-07,7.694962960158591e-07
1845,5.278895400806505e-07,6.774396865694143e-07
1846,4.607492485320108e-07,7.651833016097953e-07
1847,4.082670272964606e-07,6.466474928856769e-07
1848,4.41682658447462e-07,6.38790595530736e-07
