year,ton_DET homme_NOUN,ton_DET somme_NOUN
1800,1.8864986461863964e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,1.7553053011098996e-08,0.0
1804,4.449331569844617e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,2.881669125542885e-09,0.0
1807,3.4163463169534225e-08,0.0
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,2.7108365552308555e-08,0.0
1810,3.2761775958789485e-08,0.0
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,2.400487275622254e-08,8.00162425207418e-09
1813,4.6011867427253605e-08,0.0
1814,9.440030979135372e-09,0.0
1815,2.697223555614414e-09,0.0
1816,1.1588019432906549e-08,0.0
1817,4.0478708385194295e-08,0.0
1818,3.337929754820834e-08,0.0
1819,5.5895669093253275e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,5.916892809043617e-08,0.0
1822,3.208197085768916e-08,0.0
1823,3.162459860650557e-08,9.882686891060644e-10
1824,5.894778709603088e-08,0.0
1825,5.723537888080443e-08,2.641632912414593e-09
1826,3.8755132436563144e-08,8.807984341885344e-10
1827,1.6591091167583727e-08,1.8434546111834038e-09
1828,5.228211580332598e-08,9.172301251858528e-10
1829,4.372319883927389e-08,0.0
1830,4.4878393001823724e-08,1.0436835840010872e-09
1831,7.327867113104958e-08,0.0
1832,2.570694235259907e-08,1.3529969367098715e-09
1833,4.401778663787326e-08,2.3167257001688313e-09
1834,4.947301412983052e-08,1.4001796166951408e-08
1835,4.310960122211327e-08,0.0
1836,6.04867480547e-08,1.3441500135158435e-09
1837,1.6351044251905478e-07,7.653680356156656e-09
1838,4.734121250571377e-08,6.943378316748294e-09
1839,2.3771015378315496e-08,7.690622361167243e-09
1840,3.121147429396842e-08,2.5478754661634184e-09
1841,3.4028907691663335e-08,6.420548537278137e-10
1842,2.6162233712767602e-08,6.037438549100216e-09
1843,4.134837583436024e-08,5.906911071384968e-10
1844,5.269018737985576e-08,1.097712254427563e-09
1845,7.421703429599802e-08,5.580227946389016e-10
1846,3.5712459878212144e-08,2.3418005312692003e-09
1847,2.426950640455061e-08,7.011190739092399e-09
1848,2.57447089757612e-08,8.045221711050488e-10
1849,2.9327951622803994e-08,0.0
1850,2.1724788190624622e-08,6.788996032014438e-10
1851,2.450786706909014e-08,3.2247193804124663e-09
1852,4.492276506340431e-08,0.0
1853,1.9110181659343084e-08,1.1943863675867306e-09
1854,3.16935526711859e-08,5.195664454227256e-10
1855,6.739809776945549e-08,1.0613874223963649e-09
1856,2.847454094734303e-08,6.212626857404757e-09
1857,3.4170565321733903e-08,2.4407544874094356e-09
1858,3.034079076869034e-08,0.0
1859,7.536416846143368e-08,3.5645213447565993e-09
1860,2.883625893623787e-08,9.154367819341758e-10
1861,4.197207825740179e-08,2.8295783494058924e-09
1862,3.478849575078158e-08,1.3553959066214816e-09
1863,3.945750504108503e-08,1.9978483312144135e-09
1864,9.781245324802512e-08,2.8768367688059016e-09
1865,4.848049783845454e-08,0.0
1866,8.125573280892695e-08,3.8924903300596725e-09
1867,6.066014535122122e-08,4.367530337390235e-09
1868,6.570032562436268e-08,0.0
1869,6.250904682758573e-08,2.9301114867763545e-09
