year,mon_DET entier_ADJ,mon_DET sentier_NOUN
1800,1.2576657315577222e-07,2.5153315874604232e-08
1801,1.0000967165524344e-07,2.3811825400343878e-08
1802,2.3721105435470236e-07,0.0
1803,4.2322362148183856e-07,1.950339223455444e-09
1804,4.2763021568248405e-07,0.0
1805,2.3311597185937671e-07,0.0
1806,2.2188851733773163e-07,0.0
1807,2.761546600282827e-07,8.540865792383556e-09
1808,1.790198425055678e-07,1.8128591960930862e-08
1809,3.8403519653229523e-07,4.518061036407062e-09
1810,3.01876355024433e-07,2.8081521108447305e-08
1811,3.6603319841788107e-07,0.0
1812,3.360682399033976e-07,0.0
1813,4.5436719631197775e-07,0.0
1814,2.0138733702879108e-07,6.293354282149721e-09
1815,1.591361833419569e-07,2.697223555614414e-09
1816,4.8669681618207505e-08,2.3176038865813098e-09
1817,1.7904043669858538e-07,1.556873407970727e-09
1818,1.5020683363786702e-07,3.5763532135746345e-09
1819,7.349245179089081e-08,1.035105001712111e-09
1820,1.210381119776116e-07,9.493184904840746e-09
1821,1.0157332830385002e-07,1.3806083387635226e-08
1822,3.909990198280866e-08,2.0051231786055723e-09
1823,9.685032997808207e-08,6.917880934764753e-09
1824,1.33895688314567e-07,2.5263338976344585e-08
1825,1.5585633539316746e-07,2.641632912414593e-09
1826,5.372870304221067e-08,2.642395191543301e-09
1827,1.5761536520386699e-07,7.373818444733615e-09
1828,3.944089616014779e-08,1.559291185060374e-08
1829,6.601345603485242e-08,6.858540846366168e-09
1830,5.322786122974321e-08,5.218417697960831e-09
1831,7.483778574624012e-08,2.0268567268999504e-08
1832,9.065079198400383e-08,3.788391311765338e-08
1833,1.1699465085612815e-07,2.548398292390175e-08
1834,5.880754372356023e-08,6.067445212920575e-08
1835,8.621920244422654e-08,2.647080776796429e-08
1836,7.258409961963252e-08,3.763619921270944e-08
1837,4.800944664040685e-08,2.0873672568200163e-08
1838,1.1551256240416308e-07,2.209256599883247e-08
1839,5.8029243632518046e-08,4.264799935427277e-08
1840,8.344292012907317e-08,4.395085184683012e-08
1841,4.751206006403663e-08,7.640452714952062e-08
1842,6.775347483056748e-08,2.2808101629578914e-08
1843,7.619915387557796e-08,4.6073907356003474e-08
1844,6.915587258404798e-08,3.183365582248854e-08
1845,7.365900955846882e-08,1.2276501593078137e-08
1846,5.034871009002018e-08,2.6345256642912318e-08
1847,6.202207458727571e-08,3.343798660182529e-08
1848,2.0032601755204382e-07,4.827132860096839e-09
1849,6.535943697372204e-08,5.865590679832167e-09
1850,9.300924741495464e-08,2.2403686017469226e-08
1851,5.8689894055774516e-08,3.224719336003545e-08
1852,9.244974408240125e-08,3.6459056218518526e-08
1853,8.420423824873069e-08,2.5679307569248522e-08
1854,8.468932916061434e-08,1.610655964157104e-08
1855,9.552487156838652e-08,2.812676669350367e-08
1856,9.060080907730139e-08,1.7602443058706285e-08
1857,8.933161504964815e-08,2.7336451435822084e-08
1858,9.591604643865992e-08,6.410715402971334e-08
1859,9.420520519221043e-08,3.0043821652725455e-08
1860,1.2358396483946876e-07,3.753290944707999e-08
1861,1.1318312892472093e-07,4.621644578151063e-08
1862,7.861296325017975e-08,4.743885639868495e-08
