year,on_PRON aurait_VERB,on_PRON saurait_VERB
1800,8.586713192926254e-06,2.57821480609266e-07
1801,7.198315188361448e-06,1.523956871807286e-07
1802,6.917163887010247e-06,1.2979472785445978e-07
1803,6.324950049929612e-06,1.5017612220447063e-07
1804,1.1553431022548466e-05,1.3595180092806913e-07
1805,7.920257303339895e-06,7.391481915419718e-08
1806,8.771801049078931e-06,1.6713680661695207e-07
1807,9.03623561043787e-06,1.3095993267597805e-07
1808,9.313564419244358e-06,1.3369836793231116e-07
1809,8.042148692766204e-06,9.93973401364201e-08
1810,1.0085945973514754e-05,2.1061141275424689e-07
1811,1.1938699799429742e-05,1.3287507272252697e-07
1812,1.219714317812759e-05,6.668020802180763e-08
1813,1.5057383507155464e-05,1.3803559539837806e-07
1814,1.5220477507682517e-05,1.8250727062962824e-07
1815,1.2293945246710791e-05,1.402556275564848e-07
1816,1.3571888302976731e-05,3.0592372013416025e-07
1817,1.1883615115948487e-05,3.176021792228312e-07
1818,1.1626724244706566e-05,2.622658907824871e-07
1819,1.173291548184352e-05,2.1530184213247594e-07
1820,1.3612040220323252e-05,3.5124785213724863e-07
1821,1.3663091749549494e-05,2.544263928427881e-07
1822,1.4651435321866302e-05,2.0452256421776838e-07
1823,1.2271332252566935e-05,2.2137218280704474e-07
1824,1.1787031553467386e-05,2.3494904155541008e-07
1825,1.240422739101632e-05,2.641632868005672e-07
1826,1.3574865079135634e-05,2.6512032391678986e-07
1827,1.4613986877520801e-05,3.6961266047796926e-07
1828,1.567546291880717e-05,2.329764470232476e-07
1829,1.7590442212167545e-05,3.3521118680823747e-07
1830,1.8147570017390535e-05,2.4630931960700764e-07
1831,1.823859315663867e-05,3.4144742144803786e-07
1832,1.7238534383068327e-05,3.477202277224478e-07
1833,1.7084693809010787e-05,2.525231046490717e-07
1834,1.6086197547338088e-05,3.4071037191552023e-07
1835,1.5610213949912577e-05,2.1327907262502777e-07
1836,1.4590076489184867e-05,2.721903786806479e-07
1837,1.603028522367822e-05,2.7692404458434794e-07
1838,1.5450909586434136e-05,2.6006107134435297e-07
1839,1.5804929034857196e-05,2.1953232653970645e-07
1840,1.709178559394786e-05,3.3313472336260475e-07
1841,1.7496636928626685e-05,3.5056194036542365e-07
1842,1.62373560215201e-05,2.9516365041004633e-07
1843,1.737636057441705e-05,2.6522030793785234e-07
1844,1.6595214219705667e-05,2.9693116943008135e-07
1845,1.829310281209473e-05,2.901718474390691e-07
1846,1.6550089412703528e-05,3.3546291788866256e-07
1847,1.6999441186271724e-05,2.8745882829639413e-07
1848,1.8500792066333815e-05,3.201998381996418e-07
1849,1.7126686088886345e-05,3.1757982377200733e-07
1850,1.5462617284356384e-05,2.545873591941472e-07
1851,1.5732761085018865e-05,2.3282474259644914e-07
1852,1.5290016335711698e-05,2.3568173901367118e-07
1853,1.508748869127885e-05,2.2036427971272587e-07
1854,1.4681388847748167e-05,2.2705053304150624e-07
1855,1.492363753641257e-05,2.786141983790458e-07
1856,1.5567807849947712e-05,2.44363327794872e-07
1857,1.60552831403038e-05,3.1925068455507244e-07
1858,1.4676623550258228e-05,2.8432258325494786e-07
1859,1.5526037032032036e-05,2.408598049896682e-07
1860,1.6018313317545108e-05,2.0276924672657515e-07
1861,1.6041821936596534e-05,2.862590040564328e-07
1862,1.5751055570945027e-05,2.778561558614001e-07
1863,1.5467341654584743e-05,2.6171813871656013e-07
1864,1.5733899772385485e-05,2.6418950582751677e-07
1865,1.6470660284539917e-05,3.073569452283209e-07
1866,1.6401981383751263e-05,2.8512491923038397e-07
1867,1.6974163827399025e-05,2.7806609637082147e-07
1868,1.627095684852975e-05,2.5934338232502796e-07
1869,1.608484717507963e-05,3.110801820582765e-07
1870,1.6735394865463604e-05,2.5287155125397476e-07
1871,1.78138388946536e-05,2.5597036668045803e-07
1872,1.659813210608263e-05,2.939006904512098e-07
1873,1.655190067140211e-05,2.867296196029656e-07
1874,1.721583657854353e-05,2.843913939898357e-07
1875,1.6082640968306805e-05,2.694839267292082e-07
1876,1.6532827430637553e-05,2.3700378193325378e-07
1877,1.5591303053952288e-05,2.0657284593994518e-07
1878,1.568532525197952e-05,2.4518699426323565e-07
1879,1.621598175916006e-05,2.7247591383172676e-07
1880,1.5103117448234116e-05,2.522213513600491e-07
1881,1.5185424217634136e-05,1.882577009837405e-07
1882,1.5957617051753914e-05,3.1346865370096566e-07
1883,1.616044573893305e-05,2.54037431091092e-07
1884,1.626988250791328e-05,2.053127730050619e-07
1885,1.5815011920494726e-05,2.2753094341965152e-07
1886,1.4936542356736027e-05,2.400688501325021e-07
1887,1.5632857412128942e-05,2.7552061965252506e-07
1888,1.5371552308351966e-05,2.4030929424156966e-07
1889,1.50989797020884e-05,2.3682217076270717e-07
1890,1.5645320900148363e-05,2.641417715665284e-07
1891,1.530450208520051e-05,2.1481121592614727e-07
1892,1.4628200233346433e-05,2.2692015377856478e-07
1893,1.4899672805768205e-05,2.3956240013944807e-07
1894,1.4496061112367897e-05,2.199237201239157e-07
1895,1.4735373952134978e-05,2.2449431824611565e-07
1896,1.4879383343213703e-05,2.388296671540502e-07
1897,1.5069629398567486e-05,2.3365121393226218e-07
1898,1.5130440942812129e-05,2.3255838499380843e-07
1899,1.490235104029125e-05,2.5924342850203175e-07
1900,1.4175209116729093e-05,2.2684901779257416e-07
1901,1.4882253026371473e-05,2.0622445973117465e-07
1902,1.3041713827988133e-05,1.7922535988645905e-07
1903,1.447151066713559e-05,1.8630759868187852e-07
1904,1.4268017366703134e-05,2.2089709617034714e-07
1905,1.4069777535041794e-05,2.312020086492339e-07
1906,1.4363077070811414e-05,1.8364738707532524e-07
1907,1.4183447774485103e-05,2.216565455626096e-07
1908,1.4720906165166525e-05,2.4704286616383797e-07
1909,1.4277252375904936e-05,2.0353638774395222e-07
1910,1.4544105852110079e-05,2.175069298004928e-07
1911,1.382765208290948e-05,2.2185959736020777e-07
1912,1.3943537169325282e-05,2.0056272020951837e-07
1913,1.3703455579161528e-05,2.02574202745609e-07
1914,1.3106866617818014e-05,1.714366373306575e-07
1915,1.4877923604217358e-05,2.850944333943062e-07
1916,1.4436426226893673e-05,1.4063951780940442e-07
1917,1.4591923900297843e-05,1.7765607296382768e-07
1918,1.4492360605800059e-05,2.0675477685472288e-07
1919,1.382466371069313e-05,1.7310755495714147e-07
1920,1.411236871717847e-05,1.726468834561956e-07
1921,1.3849797596776625e-05,1.711440944518472e-07
1922,1.3775343632005388e-05,1.807594216529651e-07
1923,1.2925978808198124e-05,1.6667038771345233e-07
1924,1.2912250895169564e-05,1.985310191798817e-07
1925,1.2523625173344044e-05,1.8037011528804214e-07
1926,1.2702139429165982e-05,1.8836974291502884e-07
1927,1.3334472441783873e-05,1.8730698236879562e-07
1928,1.2574358379424666e-05,1.4739593368062742e-07
1929,1.2906161373393843e-05,2.0832560565509084e-07
1930,1.2606425343619776e-05,2.2162603841024975e-07
1931,1.2453509043552913e-05,1.7678303265711293e-07
1932,1.278429908779799e-05,2.0384738519396706e-07
1933,1.2484668786783004e-05,1.3879501814528794e-07
