year,certain_ADJ oeil_NOUN,certain_ADJ seuil_NOUN
1935,0.0,3.4708023122220766e-08
1936,0.0,4.849885826274658e-08
1937,0.0,8.184226629737168e-08
1938,0.0,9.983214965814113e-08
1939,0.0,4.435274547631707e-08
1940,0.0,9.63597486247636e-08
1941,0.0,7.67390702094417e-08
1942,0.0,1.0923162108156248e-07
1943,0.0,9.00002916637277e-08
1944,0.0,8.675602458652065e-08
1945,2.178504043826024e-09,6.535512397931598e-08
1946,1.3921104269343232e-09,8.491873870752897e-08
1947,0.0,9.417487945029279e-08
1948,0.0,1.793861486021342e-07
1949,0.0,2.326630976767774e-07
1950,0.0,1.7973761146095057e-07
1951,0.0,1.5139190168156347e-07
1952,0.0,1.655534163091943e-07
1953,0.0,1.5729787605778256e-07
1954,0.0,2.0522325883121084e-07
1955,0.0,2.5622708221817447e-07
1956,0.0,2.686111599814467e-07
1957,0.0,2.7211916631131317e-07
1958,0.0,3.341986314353562e-07
1959,0.0,3.7823650700374856e-07
1960,0.0,3.4465750786694116e-07
1961,0.0,4.0299323700310197e-07
1962,1.2683912808952869e-09,4.211059092540381e-07
1963,0.0,4.6555584276575246e-07
1964,0.0,4.313533565891703e-07
1965,1.6416130677043839e-09,4.2408336753396725e-07
1966,5.539074754423723e-10,5.223347443461535e-07
1967,0.0,5.063454864284722e-07
1968,4.4914158503495116e-10,6.040954190211778e-07
1969,4.5417578031781147e-10,5.786199608337483e-07
1970,0.0,6.226673576747999e-07
1971,0.0,7.193756346168811e-07
1972,0.0,7.218116593321611e-07
1973,0.0,8.005171707736736e-07
1974,5.625571675160757e-10,8.016439778657514e-07
1975,0.0,7.847573897379334e-07
1976,5.713526873840635e-10,8.518868526152801e-07
1977,5.876781838942691e-10,8.409674592257943e-07
1978,0.0,7.473263963220234e-07
1979,0.0,7.23889115761267e-07
1980,0.0,8.328745479957433e-07
1981,6.325549528618524e-10,7.736147153991624e-07
1982,0.0,7.300022843992338e-07
1983,6.315316047889041e-10,7.489964559681539e-07
1984,0.0,7.312549996640882e-07
1985,0.0,7.62772742746165e-07
1986,1.1988970927134801e-09,7.133437520678854e-07
1987,0.0,7.16798808753083e-07
1988,0.0,7.069937169035256e-07
1989,0.0,7.491286737604241e-07
1990,3.2691906959314565e-09,7.540933211203082e-07
1991,0.0,6.922390412000823e-07
1992,1.1019888335184191e-09,7.140887419154751e-07
1993,0.0,6.707980446662987e-07
1994,0.0,7.12115081569209e-07
1995,0.0,6.750951229150814e-07
1996,0.0,6.89147725552175e-07
1997,4.79489448146353e-10,7.048494694572582e-07
