year,on_PRON aime_VERB,on_PRON sème_VERB
1800,4.612489419741905e-06,5.813559937450918e-06
1801,5.126686119183432e-06,4.867137135988742e-06
1802,4.618902039510431e-06,3.0143706908347667e-06
1803,4.374610739432683e-06,4.81148697417666e-06
1804,6.451530794038263e-06,3.8140660763019696e-06
1805,4.89543538151338e-06,4.0994295886775944e-06
1806,6.345435508592345e-06,2.717414076869318e-06
1807,4.603526463142771e-06,1.4661819136563281e-06
1808,4.452835355550633e-06,5.082804023004428e-06
1809,4.712337727141858e-06,7.380252782240859e-06
1810,5.3916520528218825e-06,2.8502744839897787e-06
1811,4.392398409436282e-06,3.028548803740705e-06
1812,4.664947255150764e-06,1.3602762578557304e-06
1813,5.184962333260046e-06,1.2538233420400502e-06
1814,4.707429070549551e-06,1.3310444160197221e-06
1815,2.8617541261155566e-06,1.030339376484335e-06
1816,3.652543796306418e-06,2.829794425451837e-06
1817,4.521160462900298e-06,1.8199850160272035e-06
1818,4.625416863746068e-06,9.608468758415256e-07
1819,4.195280553176417e-06,1.4770947700526449e-06
1820,5.069360554443847e-06,1.4405908359549358e-06
1821,4.509658538154326e-06,1.15478027851168e-06
1822,4.666924269258743e-06,1.166981689948443e-06
1823,4.313792885568546e-06,1.461649333123205e-06
1824,4.152450628680526e-06,1.0197967128533492e-06
1825,4.82978555282898e-06,1.3868572636965837e-06
1826,3.7944796531519387e-06,1.1732235236650013e-06
1827,3.99568784814619e-06,1.2738271095713571e-06
1828,3.7046925172035117e-06,1.2492673988617753e-06
1829,3.976239156600059e-06,1.4145740863114042e-06
1830,4.1319432853015314e-06,1.0071546796552866e-06
1831,3.5859773674928874e-06,1.847557939527178e-06
1832,3.81680445116217e-06,1.4842376003798563e-06
1833,4.039211319195601e-06,1.4931297300790902e-06
1834,4.33962338775018e-06,2.0573305619109306e-06
1835,3.865494250021584e-06,1.250178399914148e-06
1836,3.963226333780767e-06,1.2406504197315371e-06
1837,3.6473264799496974e-06,1.6204927533181035e-06
1838,3.425610259455425e-06,1.1090468490237981e-06
1839,3.5859276295013842e-06,1.0249502508941077e-06
1840,3.243445519274246e-06,9.070436419733596e-07
1841,3.6083483792026527e-06,1.0966296599690395e-06
1842,3.865973098982067e-06,8.298123788108569e-07
1843,4.01492752644117e-06,1.746673632396778e-06
1844,3.845285903025797e-06,1.64107984801376e-06
1845,3.6773703300241323e-06,1.3202819388880016e-06
1846,3.363410939982714e-06,1.5649082456548058e-06
1847,3.253192460306309e-06,9.670050076238113e-07
1848,3.033048642464564e-06,1.3781464645035157e-06
1849,3.048431210572744e-06,1.4295281403065019e-06
1850,3.3143877544716815e-06,1.237633995287979e-06
1851,3.1557103170598566e-06,1.4040427913641906e-06
1852,3.885493470079382e-06,1.4765917057957267e-06
1853,3.7844131384190405e-06,1.5234398347274691e-06
1854,4.2069294181601435e-06,7.097277574530381e-07
1855,4.381407222808775e-06,1.1733638132227497e-06
1856,4.248401523909706e-06,1.2870492014371848e-06
1857,4.397263296596066e-06,6.707193591637406e-07
1858,4.147390427533537e-06,8.926065220293822e-07
1859,4.441393571141816e-06,8.626141720924352e-07
1860,4.607393407241034e-06,8.257239869635669e-07
1861,4.3429310494502715e-06,8.370835473670013e-07
1862,4.543738782558648e-06,8.913987130654277e-07
1863,4.458698128928518e-06,1.4214690793323825e-06
1864,4.137850169172452e-06,1.0610732772420306e-06
1865,4.218273943479289e-06,7.879257282183971e-07
1866,4.2481665332161356e-06,1.1998601507912099e-06
1867,4.115184196962218e-06,8.002286335795361e-07
1868,3.547323501607025e-06,7.32089304733563e-07
1869,4.187617719253467e-06,5.342569835420363e-07
1870,4.083789633568813e-06,6.726039174509424e-07
1871,3.4423234751557175e-06,9.760861985341762e-07
1872,3.6925052881997544e-06,7.528937544520886e-07
1873,3.476671338376036e-06,6.027906351846468e-07
1874,3.2059752470559033e-06,6.03435509560768e-07
1875,3.54448604866775e-06,7.157630221854561e-07
1876,3.5127345086038986e-06,6.420867748602177e-07
1877,3.5432811387181573e-06,9.679236825377302e-07
1878,3.1566316920361714e-06,7.246906221780591e-07
1879,3.4878138990279695e-06,6.414791471343051e-07
1880,3.3924735021173547e-06,7.778429562677047e-07
1881,3.0964905022301537e-06,5.403693421612843e-07
1882,3.6777658465325658e-06,8.731865079880663e-07
1883,3.517975926570216e-06,7.513693844884983e-07
1884,3.1965416269486013e-06,7.235459946741685e-07
1885,2.954679473532451e-06,6.323168690869352e-07
1886,2.9602039717246953e-06,7.821597876045416e-07
1887,2.8387765382831276e-06,6.535453707101624e-07
1888,3.0631510412604257e-06,8.077942936779436e-07
1889,3.1068814223544905e-06,1.048783872192871e-06
1890,2.8006893444398884e-06,9.261348168365657e-07
