year,en_ADP angles_NOUN,en_ADP sangle_NOUN
1800,1.3834323775441248e-07,0.0
1801,9.524730626431221e-08,0.0
1802,5.594600338554301e-08,0.0
1803,1.345734048641134e-07,0.0
1804,2.9662211131764593e-08,0.0
1805,3.980028662198265e-08,0.0
1806,9.22134111291939e-08,0.0
1807,1.3095994155776225e-07,0.0
1808,1.0650547466184435e-07,0.0
1809,6.551188391767937e-08,0.0
1810,5.8503169864110305e-08,0.0
1811,1.3538214949093685e-07,2.5070767684098882e-09
1812,8.001624607345548e-08,0.0
1813,2.8757416448144113e-08,2.0130190847567064e-08
1814,1.227204098341872e-07,0.0
1815,4.5852800667489646e-08,0.0
1816,5.7940097164532745e-08,0.0
1817,7.161617721074265e-08,0.0
1818,2.7418707082560445e-08,0.0
1819,4.554461918715447e-08,1.035105001712111e-09
1820,2.8479553826343817e-08,0.0
1821,5.522433432769702e-08,3.94459531705138e-09
1822,1.233150754842427e-07,2.0051231786055723e-09
1823,1.2056877418675782e-07,9.882686891060644e-10
1824,4.0421342717422704e-08,5.052667617633233e-09
1825,4.490775795673585e-08,0.0
1826,6.16558897270636e-08,0.0
1827,2.8573547083965423e-08,9.217273055917019e-10
1828,3.76064346330196e-08,3.668920500743411e-09
1829,2.4004893628415402e-08,5.143905745796928e-09
1830,3.548524252217078e-08,6.262101504006523e-09
1831,1.7150327380477393e-08,1.5591206548037917e-08
1832,7.170883664642247e-08,6.764984572527055e-09
1833,4.633451422542123e-08,1.853380560135065e-08
1834,5.974099681615996e-08,3.733812370398937e-09
1835,4.9916380362446944e-08,0.0
1836,3.3603751947719473e-08,6.048674894287842e-09
1837,8.210311230882894e-08,5.5663127440652715e-09
1838,1.7674053331973028e-08,3.1560809521380406e-09
1839,3.146163907175037e-08,0.0
1840,3.6307224560161444e-08,1.2739377330817092e-09
1841,4.3017675199763517e-08,6.420548537278137e-09
1842,2.6162233712767602e-08,2.683306021822318e-09
1843,5.7297035782610806e-08,5.906911071384968e-10
1844,4.006649778620641e-08,5.488561272137815e-10
1845,2.5111025814261723e-08,7.254296274794569e-09
1846,4.390875929516369e-08,1.7563503984519002e-09
1847,2.9123408573639153e-08,4.853901280910122e-09
1848,2.8962798159781755e-08,3.218088684420195e-09
1849,2.178647862116634e-08,5.02764896381791e-09
1850,2.5798184921654865e-08,6.1100964288129944e-09
1851,2.5152810501083422e-08,5.159551008659946e-09
1852,3.0599563993760626e-08,6.510545436100301e-10
1853,4.4789487452234766e-08,5.971931837933653e-10
1854,4.2604447636485077e-08,2.5978321716024766e-09
1855,2.4411910715116392e-08,5.306937111981824e-10
1856,2.743910232361202e-08,3.6240324075009767e-09
1857,3.2706110930647014e-08,6.345961978126979e-09
1858,3.425573236182089e-08,0.0
1859,3.004382276294848e-08,5.092173349652285e-09
1860,4.439868495076382e-08,9.154367819341758e-10
1861,2.9238975685075275e-08,2.357981809808507e-09
1862,2.2589931814032127e-08,2.710791813242963e-09
1863,2.647149044410213e-08,9.989241434027463e-09
1864,1.678154748496752e-08,3.3563094525845827e-09
1865,1.9768746861714703e-08,9.41368871743009e-10
1866,3.405928983291062e-08,0.0
1867,2.9602150064533816e-08,9.7056229719783e-10
1868,4.2976905811897836e-08,2.4699371437009177e-09
1869,2.4905948192710525e-08,0.0
1870,6.651496908816057e-08,5.734048791339319e-10
1871,7.222400300044285e-08,3.18635318130589e-09
1872,2.6003559860932057e-08,3.0236697590169115e-09
1873,8.320546074358504e-08,1.7958012854535355e-09
1874,6.392831863877291e-08,2.3898436563030145e-09
1875,2.174180363523348e-08,4.005069165202713e-09
1876,2.5997864083748823e-08,0.0
