year,rien_PRON aider_VERB,rien_PRON céder_VERB
1800,0.0,7.545995117652637e-08
1801,0.0,1.3096504858367553e-07
1802,0.0,1.7231369042747247e-07
1803,0.0,8.971560561121805e-08
1804,1.4831105232815389e-08,1.1370514130248921e-07
1805,0.0,1.194008660831969e-07
1806,1.4408345627714425e-08,1.2103009794373065e-07
1807,0.0,1.195721210933698e-07
1808,4.5321479902327155e-09,1.654234011994049e-07
1809,2.259030518203531e-09,1.965356517530381e-07
1810,0.0,1.5210824244604737e-07
1811,0.0,2.2312983105621242e-07
1812,5.3344164641089264e-09,8.001624962616916e-08
1813,2.8757416448144113e-09,2.1855636589407368e-07
1814,0.0,2.989343386161636e-07
1815,0.0,1.6722786710943183e-07
1816,0.0,2.2248997311180574e-07
1817,0.0,9.808302792180257e-08
1818,4.768470951432846e-09,2.2650236530807888e-07
1819,0.0,2.5567092620804033e-07
1820,0.0,2.2071654370847682e-07
1821,2.9584463767662328e-09,1.4200543319020653e-07
1822,1.0025615893027862e-09,2.0151487944986002e-07
1823,2.9648061783404955e-09,1.4824030358795426e-07
1824,8.421112696055388e-10,2.0294881153404276e-07
1825,3.522177216552791e-09,1.8227267162274075e-07
1826,0.0,2.078684246953344e-07
1827,0.0,1.456329101756637e-07
1828,0.0,1.8161156845053483e-07
1829,2.571952872898464e-09,1.8089401976340014e-07
1830,1.0436835840010872e-09,1.6072726793936454e-07
1831,0.0,1.886535869743966e-07
1832,0.0,2.3677446847614192e-07
1833,0.0,1.8649642186119308e-07
1834,0.0,1.9135788420499011e-07
1835,0.0,1.2554725969948777e-07
1836,1.3441500135158435e-09,2.6412547526888375e-07
1837,0.0,2.2334829452574922e-07
1838,1.2624323808552163e-09,2.461743235926406e-07
1839,1.3982950353153e-09,1.775834732598014e-07
1840,6.3696887764308485e-09,2.223021340341802e-07
1841,3.852329122366882e-09,2.2857152259803115e-07
1842,6.708265054555795e-10,2.4351001570721564e-07
1843,1.1813822142769936e-09,1.8134217327769875e-07
1844,1.6465684371524958e-09,2.2667758514671732e-07
1845,0.0,2.2823132894700393e-07
1846,0.0,1.2411543082180287e-07
1847,1.0786447290911383e-09,3.0363850100911804e-07
1848,1.689496542667257e-08,2.083712473677224e-07
1849,1.8434713311421547e-08,2.413271431578323e-07
1850,0.0,2.2200016758233687e-07
1851,2.579775504329973e-09,2.005775456837e-07
1852,1.9531636308300904e-09,1.666699631641677e-07
1853,0.0,2.2155866474804498e-07
1854,5.195664343204953e-09,2.587440803836216e-07
1855,2.653468555990912e-09,1.85212101655452e-07
1856,1.0354378465748937e-09,2.298671972766897e-07
1857,0.0,2.3577689489684417e-07
1858,9.787352039936081e-10,2.2461972548626363e-07
1859,8.656694916453489e-09,2.444243136778823e-07
1860,4.577183909670879e-10,3.098753609265259e-07
1861,2.357981809808507e-09,2.4381532170991704e-07
1862,3.162590411776023e-09,2.733381734287832e-07
1863,1.4983863039219614e-09,2.5172889195346215e-07
1864,0.0,3.3898726314873784e-07
1865,9.41368871743009e-10,2.7393835466682503e-07
1866,8.75810357570117e-09,3.011814442288596e-07
