year,en_ADP aile_NOUN,en_ADP sel_NOUN
1800,1.1318992676478956e-07,1.10989003587747e-06
1801,1.6668278135512082e-07,8.92943489816389e-07
1802,1.857407312400028e-07,5.616979024125612e-07
1803,1.4432510653250574e-07,8.796029646873649e-07
1804,2.1257918803030407e-07,4.7459536745009245e-07
1805,1.9331568079650197e-07,4.6338905690390675e-07
1806,2.8528523543513984e-07,3.803803281243745e-07
1807,9.96434317279693e-08,4.298902354094025e-07
1808,2.2660739151803e-07,5.121327149026911e-07
1809,1.445779496123123e-07,4.563241589039535e-07
1810,1.5444837231370911e-07,2.2699229873524018e-07
1811,1.3287507272252697e-07,6.668824426014908e-07
1812,1.8137016155606034e-07,3.9741402702020423e-07
1813,1.1215392348162823e-07,1.3889832644053968e-06
1814,1.1328037530233814e-07,3.7445457223839185e-07
1815,1.7801675156192687e-07,1.8610842289490392e-07
1816,2.2712518621403888e-07,3.221469455638726e-07
1817,9.02986592166144e-08,4.281401970729348e-07
1818,1.7881766112282094e-07,3.0160578035065555e-07
1819,2.701624062240171e-07,4.0162075265470776e-07
1820,6.645229433388522e-08,3.571810793800978e-07
1821,9.565643921405353e-08,3.0669230000057723e-07
1822,3.559093784133438e-07,3.4287606354155287e-07
1823,8.993244904331732e-08,2.223604553819314e-07
1824,1.1873769167891624e-07,2.5094917077694845e-07
1825,1.8139213153745004e-07,3.152348710955266e-07
1826,1.735172965311449e-07,3.435114024341601e-07
1827,1.4839809026057083e-07,4.48881195325157e-07
1828,1.5317743340403922e-07,3.467129943146574e-07
1829,9.773420650560638e-08,2.2375989772172034e-07
1830,1.1480519557238722e-07,3.1414876389135316e-07
1831,3.196197297938852e-07,9.370314728585072e-07
1832,2.1106752612354285e-07,2.990123277868406e-07
1833,8.571885423691583e-08,3.4866721421167313e-07
1834,1.577535688745968e-07,2.7816901138066896e-07
1835,9.075705520444899e-08,3.524398834997555e-07
1836,9.140220419423528e-08,3.2259600857287296e-07
1837,7.931995860133156e-08,3.221503561690042e-07
1838,5.996553742448896e-08,4.6457512326014694e-07
1839,1.4122779212755177e-07,3.348916663981072e-07
1840,7.962110792902877e-08,3.426892476454668e-07
1841,2.587481109372902e-07,3.627609999057313e-07
1842,1.0263645577879288e-07,3.575505331809836e-07
1843,1.3940310239490827e-07,2.906200222696498e-07
