year,rien_PRON ôté_VERB,rien_PRON oté_VERB,rien_PRON sauté_VERB
1800,7.231578535993322e-08,0.0,3.144164484325529e-09
1801,8.334139067756041e-08,4.7623651688866175e-09,0.0
1802,1.1412984690650774e-07,0.0,0.0
1803,5.265916058760922e-08,0.0,0.0
1804,1.087614407424553e-07,0.0,0.0
1805,1.250866148438945e-07,1.421438877713399e-08,0.0
1806,9.221341201737232e-08,0.0,0.0
1807,4.839823830593559e-08,0.0,0.0
1808,1.11037628869326e-07,0.0,0.0
1809,1.7394535234416253e-07,0.0,0.0
1810,1.1232608443378922e-07,2.3401267590372754e-09,0.0
1811,1.42903374467096e-07,0.0,0.0
1812,7.20146218213813e-08,0.0,0.0
1813,9.202373263406116e-08,0.0,0.0
1814,2.108273662315696e-07,0.0,0.0
1815,9.170560133497929e-08,0.0,0.0
1816,1.4137383175238938e-07,0.0,0.0
1817,1.1676550570882682e-07,1.556873407970727e-09,0.0
1818,1.6093589749743842e-07,4.768470951432846e-09,0.0
1819,1.1386155307491208e-07,2.070210003424222e-09,0.0
1820,1.4002448267547152e-07,1.1866481131050932e-09,0.0
1821,1.0847637099686835e-07,1.97229765852569e-09,0.0
1822,1.012587205195814e-07,0.0,0.0
1823,4.644862983127496e-08,9.882686891060644e-10,0.0
1824,1.212640228231976e-07,0.0,0.0
1825,1.1006803646296248e-07,8.805443041381977e-10,0.0
1826,1.2243097557984584e-07,3.5231937367541377e-09,0.0
1827,6.728609491801762e-08,0.0,0.0
1828,1.6143249581546115e-07,0.0,9.172301251858528e-10
1829,1.354561760535944e-07,8.57317605795771e-10,0.0
1830,1.450720219509094e-07,3.1310507520032616e-09,0.0
1831,1.387617345471881e-07,0.0,1.5591206103948707e-09
1832,8.117981309396782e-08,1.3529969367098715e-09,0.0
1833,6.718504863556518e-08,1.1583628500844156e-09,0.0
1834,9.894602470694736e-08,9.334530925997342e-10,0.0
1835,7.563087933704082e-08,7.563087933704082e-10,0.0
1836,1.438240531115298e-07,2.016224964762614e-09,1.3441500135158435e-09
1837,1.6142307401878497e-07,1.3915781860163179e-09,6.957890930081589e-10
1838,1.0541310047074148e-07,6.312161904276081e-10,0.0
1839,1.1535934163475758e-07,0.0,0.0
