year,en_PRON ôte_VERB,en_PRON ote_VERB,en_PRON saute_VERB
1800,4.024530539936677e-07,3.144164484325529e-09,6.288328968651058e-09
1801,5.381472760745964e-07,7.143547975374531e-09,4.524246932646747e-08
1802,3.4686522099036665e-07,2.2378401354217203e-09,2.9091921760482364e-08
1803,6.397112883860245e-07,1.950339223455444e-09,1.755305234496518e-08
1804,4.424613280207268e-07,4.943701892301533e-09,1.2359254952798437e-08
1805,2.842877790953935e-07,0.0,1.1371510844071508e-08
1806,2.9681191904273874e-07,0.0,8.645007376628655e-09
1807,3.017772485236492e-07,2.8469551160981155e-09,5.693910232196231e-09
1808,1.9714843801921234e-07,0.0,1.5862518409903714e-08
1809,3.7048101830805535e-07,0.0,9.036122072814123e-09
1810,4.914266469313588e-07,2.3401267590372754e-09,5.3822915901946544e-08
1811,3.6101906175645126e-07,0.0,0.0
1812,4.40089365838503e-07,2.6672082320544632e-09,3.7340914360584065e-08
1813,2.0705340375570813e-07,2.8757416448144113e-09,2.300593315851529e-08
1814,3.3354777428939997e-07,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.1308066777692147e-07,0.0,5.394447111228828e-09
1816,4.3802714344565175e-07,4.6352077731626196e-09,2.3176038865813098e-09
1817,3.954458520638582e-07,1.556873407970727e-09,2.6466848268569265e-08
1818,2.6941862074636447e-07,2.384235475716423e-09,2.2650237241350624e-08
1819,3.6435696415537677e-07,0.0,1.3456364911235141e-08
1820,2.5038275452970993e-07,1.1866481131050932e-09,2.610625848831205e-08
1821,2.406203236660076e-07,9.86148829262845e-10,1.1833785507064931e-08
1822,3.18814585398286e-07,0.0,1.604098542884458e-08
1823,2.2334872085139068e-07,9.882686891060644e-10,2.9648061783404955e-09
1824,3.023179431238532e-07,8.421112696055388e-10,2.0210670470532932e-08
1825,3.1611540407538996e-07,8.805443041381977e-10,3.522177216552791e-09
1826,1.8584846372959873e-07,4.403992281964975e-09,2.2019960965735663e-08
1827,2.3227528345159953e-07,4.608636583469661e-09,8.295545583791863e-09
1828,1.467568182533796e-07,9.172301251858528e-10,1.4675682002973645e-08
1829,2.1947330708371737e-07,3.429270423183084e-09,2.6576845613135447e-08
1830,2.3065406651312514e-07,1.0436835840010872e-09,1.5655253093882493e-08
1831,1.7773975002910447e-07,4.677361609140007e-09,1.7150327380477393e-08
1832,1.2853470821028168e-07,0.0,1.2176972319366541e-08
1833,1.0888610546544442e-07,1.1583628500844156e-09,1.50587169400751e-08
1834,1.9322479261063563e-07,2.8003592777992026e-09,2.0535967593104942e-08
1835,1.701694714029145e-07,2.2689263801112247e-09,1.8907719834260206e-08
1836,2.3657040060243162e-07,6.720750067579218e-10,6.72075017860152e-09
1837,1.4820307114860043e-07,2.0873671680021744e-09,6.262101948095733e-09
1838,2.019891809368346e-07,6.312161904276081e-10,6.943378316748294e-09
1839,1.2584655451064464e-07,6.9914751765765e-10,1.677954131196202e-08
1840,1.2930468074046075e-07,6.369688665408546e-10,8.280594876453051e-09
1841,1.194221965761244e-07,1.2841097074556274e-09,3.2102742686390684e-09
1842,1.1471133376517173e-07,2.683306021822318e-09,1.408735705865638e-08
1843,1.6598420415903092e-07,1.7720733769266417e-09,1.7720733325177207e-08
1844,1.7508510552488588e-07,0.0,1.1525978393933656e-08
1845,1.8303147442111367e-07,1.1160455892778032e-09,9.48638767539478e-09
1846,1.6158423932211008e-07,5.854501328173001e-10,9.952652035849496e-09
1847,1.2026889351091086e-07,1.0786447290911383e-09,1.240441438454809e-08
1848,1.0378335701943797e-07,0.0,8.045221711050488e-10
1849,1.0893239732467919e-07,1.6758829879393033e-09,4.1897072478036534e-09
1850,1.0726613908218496e-07,1.3577992064028876e-09,6.1100964288129944e-09
1851,1.3930787190474803e-07,3.2247193804124663e-09,1.2253933867611977e-08
1852,1.3672145371401712e-07,2.6042181744401205e-09,1.2370036550635177e-08
1853,1.421319808514454e-07,4.180352064508952e-09,2.09017620989016e-08
1854,1.7353519865537237e-07,2.5978321716024766e-09,4.676098175337984e-09
1855,9.817833301895007e-08,5.306937111981824e-10,1.4328730202350926e-08
1856,1.3564235246121825e-07,1.0354378465748937e-09,2.4332790005132665e-08
1857,1.0202354161492622e-07,9.763018171682347e-10,1.0251168802710708e-08
1858,1.3457608361022722e-07,1.9574704079872163e-09,9.297984604472731e-09
