year,en_PRON aurais_VERB,en_PRON saurai_VERB
1800,3.772997425599556e-08,1.8864987794131594e-08
1801,3.809892135109294e-08,2.1430643926123594e-08
1802,6.713520406265161e-08,8.951360541686881e-09
1803,6.631153581793114e-08,3.1205427575287104e-08
1804,9.88740396223875e-08,7.4155526164076946e-09
1805,4.264316544322355e-08,5.685755422035754e-09
1806,4.610670600868616e-08,9.509508203109363e-08
1807,5.693910054560547e-08,1.7081731584767113e-08
1808,7.251436784372345e-08,2.2660739951163578e-09
1809,2.9367396070512086e-08,3.162642769893864e-08
1810,2.8081521108447305e-08,1.4040760554223652e-08
1811,4.512738271955641e-08,3.259199843341776e-08
1812,3.200649700829672e-08,3.200649700829672e-08
1813,7.18935417864941e-08,3.163315653864629e-08
1814,1.2586708564299443e-08,9.440030979135372e-09
1815,6.47333635583891e-08,1.0788894222457657e-08
1816,3.9399267848239106e-08,2.3176038865813098e-09
1817,3.580808827230442e-08,2.80237220096069e-08
1818,1.060984775591578e-07,3.9339884239097955e-08
1819,4.140420029052905e-08,7.24573512300708e-09
1820,9.255855459855411e-08,1.0679833017945839e-08
1821,1.6370070810012294e-07,1.676452932031225e-08
1822,1.2431763707354548e-07,2.2056354964661296e-08
1823,9.685032864581444e-08,2.4706716672540097e-08
1824,7.410578906075216e-08,6.989523626543814e-08
1825,1.0830695185148898e-07,1.7610886970942374e-08
1826,6.341748415295001e-08,4.7563116112314674e-08
1827,5.438191053031005e-08,1.013900075008678e-08
1828,8.713686128203335e-08,3.944089499441361e-08
1829,1.0630738245254179e-07,2.743416338546467e-08
1830,1.2524202475105994e-07,1.3567886369969528e-08
1831,1.6526678847661458e-07,4.053713453799901e-08
1832,1.2447572417251251e-07,1.352996914505411e-08
1833,1.0888610768589047e-07,1.3900354645102198e-08
1834,6.720862111286863e-08,1.8669062740173104e-08
1835,1.1420262779893164e-07,6.201732105637348e-08
1836,1.431519812689075e-07,3.024337402735e-08
1837,9.045258486661822e-08,3.270208637218275e-08
1838,7.32210807541378e-08,3.219202682203104e-08
1839,5.6630947153912814e-08,1.957613093850341e-08
1840,1.1783923808961205e-07,2.229391071750797e-08
1841,9.245589893680517e-08,5.264849889385914e-08
1842,1.0330727828744557e-07,1.2745703159566801e-08
1843,1.3054273484414125e-07,3.898561473647533e-08
1844,1.1086893669798314e-07,2.6893950177964143e-08
1845,9.93280583339029e-08,4.0177642546268544e-08
1846,7.786486833083472e-08,2.2247105491146613e-08
1847,6.741529290366088e-08,1.4022381478184798e-08
1848,1.6251347290108242e-07,4.827133182061516e-08
1849,8.211826485471363e-08,6.703531951757213e-09
1850,7.332116069846961e-08,2.851378333446064e-08
1851,7.416854375108528e-08,9.674158363282004e-09
1852,6.77096707590863e-08,5.208436348880241e-08
1853,9.375933185395979e-08,1.970737528722566e-08
1854,9.196326100635588e-08,2.8576154775805662e-08
1855,9.817833657166375e-08,1.9104973603134567e-08
1856,9.06008139622827e-08,3.1063134287023786e-08
1857,1.2203772664642898e-07,2.6848299583548396e-08
1858,1.419166051341847e-07,4.8447393652395476e-08
1859,1.0948172901592557e-07,1.476730293603623e-08
1860,1.473853246114487e-07,2.1512764902809067e-08
1861,1.1978547781454907e-07,1.744906619194353e-08
1862,1.1791944176664515e-07,1.8071945717679228e-08
1863,1.19870899206731e-07,9.989241434027463e-09
1864,1.4480078291967402e-07,4.746780746245349e-08
1865,1.5297243471934507e-07,2.2592853810010638e-08
1866,1.4450870300386498e-07,3.113992264047738e-08
1867,1.0239432057801423e-07,2.620518202434141e-08
1868,9.682153301326935e-08,1.3831646938911035e-08
1869,1.2648314173802078e-07,3.7603097524652185e-08
1870,9.346499219020643e-08,9.747882501187632e-09
1871,1.2532989046576404e-07,1.0621176826930423e-08
1872,1.1248051112744406e-07,1.3908880269752899e-08
1873,1.0655087656630258e-07,1.616221290134945e-08
1874,1.13517574340527e-07,3.823749850084823e-08
1875,1.2873436128213456e-07,4.577221801582709e-08
1876,1.6687001203052887e-07,1.6324239737741664e-08
1877,1.3049961467004323e-07,3.154256233983688e-08
1878,9.300196657235915e-08,1.2078177569208037e-08
1879,1.1729904669799396e-07,2.3215436684154156e-08
1880,1.0461089505753307e-07,2.2462462112571302e-08
1881,1.3038589852243376e-07,3.067903264764027e-08
1882,1.2245908376229409e-07,2.728707926280549e-08
1883,1.2765065360298422e-07,1.3270612164717477e-08
