year,en_ADP ailes_NOUN,en_ADP selles_NOUN
1800,1.6664071722516383e-07,3.144164484325529e-09
1801,8.572257570449437e-08,2.3811825400343878e-08
1802,7.608656460433849e-08,6.713520406265161e-09
1803,1.4432509942707838e-07,0.0
1804,1.0134588990240445e-07,0.0
1805,1.7910129201936797e-07,0.0
1806,2.420601958874613e-07,2.5935023018064385e-08
1807,1.6512339584551228e-07,0.0
1808,2.3567169193938753e-07,0.0
1809,9.713831161661801e-08,0.0
1810,1.193464669313471e-07,0.0
1811,2.0056614147279106e-08,2.0056614147279106e-08
1812,9.335229123053068e-08,1.8670457180292033e-08
1813,2.5881675469463516e-08,2.300593315851529e-08
1814,1.1642705288750221e-07,0.0
1815,6.74305908887618e-08,0.0
1816,1.5991466284503986e-07,2.3176038865813098e-09
1817,1.634717108345285e-07,7.784366928831332e-09
1818,1.3351719019283337e-07,3.5763532135746345e-09
1819,2.4842520929269085e-08,2.070210003424222e-09
1820,9.730514705097448e-08,2.4919611263385377e-08
1821,1.0847637099686835e-07,0.0
1822,1.0727409005539812e-07,0.0
1823,8.499110748516614e-08,0.0
1824,1.381062446625947e-07,2.5263338088166165e-09
1825,1.2327620879659662e-07,1.8491430608946757e-08
1826,6.077509340229881e-08,3.8755132436563144e-08
1827,9.309445658800541e-08,9.217273055917019e-10
1828,8.163348041989593e-08,0.0
1829,7.715858174606183e-08,8.57317605795771e-10
1830,1.49246758951449e-07,1.2524203008013046e-08
1831,2.1359952029342821e-07,4.677361609140007e-09
1832,2.0565553882079257e-07,5.411987746839486e-09
1833,6.370995464521911e-08,1.0425265983826648e-08
1834,1.0081293311259287e-07,2.0535967593104942e-08
1835,1.187404805591541e-07,3.327758690829796e-08
1836,7.325617445985699e-08,1.2097349788575684e-08
1837,1.0436836106464398e-07,4.174734336004349e-09
1838,5.302215910774066e-08,2.9035945203759184e-08
1839,1.0207553913232914e-07,1.11863602825224e-08
1840,5.7327198987877637e-08,6.305991462340899e-08
1841,2.0802576727874111e-07,3.2102743574569104e-08
1842,3.957876515414682e-08,1.3349448124699848e-07
1843,9.923610377882142e-08,5.906910960362666e-09
1844,6.476502534269457e-08,8.781698035420504e-09
1845,9.263178668561522e-08,2.622707206967334e-08
1846,8.137757134818457e-08,5.269050973311096e-09
1847,9.384208965457219e-08,7.550513103637968e-09
1848,5.551202875153649e-08,9.65426583121598e-09
1849,1.0306680309213334e-07,3.016589289472904e-08
