year,en_ADP eaux_NOUN,en_ADP sots_NOUN
1800,2.358123420975744e-07,2.5153315874604232e-08
1801,2.524053570596152e-07,1.904946111963568e-08
1802,2.5735161557349784e-07,0.0
1803,1.1331471370112922e-06,3.900678446910888e-09
1804,4.696516728852629e-07,6.92118238276862e-08
1805,5.34461003454112e-07,4.5486043376286034e-08
1806,2.7087691023552907e-07,3.1698359492793315e-08
1807,3.074711401040986e-07,8.540865792383556e-09
1808,2.5153420679657756e-07,6.798221985349073e-09
1809,2.710836657371374e-07,4.743964154840796e-08
1810,3.1825722945910684e-07,2.8081521108447305e-08
1811,3.4096243783920954e-07,7.771937760026049e-08
1812,2.667208347517658e-07,1.0668832928217853e-08
1813,2.0992914051554123e-07,1.4378708002027452e-08
1814,2.580275122454623e-07,1.5733386149463513e-08
1815,2.5623624266835066e-07,1.6183340889597275e-08
1816,2.062667476820934e-07,2.3176038865813098e-08
1817,2.2107602470899934e-07,2.80237220096069e-08
1818,1.9908365556098317e-07,1.9073883805731384e-08
1819,3.3226870055358404e-07,1.552657524772627e-08
1820,2.1003671690777992e-07,1.0679833017945839e-08
1821,2.031466594942799e-07,4.339054981983281e-08
1822,1.5439448475262907e-07,3.408709403629473e-08
1823,1.2649839309375466e-07,2.3718449426723964e-08
1824,1.9621192581809055e-07,1.51580028528997e-08
1825,1.787504968486786e-07,1.6730341778625757e-08
1826,2.3164999207736514e-07,1.8496766784892316e-08
1827,2.0185828181196186e-07,1.3825909750408982e-08
1828,1.751909479708047e-07,1.559291185060374e-08
1829,2.1518671777798204e-07,1.2859763920403111e-08
1830,1.8890672803806297e-07,1.982998831806526e-08
1831,2.7908258548592357e-07,1.4032085715598441e-08
1832,3.368962495642336e-07,2.705993829010822e-08
1833,2.536814502906992e-07,2.3167256557599103e-08
1834,1.7455573142477476e-07,4.667265685043276e-09
1835,2.2008586597621616e-07,3.781543966852041e-09
1836,1.854926970912274e-07,1.5457725766054864e-08
1837,1.8507989274496595e-07,1.3915782304252389e-08
1838,2.057764847407384e-07,3.787297142565649e-09
1839,2.551888466095775e-07,2.7965900706306e-09
1840,1.0828470919932442e-07,6.3696887764308485e-09
1841,1.8491180320268086e-07,7.0626033910059505e-09
1842,1.677066228111812e-07,6.708265054555795e-09
1843,2.0615119794564762e-07,1.2995204246024628e-08
1844,1.9374621373913214e-07,1.6465683816413446e-09
1845,1.696389348992966e-07,9.48638767539478e-09
1846,2.1603110056389596e-07,5.854501106128396e-09
1847,1.526282265018608e-07,1.0786447290911383e-09
1848,3.07327463255902e-07,1.850401076808339e-08
1849,2.1618890544417013e-07,5.865590679832167e-09
1850,1.5003680609027015e-07,5.431196825611551e-09
1851,2.347595637886002e-07,5.159551008659946e-09
1852,2.8841716326333255e-07,1.3021090872200602e-09
1853,2.3589130093704114e-07,5.971931837933653e-09
1854,2.202961661978975e-07,3.117398783558656e-09
1855,1.9529528572093113e-07,5.306937111981824e-09
