year,son_DET avoir_NOUN,son_DET savoir_NOUN
1800,1.0375742931501009e-07,1.7984620654942773e-06
1801,1.5477686798881507e-07,1.3596552861372402e-06
1802,7.384872446891677e-08,1.2643797049349814e-06
1803,9.166594594489652e-08,1.0239281014179369e-06
1804,8.898663139689234e-08,2.5855561034404673e-06
1805,6.538618890772341e-08,1.8762992644028031e-06
1806,1.0085842205853623e-07,1.7405282051186077e-06
1807,1.3380688779207617e-07,1.5658253662564903e-06
1808,5.778488798569015e-07,1.7040876141294348e-06
1809,1.400598961254218e-07,1.3418641557905175e-06
1810,1.0998595456612748e-07,2.117814652535799e-06
1811,1.579458341893769e-07,4.003801464591561e-06
1812,6.934741492159446e-08,3.454034555261387e-06
1813,8.052076339026826e-08,2.274711533800655e-06
1814,1.4789382873914292e-07,1.928913128779186e-06
1815,1.3216394734172354e-07,1.993248162079908e-06
1816,1.1356259221884102e-07,2.81357118581127e-06
1817,5.4490569389997745e-08,2.0332765977570944e-06
1818,7.033494830999132e-08,2.1243538910198367e-06
1819,1.852837965277132e-07,2.3393373425051323e-06
1820,4.746592452420373e-08,2.4029623375554365e-06
1821,5.1279737789400315e-08,2.783898239044902e-06
1822,9.42407893944619e-08,2.372060819766375e-06
1823,1.7294701459835693e-07,2.0289155315822427e-06
1824,3.1494961216793627e-07,2.1675943457921676e-06
1825,2.35105329648988e-07,1.8702760691269305e-06
1826,2.1579561404472258e-07,1.6241923148641035e-06
1827,9.309445658800541e-08,1.8075072105716572e-06
1828,3.384579135290444e-07,2.0619333014337826e-06
1829,9.773420828196322e-08,1.9169622049730606e-06
1830,1.5759622584710087e-07,1.9986541275329728e-06
1831,1.7306238531134e-07,1.7711610666992783e-06
1832,1.8806657298142682e-07,1.722365102097001e-06
1833,1.332117278707301e-07,2.3120922101327324e-06
1834,1.0828055962974759e-07,1.8669061638831863e-06
1835,1.9285874941488146e-07,2.119177203496747e-06
1836,1.8549269498180365e-07,2.1419030957758878e-06
1837,2.400472345343019e-07,1.6685022785623005e-06
1838,3.4527526526773045e-07,1.8677687023682665e-06
1839,4.0340811757744177e-07,2.0065534656055206e-06
1840,2.5797237679370255e-07,2.1236541343228055e-06
1841,2.3049769870553405e-07,2.089246528669264e-06
1842,2.696722649631056e-07,2.017175340540689e-06
1843,2.031977359706616e-07,2.270026037365369e-06
1844,2.1734702665421324e-07,2.0291211768608264e-06
1845,1.9084379232481297e-07,2.1991678771371426e-06
1846,2.83943307977097e-07,1.971796010025173e-06
1847,2.1141436601368468e-07,2.2052891637258654e-06
1848,3.491626107132717e-07,2.074058080836494e-06
1849,2.0697154923254857e-07,1.722807731141529e-06
1850,3.068626206470526e-07,2.2261117464950075e-06
1851,4.056697047172264e-07,2.7777733180300856e-06
1852,1.8555053959978807e-07,2.4049954845395405e-06
1853,1.8154673098180751e-07,2.1672141627959718e-06
1854,3.33561644083602e-07,2.4845666288797474e-06
1855,2.2819829226250476e-07,2.4284543229668998e-06
1856,2.686961299569468e-07,2.0413658035067783e-06
1857,3.0314172505541137e-07,2.090262206877469e-06
1858,2.857906906683638e-07,2.2163457629176264e-06
1859,2.8974466115272435e-07,1.8835948800699498e-06
1860,3.3138811095234644e-07,1.973224033946508e-06
1861,3.1927074373161446e-07,2.1184108405236657e-06
1862,2.4532665410248455e-07,2.138362816594963e-06
1863,3.1915625964273886e-07,2.047794502857414e-06
1864,3.5960460831319097e-07,2.265509031929014e-06
1865,2.602884845437359e-07,2.004174433523076e-06
1866,2.9290990255503857e-07,2.0566946759004168e-06
1867,3.7706345068500013e-07,1.7780701426772794e-06
1868,3.1763390362371524e-07,1.6444840866824961e-06
1869,3.2866083565785686e-07,1.9333852705472054e-06
1870,2.7007370384524165e-07,2.0493491206252656e-06
1871,4.312197936506834e-07,1.2787897496480127e-06
1872,4.081954098067442e-07,1.7664277969231534e-06
1873,2.987016198829906e-07,1.7509062928411367e-06
1874,3.321882544593535e-07,1.5641526864840216e-06
1875,3.5530683373252714e-07,1.539090803248655e-06
1876,3.597378936959217e-07,1.577405232211504e-06
1877,3.067668683520708e-07,1.6649524248180114e-06
1878,2.94707529935323e-07,1.68249008680732e-06
1879,3.647267258211073e-07,1.5346624522294405e-06
1880,3.4335476595259706e-07,1.80277299222098e-06
