year,ton_DET honneur_NOUN
1800,2.169473489743723e-07
1801,3.6193975461173977e-07
1802,3.088219386881974e-07
1803,2.866998531914078e-07
1804,3.2134060923283414e-07
1805,2.58701862598798e-07
1806,1.4120178537524453e-07
1807,1.366538526781369e-07
1808,2.0394666311318588e-07
1809,2.801197842572378e-07
1810,3.1123685584333316e-07
1811,1.7048122691321055e-07
1812,1.466964532070847e-07
1813,1.6391726842535093e-07
1814,1.982406541145565e-07
1815,1.9150286667546368e-07
1816,1.1356258866612734e-07
1817,2.6933910390880555e-07
1818,2.0385213339579877e-07
1819,2.7740815422561127e-07
1820,3.32261484103924e-07
1821,2.780939611923827e-07
1822,4.6518856322563806e-07
1823,4.051901676405123e-07
1824,3.5200250181333104e-07
1825,2.183749856499162e-07
1826,3.0827943753308773e-07
1827,2.1199727973097993e-07
1828,2.2105245989223476e-07
1829,1.9632573255989882e-07
1830,2.5361511291066563e-07
1831,2.5569577832840196e-07
1832,3.233662599910758e-07
1833,3.1044125137213996e-07
1834,2.1096039581891546e-07
1835,2.306741819779745e-07
1836,2.6614169135186216e-07
1837,3.20062986780556e-07
1838,2.587986454027913e-07
1839,2.544896862133328e-07
1840,2.707117712219542e-07
1841,1.9582672816653712e-07
1842,3.2400919103281467e-07
1843,2.469088791201557e-07
1844,2.2612871841687365e-07
1845,2.1986097653581282e-07
1846,2.534999143932737e-07
1847,1.8876282670277078e-07
1848,2.140028900754487e-07
1849,1.5166741107464077e-07
1850,2.532295448887112e-07
1851,1.909033819913475e-07
1852,1.7252946027390692e-07
1853,1.49895494017116e-07
1854,2.052287397802388e-07
1855,2.8710528710007566e-07
1856,1.9983950716451204e-07
1857,3.0851136489928876e-07
1858,2.2413035605239884e-07
1859,2.647930097410267e-07
1860,2.741733133859725e-07
1861,2.1410475703476095e-07
1862,2.430676682152466e-07
1863,2.462348009935056e-07
1864,2.5987424834283956e-07
1865,3.2194816101949186e-07
1866,2.831786671819714e-07
1867,2.0284751478527596e-07
1868,1.8820920200113278e-07
1869,2.3636232526769163e-07
1870,4.41521757821306e-07
1871,2.1985836795579417e-07
1872,3.7856343482189914e-07
1873,2.6338418557259047e-07
1874,2.348021381770593e-07
1875,2.5403579684279975e-07
1876,2.1765653812622077e-07
1877,2.6223619720155966e-07
1878,2.0653683208138318e-07
1879,2.2299037505391084e-07
1880,2.3553495953620995e-07
1881,2.5589104080125935e-07
1882,2.2561755486094626e-07
1883,1.958995126116747e-07
1884,1.9871107159730172e-07
1885,1.7403216867606375e-07
1886,1.5165639632996886e-07
1887,1.469008061860677e-07
1888,1.604175468017388e-07
1889,2.054964856057495e-07
1890,1.4485194554936243e-07
1891,1.5999292202195647e-07
1892,1.792794552812893e-07
1893,1.4410694904043453e-07
1894,1.7014155417882648e-07
1895,2.14262682263211e-07
1896,1.273758201136843e-07
1897,1.4391982539052606e-07
1898,1.358005121687711e-07
1899,1.4261152792016674e-07
1900,1.6403728198000067e-07
1901,1.2854099695758237e-07
1902,1.3012252875199692e-07
1903,1.1988489134751035e-07
1904,1.4403995240996892e-07
1905,1.2592251952270317e-07
1906,1.008260182011611e-07
1907,1.5171388234591632e-07
1908,1.4685053795204794e-07
1909,1.3972497914238602e-07
1910,1.6834074334504123e-07
1911,8.991432665084176e-08
1912,1.4898944655783453e-07
1913,1.5696849953172887e-07
1914,1.4732836284281348e-07
1915,1.425472215821344e-07
1916,1.4283700355832707e-07
1917,8.005489604556715e-08
1918,1.1256648502211419e-07
1919,1.4916714619062077e-07
1920,1.370573947667708e-07
1921,1.332803556408635e-07
1922,1.6821693549218253e-07
1923,2.1125736182625587e-07
1924,2.101334732884652e-07
1925,2.2986192149687668e-07
1926,1.6830669657963426e-07
1927,1.928815871465872e-07
1928,1.3939769649695677e-07
1929,1.5262356356515738e-07
1930,1.2289216400063196e-07
1931,1.5055071056480074e-07
1932,1.0740345723903033e-07
1933,1.3076554861157774e-07
1934,1.3539186127786706e-07
1935,1.8431158199661013e-07
1936,1.1760973128716046e-07
1937,1.5235253547629668e-07
1938,2.268912502323417e-07
1939,1.39175861946228e-07
1940,1.6229011112756098e-07
1941,1.2691460860025927e-07
1942,1.9722376976005762e-07
1943,1.7419411380004135e-07
1944,2.0243072640369064e-07
1945,1.6556631399211597e-07
1946,1.3781893137831958e-07
1947,1.287454129972332e-07
1948,1.7721177414387057e-07
1949,1.5707212774884738e-07
1950,2.5524867908188753e-07
1951,1.3966435830070623e-07
1952,1.5395413655028278e-07
1953,1.389823802711021e-07
1954,1.3877001148188128e-07
1955,1.2107433899899434e-07
1956,1.578526562795446e-07
1957,1.210400185636118e-07
1958,1.3235588963711464e-07
1959,1.5191465596586795e-07
1960,1.543345904408966e-07
1961,1.473009700880823e-07
1962,1.4459660979682099e-07
1963,1.5712510093024434e-07
1964,1.4662363900797004e-07
1965,2.0191839844585502e-07
1966,1.6174098149690508e-07
1967,2.159487051400788e-07
1968,1.7291950982212256e-07
1969,1.2489834633200303e-07
1970,1.4072098730721905e-07
1971,1.598041570183284e-07
1972,1.2312352426491202e-07
1973,1.1522596010671293e-07
1974,1.0013517770524061e-07
1975,8.909909299248397e-08
1976,9.712995341359942e-08
1977,1.004929668368959e-07
1978,1.2772271329453133e-07
1979,1.2113584979545067e-07
1980,9.664756328575663e-08
1981,9.804601841523208e-08
1982,1.1732179538981313e-07
1983,1.0736037392433673e-07
1984,1.641119347084441e-07
1985,1.161002722849247e-07
1986,1.3427648082320331e-07
1987,9.899523423229084e-08
1988,1.2292934981061876e-07
1989,1.0372551040305211e-07
1990,1.1387680398655675e-07
1991,1.3305526280760205e-07
1992,1.074439106574232e-07
1993,1.1632335539246696e-07
1994,1.1552088974298158e-07
1995,1.2905432900112146e-07
1996,1.3879039650888103e-07
1997,1.3185960501260752e-07
1998,1.282626800325204e-07
1999,1.1196992932838157e-07
2000,1.2193767129353716e-07
2001,1.0733969113552178e-07
2002,1.2442668739787166e-07
2003,1.3834183398842015e-07
2004,1.383104484276032e-07
2005,1.274561065578439e-07
2006,1.4824404370727962e-07
2007,1.62575310103108e-07
2008,1.856243674325242e-07
2009,1.9787998528641992e-07
2010,2.446924831644992e-07
2011,2.344094753858883e-07
2012,2.8357425030378636e-07
2013,3.1321873805723044e-07
2014,3.3932526033453314e-07
2015,3.6418334037335853e-07
2016,3.9024046838420645e-07
2017,3.4287782124664545e-07
2018,4.0683915436545703e-07
2019,3.811175712797876e-07
