year,un_DET âge_NOUN,un_DET age_NOUN,un_DET sage_NOUN
1800,7.294461738638347e-06,8.174827748064217e-08,1.0501509333238346e-06
1801,8.181743396562524e-06,7.619784492263193e-08,9.429483043277287e-07
1802,8.45455997477984e-06,6.042168365638645e-08,1.1412984690650774e-06
1803,9.960382158169523e-06,5.460949870084164e-08,8.288941621970025e-07
1804,1.0334808393963613e-05,9.640218401330003e-08,1.3965957492700909e-06
1805,1.1289067515463103e-05,7.391482181873243e-08,1.390167174264434e-06
1806,8.495160727761686e-06,8.645007198992971e-08,9.106074365661243e-07
1807,9.252604286302812e-06,9.39495183871486e-08,1.1359350935435941e-06
1808,9.485785994911566e-06,6.571614541428517e-08,9.766778887865257e-07
1809,8.882508154783864e-06,9.713831516933169e-08,5.828298892396333e-07
1810,1.1286431799817365e-05,8.892481462297042e-08,8.892481844213762e-07
1811,1.05823710327968e-05,7.019815129183371e-08,1.0529722160868005e-06
1812,9.641958058637101e-06,9.068507988985175e-08,1.042878373880285e-06
1813,1.2713653632090427e-05,8.627224801216471e-08,9.346160272372117e-07
1814,8.448828339169268e-06,6.608022040666128e-08,6.985623244304406e-07
1815,9.923085599439219e-06,6.203614222322074e-08,5.448391577900225e-07
1816,8.894963684724644e-06,2.7811246638975717e-08,6.697875143402143e-07
1817,8.732503374631051e-06,5.7604314207537755e-08,9.45022151199737e-07
1818,9.080360541702248e-06,5.960588644882137e-08,9.70383844389744e-07
1819,9.154468898486812e-06,1.0247539727892274e-07,1.3528822293551457e-06
1820,8.34688307804754e-06,7.00122386732005e-08,8.259070698457549e-07
1821,1.008632989396574e-05,9.269799050581895e-08,1.1104035380071764e-06
1822,9.08120273379609e-06,7.920236555492011e-08,9.404027707660134e-07
1823,7.838947567506693e-06,4.348382187657762e-08,8.103803317283109e-07
1824,8.336901373695582e-06,6.568467902923203e-08,1.0282178593001845e-06
1825,8.715627700439654e-06,5.19521154984659e-08,1.0082232400066005e-06
1826,7.391660346911522e-06,5.284790449699983e-08,9.010567829648153e-07
1827,8.119495760183781e-06,7.189472900348548e-08,8.166504059659019e-07
1828,7.648782229807694e-06,8.255070815810228e-08,8.200037235894797e-07
1829,8.115368473227136e-06,6.687077558353849e-08,1.0022043017698934e-06
1830,8.059324500209186e-06,5.740259645392598e-08,7.879810901556539e-07
1831,7.2171692409028765e-06,6.23648233055718e-08,7.125181440414963e-07
1832,7.793262739141937e-06,6.629685089798443e-08,6.84616431989582e-07
1833,8.391180926992092e-06,1.494288071057781e-07,6.324660972722995e-07
1834,7.266932243510382e-06,6.81420757597806e-08,6.888884085398672e-07
1835,7.570651177957188e-06,1.0512692227848675e-07,6.26223659594416e-07
1836,7.702651600993704e-06,1.1425274804022223e-07,6.673705037485433e-07
1837,7.799795639584772e-06,8.975679044453955e-08,6.387344004821216e-07
1838,7.127061962819425e-06,7.132742729787367e-08,6.488902410950459e-07
1839,7.4004765338031575e-06,8.389770478345326e-08,6.970500976422045e-07
1840,7.127044682420092e-06,9.299745257207448e-08,7.063984748256757e-07
1841,7.62183299229946e-06,8.539329554579922e-08,6.105941743328458e-07
1842,7.232851203298196e-06,1.0129480099152488e-07,6.835722334841421e-07
1843,8.097784302663058e-06,1.0514301634900747e-07,6.137280434970194e-07
1844,7.186173206719104e-06,9.385439403430951e-08,5.21962178368085e-07
1845,7.0757291723566595e-06,1.0379223847056807e-07,5.881560154463727e-07
1846,6.843326445959974e-06,1.0186832555270087e-07,5.544212919872393e-07
1847,6.843461505923187e-06,7.874106344729626e-08,5.927152662010826e-07
1848,6.403191946446896e-06,9.815170798344042e-08,5.551203159370743e-07
1849,5.867266281711636e-06,9.133562439700427e-08,5.756657905919838e-07
1850,6.5092895056295674e-06,1.0522943583168853e-07,5.234316002855621e-07
1851,5.967020570096793e-06,1.4833709216510726e-07,5.675505914126688e-07
1852,6.640756510023493e-06,1.2304930696593885e-07,7.988439421069415e-07
