year,beaucoup_ADV avant_ADP,beaucoup_ADV savant_ADJ
1800,1.1004575384276905e-07,0.0
1801,1.4048977448055666e-07,0.0
1802,1.0070280609397742e-07,0.0
1803,1.3067273130218382e-07,0.0
1804,6.426812149129546e-08,0.0
1805,1.648869130121966e-07,0.0
1806,1.729001475325731e-08,1.4408345627714425e-08
1807,1.1103124819555887e-07,0.0
1808,4.985362878073829e-08,0.0
1809,6.09938268780752e-08,2.0331274441787173e-08
1810,8.89248141788812e-08,0.0
1811,5.515568801683912e-08,0.0
1812,3.200649700829672e-08,0.0
1813,1.00650957790549e-07,0.0
1814,1.8880061958270744e-08,0.0
1815,8.091670444798638e-09,2.697223555614414e-09
1816,9.270415546325239e-08,0.0
1817,9.963989811012652e-08,1.556873407970727e-09
1818,7.033494853203592e-08,0.0
1819,1.1696686641471388e-07,0.0
1820,1.5189095847745193e-07,0.0
1821,4.437669787193954e-08,0.0
1822,7.118187284049782e-08,0.0
1823,4.5460360809101985e-08,0.0
1824,7.157945702829238e-08,0.0
1825,9.509878395874694e-08,0.0
1826,9.953022583886195e-08,8.807984341885344e-10
1827,1.5485018423078145e-07,9.217273055917019e-10
1828,4.586150481600271e-08,0.0
1829,5.401101077495696e-08,0.0
1830,7.618890407457002e-08,0.0
1831,1.1693404644574912e-07,0.0
1832,8.38858085216998e-08,0.0
1833,5.444305273272221e-08,0.0
1834,7.374279675786966e-08,0.0
1835,1.2025310525132227e-07,1.5126175867408165e-09
1836,9.543465040451338e-08,0.0
1837,4.5922078584226256e-08,0.0
1838,7.258986300939796e-08,0.0
1839,9.57832071435405e-08,1.3982950353153e-09
1840,8.66277645172886e-08,0.0
1841,8.731946365969634e-08,0.0
1842,6.104521332872537e-08,0.0
1843,4.1939067330076796e-08,0.0
1844,4.665277231197251e-08,2.7442805805577564e-09
1845,6.640470928687137e-08,0.0
1846,1.1357732887518068e-07,0.0
1847,7.011190916728083e-08,0.0
1848,6.757986170669028e-08,0.0
1849,9.46873868201692e-08,0.0
1850,5.906426636670403e-08,0.0
1851,7.029888138276874e-08,0.0
1852,6.901178295493082e-08,0.0
1853,8.002388796057858e-08,0.0
1854,5.507404310378661e-08,0.0
1855,5.5722839675809155e-08,5.306937111981824e-10
1856,6.62680221807932e-08,0.0
1857,8.835531417616949e-08,4.881509085841174e-10
1858,1.0423529772651818e-07,4.893676019968041e-10
1859,7.383651023928905e-08,0.0
