year,trop_ADV au_ADP,trop_ADV sot_ADJ
1800,1.7733087815940962e-06,3.772997558826319e-08
1801,1.412041228832095e-06,4.286128785224719e-08
1802,1.2151472219557036e-06,4.475680270843441e-09
1803,1.1702035180860548e-06,1.5602713787643552e-08
1804,1.6981615544864326e-06,4.449331569844617e-08
1805,1.7114124375439133e-06,3.695740957709859e-08
1806,1.25064434541855e-06,9.797675204481493e-08
1807,1.1302412303848541e-06,0.0
1808,1.289396095671691e-06,2.7192887941396293e-08
1809,1.1927680816370412e-06,1.3554183553310395e-08
1810,1.6006466694307164e-06,4.680253518074551e-09
1811,1.271087967325002e-06,1.0028307073639553e-08
1812,1.1122258456452983e-06,6.668020802180763e-08
1813,1.3142139323463198e-06,1.4378708002027452e-08
1814,1.0887503094636486e-06,6.293354282149721e-09
1815,9.33239334699465e-07,5.394447111228828e-09
1816,1.175025204247504e-06,2.3176038865813098e-08
1817,1.4821434888290241e-06,2.3353100786493997e-08
1818,1.4698812265123706e-06,3.9339884239097955e-08
1819,1.3218291314842645e-06,2.173720581311045e-08
1820,1.3765118183073355e-06,8.306536791735653e-09
1821,1.527544554846827e-06,4.339054981983281e-08
1822,1.3173658999221516e-06,3.208197085768916e-08
1823,1.1197083722436219e-06,5.731958552246397e-08
1824,1.4046415799384704e-06,3.03160057057994e-08
1825,1.4854782648399123e-06,2.553578504205234e-08
1826,1.1142100220240536e-06,1.2331177856594877e-08
1827,1.1198986840099678e-06,2.6730091917670507e-08
1828,1.0685730558179785e-06,2.5682442839070063e-08
1829,1.2988361959287431e-06,3.772197487705853e-08
1830,1.2492891983129084e-06,2.922314124020886e-08
1831,1.1615449011515011e-06,3.1182412207897414e-09
1832,1.1960493111473625e-06,1.8941957335982806e-08
1833,1.1259286338827224e-06,2.89590715851773e-08
1834,1.098674260902044e-06,3.360431222176885e-08
1835,9.703442174213706e-07,2.117664621437143e-08
1836,1.1600014886425924e-06,3.024337402735e-08
1837,1.0582951972537558e-06,1.2524203896191466e-08
1838,9.922719073074404e-07,1.830527018853445e-08
1839,1.0242511052638292e-06,7.690622361167243e-09
1840,1.075840373232495e-06,3.821813088222825e-09
1841,1.018299030874914e-06,9.630822361827995e-09
1842,1.0773474059533328e-06,1.1404051036834062e-08
1843,1.1772473271776107e-06,4.134837805480629e-09
1844,1.0356915254305932e-06,1.2074834465636286e-08
1845,1.008347226161277e-06,1.785672942844485e-08
1846,1.0432721637698705e-06,1.7563504428608212e-08
1847,9.082188512365974e-07,1.0786447290911383e-08
1848,9.1071910901519e-07,1.1263310506492985e-08
1849,1.0046918532680138e-06,1.005529792763582e-08
1850,8.526978945155861e-07,5.431196825611551e-09
1851,9.564517995386268e-07,1.8058428308265206e-08
1852,1.1120012004539603e-06,9.765818376195057e-09
1853,1.0886831205425551e-06,1.7318601663873778e-08
1854,1.0432894441692042e-06,1.818482542326194e-08
1855,1.099066707865859e-06,1.4859423913549108e-08
1856,1.102741293834697e-06,1.6567005323153694e-08
1857,1.1783962463596254e-06,2.3919393798976785e-08
1858,1.0678000990083092e-06,1.9574704301916768e-08
1859,1.2643866966755013e-06,2.036869295451993e-08
1860,1.0962355645460775e-06,1.3731552062079544e-08
1861,1.1596554259085678e-06,1.980704722459592e-08
1862,1.0558534313531709e-06,3.56920929478477e-08
1863,1.1088058045061189e-06,2.1976331865403154e-08
1864,1.1579268175410107e-06,1.965838514195184e-08
1865,1.0576279692031676e-06,3.012380389577629e-08
1866,1.0066953564091818e-06,2.432806534002907e-08
1867,9.579449624652625e-07,1.164674756637396e-08
1868,9.929146926879184e-07,9.87974857480367e-09
1869,1.1290695738352952e-06,4.0533209677562354e-08
1870,1.0017382692240062e-06,2.695003020747322e-08
1871,9.229802913068852e-07,1.274541272522356e-08
1872,9.63341108217719e-07,3.930770375859538e-08
1873,1.0535368346609175e-06,2.573981916498269e-08
1874,1.0897687161559588e-06,2.2703515512034755e-08
1875,1.19637127227179e-06,1.773673358185235e-08
1876,1.048983563123329e-06,1.0882826195768303e-08
1877,1.0272979125147685e-06,1.855444864418132e-08
1878,1.057444478647085e-06,3.4422804162659304e-08
1879,1.0385853101979592e-06,2.932476128592043e-08
1880,1.0595864523565979e-06,1.3477476912271413e-08
1881,9.001507237371698e-07,2.9284532132578533e-08
1882,1.0182739060837775e-06,2.5956001792337702e-08
1883,9.681227766122902e-07,1.3902546058819354e-08
1884,1.002797716864734e-06,1.386356363042296e-08
1885,9.662007869337685e-07,1.4180398189012067e-08
1886,9.57694055614411e-07,2.2587123282846733e-08
1887,9.460411547479453e-07,2.6115698048556624e-08
1888,9.257297506337636e-07,1.5851536971922542e-08
1889,9.648310879128985e-07,2.4434032575015863e-08
1890,9.30067415083613e-07,1.9007721618891082e-08
1891,8.828294539853232e-07,3.378336543846672e-08
1892,9.139491226051177e-07,2.6327752422616868e-08
1893,9.600971679901704e-07,1.3548516086814288e-08
1894,9.187644423036545e-07,1.2603078580752936e-08
1895,1.0923785112026962e-06,1.444467478961542e-08
1896,9.352688152830524e-07,1.4152869098893461e-08
1897,8.984792430055677e-07,1.1070755867592652e-08
1898,9.115609600485186e-07,7.355861253444118e-09
1899,8.904928563424619e-07,9.39688327150634e-09
1900,9.920102002070053e-07,1.2977633190303095e-08
1901,8.450173254459514e-07,2.459045056468767e-08
1902,6.677985879832704e-07,2.7497589982772297e-08
1903,8.910363362701901e-07,1.4040573148577096e-08
1904,7.836203508304607e-07,8.599400302955473e-09
1905,8.819737331577926e-07,2.838417501038748e-08
1906,8.276992957689799e-07,2.211999294843281e-08
1907,8.567977261009219e-07,2.0057088434555226e-08
1908,8.108703468678868e-07,2.2592390180875555e-08
1909,8.499019372720795e-07,1.7603147384193107e-08
1910,8.288777735288022e-07,2.3514262537105424e-08
1911,8.50195760904171e-07,1.4365010403416534e-08
1912,9.736407946547843e-07,3.334029585744247e-08
1913,8.447662480648432e-07,1.5378670781274195e-08
1914,8.129846946758335e-07,3.4153391226254826e-08
1915,6.196680715220282e-07,1.6493066246070498e-08
1916,7.548386520284112e-07,1.098746182925936e-08
1917,7.928724699013401e-07,3.180263163926611e-08
1918,7.362767178165086e-07,1.1486376294556067e-08
1919,7.697761361669109e-07,1.749491218561161e-08
1920,8.617199682703358e-07,2.2716694303426266e-08
1921,9.034287700160348e-07,2.877644078580488e-08
1922,7.864879307817318e-07,1.9182632371439468e-08
1923,9.076635478777462e-07,2.3355084977083607e-08
1924,1.0455107712914469e-06,2.5783249313349188e-08
1925,7.698724289184611e-07,2.3096173862313663e-08
1926,8.348457640749984e-07,4.56991671171636e-08
1927,9.242707506018633e-07,2.675813981500852e-08
1928,8.42099211695313e-07,2.742249805010033e-08
1929,8.689517017046455e-07,2.33948540540041e-08
1930,9.085617307391658e-07,2.941009036305786e-08
1931,7.960939001350198e-07,3.307553342324354e-08
1932,8.986820034806442e-07,1.6439305028370654e-08
1933,7.260929351105005e-07,2.408838994938378e-08
1934,7.033187330307555e-07,2.875579241390369e-08
1935,8.270084208561457e-07,3.351119559624749e-08
1936,7.032334679024643e-07,2.7886843056990074e-08
1937,6.660701501459698e-07,1.76275650742852e-08
1938,6.638189802288252e-07,9.075650453382877e-09
1939,6.652911679339013e-07,1.3764645423464117e-08
1940,6.263383625082497e-07,2.2822046474857416e-08
1941,6.640880769737123e-07,1.1806010391524069e-08
1942,7.100055654518656e-07,1.2136847082899749e-08
1943,8.593576126258995e-07,8.709705845433291e-09
1944,7.165405122577795e-07,1.2852744646352221e-08
1945,7.276203746187093e-07,1.9606536838523425e-08
1946,8.129924822242174e-07,2.9234318077442367e-08
1947,8.213480100494053e-07,2.3841742802233057e-08
1948,7.860375035306788e-07,2.174377655705939e-08
1949,6.047276883691666e-07,1.1780409536754632e-08
1950,6.753454613317444e-07,2.1270722072586068e-08
1951,7.388351264125959e-07,2.7719645245838365e-08
1952,6.474509746112744e-07,2.5307528517259925e-08
1953,6.194950969984347e-07,2.0470272588113403e-08
1954,7.055771220620954e-07,1.5636057781875934e-08
1955,8.02469457994448e-07,3.003394510869839e-08
1956,7.439134037667827e-07,2.52913103793162e-08
1957,6.529093070639647e-07,1.3252556385623393e-08
1958,6.932140195203829e-07,2.3162280982091943e-08
1959,7.556978971479111e-07,2.0927018340444192e-08
1960,6.650921022810508e-07,1.868625076895114e-08
1961,8.143242666847073e-07,2.709782087606527e-08
1962,7.50887636513653e-07,2.8538803320543593e-08
1963,6.976871418373776e-07,9.052474325699222e-09
1964,7.671883963666914e-07,2.798625509115027e-08
1965,7.77030152221414e-07,2.0246559984116175e-08
1966,6.990312613197602e-07,2.6033650901702288e-08
1967,8.006865073184599e-07,1.627010703941778e-08
1968,8.349542213181849e-07,2.7397636159776084e-08
1969,6.903471785335569e-07,1.9529558414888015e-08
1970,7.302775202333578e-07,2.2533752641606952e-08
1971,7.661350878152007e-07,2.209510974182649e-08
1972,6.91030777488777e-07,1.7955514408640738e-08
1973,6.103116447775392e-07,1.984753300598996e-08
1974,6.036238460183085e-07,1.8001829471536723e-08
1975,5.620096317215939e-07,1.3707552426467373e-08
1976,6.2791662003292e-07,1.656922776760439e-08
1977,5.524174753190891e-07,1.23412418062685e-08
1978,6.261383305172785e-07,1.2475241506493262e-08
1979,6.162127874631551e-07,1.404473604083023e-08
1980,6.179758997859608e-07,1.1370301145063877e-08
1981,5.503227953340684e-07,1.2018544381930951e-08
1982,6.257162112888182e-07,1.3035754364842944e-08
1983,6.22690151885763e-07,1.326216381158929e-08
1984,6.41950236968114e-07,1.333771937339634e-08
1985,5.726811309614277e-07,2.045289804186723e-08
1986,6.3661434523965e-07,1.3187867686781374e-08
1987,6.178036073833937e-07,1.5277041853778428e-08
1988,5.744698796661396e-07,1.199310784016916e-08
1989,5.499098278960446e-07,9.878619700032232e-09
1990,5.421407536232437e-07,8.717841559757744e-09
1991,5.785266239399789e-07,1.2895223555631219e-08
1992,5.498924338098732e-07,1.9284804086971974e-08
1993,6.508568617391575e-07,1.0524494165053966e-08
1994,5.76021989218134e-07,1.002236071911966e-08
1995,5.991807938698912e-07,1.626735190995987e-08
1996,5.22065420227591e-07,1.3345230698291743e-08
1997,5.159306510904571e-07,1.822059936262832e-08
1998,5.626392294288962e-07,8.582632937681467e-09
1999,5.630487862617883e-07,1.462464363499727e-08
2000,5.8936541336152e-07,1.4579503826439577e-08
2001,5.607951152342139e-07,1.1829271423513532e-08
2002,5.699969278794015e-07,1.7086763115514714e-08
2003,5.312826942827087e-07,1.583430631058036e-08
2004,5.351821528165601e-07,1.4976290263479797e-08
2005,5.143281782693521e-07,1.1259373877692269e-08
2006,5.75680985548388e-07,1.647156044892739e-08
2007,6.175465045998862e-07,9.986198368228116e-09
2008,6.130713359198126e-07,1.2772319202269955e-08
2009,6.408450872186222e-07,8.105927484791664e-09
2010,6.632205327150587e-07,1.1337103700270745e-08
2011,7.104939641067176e-07,1.1089518636708817e-08
2012,8.187227535927377e-07,1.2936160587173617e-08
2013,7.988053880580992e-07,1.25510625226255e-08
2014,9.177156812256726e-07,1.3425760059249114e-08
2015,8.81310370459687e-07,2.0392493027543424e-08
2016,9.312744850831223e-07,1.5535050579273957e-08
2017,7.800910566402308e-07,1.3584300795344006e-08
2018,8.88282670530316e-07,1.2132893800753664e-08
2019,8.41060682432726e-07,2.0407902645569465e-08
