year,trop_ADV avoir_VERB,trop_ADV savoir_VERB
1800,7.545995117652637e-08,4.08741385626854e-07
1801,1.7144515140898875e-07,4.2385050846860395e-07
1802,6.937304419807333e-08,3.871463434279576e-07
1803,1.1507001573818343e-07,3.666637837795861e-07
1804,1.4336735887354735e-07,2.768473166270269e-07
1805,1.194008660831969e-07,4.2358877294645936e-07
1806,1.181484350354367e-07,3.486819650788675e-07
1807,4.555128185756985e-08,2.6476683956389024e-07
1808,9.970725756147658e-08,2.8552531716741214e-07
1809,8.132509776714869e-08,2.936739633696561e-07
1810,1.0062544930633521e-07,2.1295153374012443e-07
1811,5.515568801683912e-08,2.7577843297876825e-07
1812,7.20146218213813e-08,2.640536251874437e-07
1813,3.738464116054274e-08,3.0195286626621964e-07
1814,3.4613449884091096e-08,2.800542517888971e-07
1815,4.045835311217161e-08,3.560334960184264e-07
1816,9.965696534663948e-08,2.2944279010062019e-07
1817,1.214361304846534e-07,3.752064969830826e-07
1818,8.702459552978326e-08,4.3750719669333193e-07
1819,8.384350280721264e-08,2.9396983336482663e-07
1820,1.1273156985680544e-07,2.8242226335351006e-07
1821,8.57949515875589e-08,4.4968385282118106e-07
1822,8.622029668003961e-08,4.641860300580447e-07
1823,1.363810753218786e-07,4.2199073391202546e-07
1824,1.2463246434890607e-07,2.9052839067844616e-07
1825,1.1006803646296248e-07,2.9234070098027587e-07
1826,1.109806007093539e-07,3.2413382200502383e-07
1827,1.0046827725318508e-07,2.8665718332376855e-07
1828,1.3758452155343548e-07,3.43961289672734e-07
1829,1.0973665354185869e-07,3.42927052088271e-07
1830,1.0854309095975623e-07,4.529586874468805e-07
1831,6.860130952190957e-08,3.866619238124258e-07
1832,8.253281436054749e-08,5.033148795519082e-07
1833,4.865124125785769e-08,4.506031530127075e-07
1834,5.0406466556296436e-08,3.967175530306122e-07
1835,7.714349692378164e-08,3.494146767479833e-07
1836,8.333729795140243e-08,3.8644313349323056e-07
1837,9.393152566872232e-08,3.638976977526909e-07
1838,8.0164454629994e-08,4.0776566834210826e-07
1839,6.711816524784808e-08,4.131961759412661e-07
1840,5.923810419972142e-08,3.6116134083385987e-07
