year,trop_ADV avant_ADP,trop_ADV savant_ADJ
1800,2.263798393187244e-07,5.345079756580162e-08
1801,3.357467335263209e-07,1.4287095950749062e-08
1802,3.513409012612101e-07,7.608656460433849e-08
1803,3.1400460898112215e-07,6.631153581793114e-08
1804,3.238124861582037e-07,1.0134588990240445e-07
1805,3.0703080255989335e-07,1.194008660831969e-07
1806,3.7749865100522584e-07,9.797675204481493e-08
1807,2.8469551693888207e-07,5.97860605466849e-08
1808,3.7390219631561195e-07,4.985362878073829e-08
1809,3.230413767596474e-07,3.6144488291256494e-08
1810,3.3463811632827856e-07,4.914266327205041e-08
1811,2.807925909564801e-07,5.0141537144554604e-08
1812,2.533847691665869e-07,2.9339290108509886e-08
1813,3.968523571984406e-07,2.300593315851529e-08
1814,2.7061423679697327e-07,1.2586708386663759e-07
1815,2.6163067445850174e-07,6.203614288935455e-08
1816,3.267821568897489e-07,3.0128852301913867e-08
1817,3.6897898780807736e-07,6.383181272440197e-08
1818,3.171033142734814e-07,4.410835785506606e-08
1819,4.1300688735645963e-07,1.1179133707628353e-07
1820,3.38194723781271e-07,7.475883023744245e-08
1821,4.053071620546689e-07,8.57949515875589e-08
1822,3.8899389664948103e-07,2.606660132187244e-08
1823,4.970991653863166e-07,8.004976592701496e-08
1824,5.027404199609009e-07,8.926379280183028e-08
1825,5.212822316025267e-07,6.427973175959778e-08
1826,4.183792441381229e-07,5.549030035467695e-08
1827,3.603953757647105e-07,5.530363722527909e-08
1828,2.549899704717973e-07,7.796455969710792e-08
1829,2.863440897726832e-07,9.687688679038686e-08
1830,3.3084768347180216e-07,5.322786433836768e-08
1831,2.401045833266835e-07,1.0134284078588962e-07
1832,3.1524828614237776e-07,1.0012177242835207e-07
1833,2.4325620984200214e-07,7.29768601104297e-08
1834,1.8482371899608552e-07,7.46762456316219e-08
1835,4.4092803364037536e-07,9.832014313815307e-08
1836,4.0526123257222935e-07,6.653542888868103e-08
1837,3.7850927014915214e-07,4.17473438041327e-08
1838,3.9072281765584194e-07,6.249040040984255e-08
1839,3.6775159628632537e-07,3.0063342926212044e-08
1840,3.3568258572813647e-07,1.1083258044664035e-07
1841,3.216694892671512e-07,8.475124246842825e-08
1842,2.6229315608361503e-07,6.574099842282521e-08
1843,3.242894308641553e-07,4.8436671562512856e-08
1844,3.331556683860981e-07,6.092302839988406e-08
1845,3.5936668041358644e-07,6.696273335826675e-08
1846,3.2726663334869954e-07,9.07447699205477e-08
1847,3.397730949927791e-07,7.820174374728595e-08
1848,2.622742272251344e-07,8.447483018647617e-08
1849,2.2959596890359535e-07,9.971503800443315e-08
1850,2.668075467227027e-07,3.93761752093269e-08
1851,2.792606892398908e-07,5.48202283567889e-08
1852,3.0143826279527275e-07,9.896029418143826e-08
