year,trop_ADV eu_VERB,trop_ADV su_VERB
1800,3.144164395507687e-08,1.477757365364596e-07
1801,3.095537337571841e-08,1.2382149350287364e-07
1802,1.3427040812530322e-08,8.280008501060365e-08
1803,2.5354410126965377e-08,1.5992782209650613e-07
1804,1.4831105232815389e-08,2.3235398316501232e-07
1805,6.822906328807221e-08,5.685755510853596e-08
1806,3.458002950651462e-08,1.3543845511776453e-07
1807,1.7081731584767113e-08,1.1387820109121094e-07
1808,2.2660739062985158e-08,9.517511045942229e-08
1809,8.584316191218022e-08,7.228897658251299e-08
1810,2.106114038724627e-08,8.658469141664682e-08
1811,4.262030373070047e-08,4.011322829455821e-08
1812,6.934741492159446e-08,9.335229123053068e-08
1813,3.4508900625951355e-08,1.4666282766029326e-07
1814,3.1466772298927026e-08,1.1642705288750221e-07
1815,2.966945977789237e-08,4.045835311217161e-08
1816,3.244645441213834e-08,4.1716869958463576e-08
1817,5.60474440192138e-08,1.8371106591530406e-07
1818,1.1921176934492905e-08,1.3947777688372298e-07
1819,5.175525075173937e-08,1.2938812687934842e-07
1820,5.102586797534059e-08,1.6731738128328288e-07
1821,2.070912508145284e-08,1.065040748926549e-07
1822,2.3058916553964082e-08,1.1328945959121484e-07
1823,2.8659792761231984e-08,8.20263039713609e-08
1824,1.2631669044083083e-08,1.658959263295401e-07
1825,2.1133063299316746e-08,1.0478477463493618e-07
1826,2.4662355713189754e-08,9.512623222462935e-08
1827,1.3825909306319772e-08,6.728609491801762e-08
1828,1.0089530988466322e-08,8.163348041989593e-08
1829,1.800366966620004e-08,1.0373543091191095e-07
1830,2.2961039292113128e-08,1.356788601469816e-07
1831,2.0268567268999504e-08,1.091384405071949e-07
1832,2.0294953273491956e-08,8.794479811058409e-08
1833,1.50587169400751e-08,5.6759780875381693e-08
1834,1.213489042584115e-08,5.787409307345115e-08
1835,2.7983425354705105e-08,4.9916380362446944e-08
1836,3.024337402735e-08,3.5619976301859424e-08
1837,1.1132625488130543e-08,2.852735292435682e-08
1838,1.830527018853445e-08,4.1660268124132926e-08
1839,1.957613093850341e-08,3.985140750728533e-08
1840,5.732719632334238e-09,3.567025785855549e-08
1841,1.6051371787284552e-08,2.6966304744746594e-08
1842,1.609983613093391e-08,2.4149754196400863e-08
1843,3.0125246297529884e-08,4.784597962270709e-08
1844,1.0977122322231025e-08,4.9945906965831455e-08
1845,2.0088821273134272e-08,5.5802278353667134e-08
1846,8.781752214304106e-09,4.9177810268474786e-08
1847,1.5640349459999925e-08,2.9662729161827883e-08
1848,2.252662056889676e-08,3.218088551193432e-08
1849,1.1731181359664333e-08,2.3462362719328667e-08
1850,2.0366988096043315e-08,1.3577992064028876e-08
1851,2.3217978650791338e-08,3.998652076120379e-08
1852,1.7578472011337e-08,3.971432604998881e-08
1853,1.2541057081705276e-08,2.6276499198729653e-08
1854,2.4419623656513068e-08,3.4810952342922974e-08
1855,2.865746040470185e-08,5.678422709820552e-08
1856,1.7084724746041502e-08,4.34883880018333e-08
1857,1.4156376515472857e-08,3.8075771868761876e-08
1858,1.0766087576996597e-08,5.334106845111819e-08
1859,2.036869339860914e-08,4.53203412575931e-08
1860,2.242820151820979e-08,6.133426211363258e-08
1861,2.87673795895671e-08,5.8006353498285534e-08
1862,1.9427341513278407e-08,7.816116465164669e-08
1863,1.2486552236623538e-08,4.4452125536054155e-08
1864,3.5001512799226475e-08,3.1165733105353866e-08
1865,1.694463946932956e-08,3.859612363044107e-08
1866,2.0435575009969398e-08,3.3572728597164314e-08
1867,1.067618526917613e-08,3.299911810472622e-08
1868,4.44588676984381e-09,3.556709415875048e-08
1869,1.8557372527538973e-08,3.027781758646597e-08
1870,2.8096838633473453e-08,2.8096838633473453e-08
1871,1.1683295220166201e-08,2.7615060460561835e-08
1872,1.814201766592305e-08,3.809823923006661e-08
1873,3.292302608315367e-08,4.3697831131339626e-08
1874,1.4936523129449597e-08,3.823749850084823e-08
1875,3.032409523484603e-08,2.0025344937835143e-08
1876,1.934724735974669e-08,1.9951848173604958e-08
1877,2.3502300550148902e-08,7.421779457672528e-08
1878,3.32149880932775e-08,2.0532901601200138e-08
1879,2.1993571408529533e-08,3.9710613464194466e-08
1880,8.343199908722454e-09,5.0700986520269e-08
1881,1.324776466304911e-08,7.181682804002776e-08
1882,9.317538740560849e-09,4.1263387373646765e-08
1883,1.9589950994713945e-08,2.6541224329434954e-08
1884,1.4523733327109767e-08,2.0465261485469455e-08
1885,7.090199094506033e-09,1.353583467533781e-08
1886,1.2906927970846027e-08,3.033127882190456e-08
1887,1.3057849024278312e-08,2.0892558794116667e-08
1888,1.9021843655764314e-08,3.9945874164004636e-08
1889,2.6313573542324775e-08,4.0723389105323804e-08
1890,1.3764211992395303e-08,1.6385966361553983e-08
1891,1.9122660788184476e-08,2.42220359325529e-08
1892,1.4417578242387208e-08,2.382034658410248e-08
1893,1.847524977449666e-08,1.9091091374434654e-08
1894,7.561847148451761e-09,1.7014155417882648e-08
1895,1.023164486468886e-08,1.745398137131815e-08
1896,2.1229304536518612e-08,3.2433661090180976e-08
1897,1.1070755867592652e-08,8.157399200570126e-09
1898,1.5277558773618694e-08,2.2633418694795182e-08
1899,6.080336234504102e-09,1.8241008703512307e-08
1900,7.786579381274805e-09,1.764958135197503e-08
1901,1.4530721514915967e-08,1.2295225282343836e-08
1902,9.820567470342212e-09,1.6694965410124496e-08
1903,1.6200660368781428e-08,1.7280704867062013e-08
1904,2.3110889202371254e-08,1.3436562973367927e-08
1905,8.257214467732865e-09,2.4255568220610257e-08
1906,9.773950537805831e-09,3.7038127231880935e-08
1907,1.0285686968813934e-08,2.5714216533856415e-08
1908,9.822778146428846e-09,2.8486056180554442e-08
