year,beaucoup_ADV avoir_VERB,beaucoup_ADV savoir_VERB
1800,1.2576657937302116e-08,4.7162465932615305e-08
1801,9.048493865293494e-08,2.3811825400343878e-08
1802,3.1329761895904085e-08,1.3427040812530322e-08
1803,2.145373123596528e-08,1.950339223455444e-09
1804,1.9774807569206132e-08,4.69651695311768e-08
1805,1.9900143755080535e-08,1.421438877713399e-08
1806,4.034336598124355e-08,0.0
1807,5.693910232196231e-09,5.693910232196231e-09
1808,3.852325747288887e-08,1.8128591960930862e-08
1809,7.228897658251299e-08,4.0662548883574345e-08
1810,2.3401266702194334e-08,1.8721014072298203e-08
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,4.5342538612658245e-08,5.601137331723294e-08
1813,0.0,4.888760685162197e-08
1814,3.1466772298927026e-08,7.866692897096073e-08
1815,2.697223555614414e-09,1.8880564667256294e-08
1816,4.4034472068688046e-08,2.0858434979231788e-08
1817,1.71256075987003e-08,3.580808893843823e-08
1818,2.98029441125891e-08,4.530047448270125e-08
1819,2.3807414706311647e-08,2.6912729822470283e-08
1820,9.493184904840746e-09,6.40789963313182e-08
1821,1.2819934447350079e-08,1.8736827200882544e-08
1822,3.208197085768916e-08,3.107940926838637e-08
1823,1.7788837070042973e-08,3.261286707356703e-08
1824,1.9368560089105813e-08,2.6105450245950124e-08
1825,4.3146670236637874e-08,1.2327619813845558e-08
1826,6.1655889282974385e-09,3.170874407487645e-08
1827,1.013900075008678e-08,1.935627302884768e-08
1828,6.420610709767516e-09,7.337841001486822e-09
1829,2.1432940755516938e-08,3.6864655328372464e-08
1830,1.5655253093882493e-08,2.922314124020886e-08
1831,1.870944643656003e-08,1.870944643656003e-08
1832,1.0823975493678972e-08,4.058990654698391e-08
1833,3.4750886612755494e-08,4.054269808762001e-08
1834,3.173740381612333e-08,2.240287422239362e-08
1835,2.0420337421001022e-08,3.7059130875150004e-08
1836,2.352262562510532e-08,3.091545153210973e-08
1837,2.7135774516295896e-08,2.5744196108234974e-08
1838,2.651107955387033e-08,2.5879863585487328e-08
1839,1.0487212875887053e-08,2.866504900111977e-08
1840,1.7198159341091923e-08,3.885510224677091e-08
1841,1.0914932957462042e-08,2.8892468861840825e-08
1842,2.0795621225033756e-08,4.360372241052346e-08
1843,1.063243981747064e-08,3.9576303123567413e-08
1844,2.305195678786731e-08,4.061535463506516e-08
1845,1.897277535078956e-08,3.124927516751086e-08
1846,4.6836010625384006e-09,3.2785209214125643e-08
1847,1.1325769655456952e-08,1.6718992412734224e-08
1848,9.65426583121598e-09,3.057184372323718e-08
1849,2.76520690789539e-08,2.76520690789539e-08
1850,2.2403686017469226e-08,1.2220192857625989e-08
1851,1.5478653025979838e-08,1.8058428752354416e-08
1852,1.5625309046640723e-08,4.231854577874117e-08
1853,3.822036376277538e-08,2.3887727129690006e-08
1854,1.558699302961486e-08,3.4291385730966795e-08
1855,3.555647865027822e-08,3.6087172361476405e-08
1856,4.193523395201737e-08,2.174419400091665e-08
1857,2.880090299584026e-08,2.4895696282278834e-08
1858,4.991549573674092e-08,4.7958025772842916e-08
1859,2.2405561850291633e-08,4.3283474582267445e-08
1860,2.3801355553132453e-08,2.4259074304922024e-08
1861,2.263662679524714e-08,3.254015012998934e-08
1862,2.4397126097142063e-08,5.6926627078901504e-08
1863,3.9457503930862003e-08,5.0445671029297756e-08
1864,2.349416661218129e-08,3.931676761936842e-08
1865,4.8009813014004976e-08,2.871175075469523e-08
1866,2.3354942868536455e-08,3.211304583361496e-08
1867,3.105799351033056e-08,2.814630661873707e-08
1868,2.766329387782207e-08,2.8651268690893517e-08
1869,2.8812763730456936e-08,2.2464187621196174e-08
1870,2.121598008386627e-08,4.0138340207107603e-08
1871,2.8677177965619194e-08,2.4428708167434365e-08
1872,2.7213026498884574e-08,1.9351485636143195e-08
1873,1.1373408881354408e-08,2.9331422624068182e-08
1874,2.3898437007119355e-08,4.480956805608116e-08
1875,2.2313955128083762e-08,1.7736734747586524e-08
1876,1.269663130187837e-08,2.6602465563740907e-08
1877,1.0514186854493346e-08,3.030559803107735e-08
1878,2.2344627481629686e-08,5.4351798062235446e-09
1879,2.2604503158163425e-08,2.993569481191116e-08
1880,3.0805662021293756e-08,1.6686400927667933e-08
1881,3.974329487732575e-08,3.13762856807287e-08
1882,2.5956001792337702e-08,2.0631693686823382e-08
1883,1.3270612164717477e-08,1.579834751908038e-08
1884,1.9144920315739e-08,2.6406788755650723e-08
1885,2.5782542323327107e-08,2.4493415295978593e-08
1886,2.5168509054651622e-08,2.839524149145234e-08
1887,1.828098916689669e-08,1.1099172025907933e-08
1888,1.9021843655764314e-08,2.3460273723685532e-08
1889,1.1903759755682586e-08,3.1325683103045066e-08
1890,2.8839300725280737e-08,3.9326319978272295e-08
1891,1.9122660788184476e-08,3.505821055682645e-08
1892,2.4447198043731078e-08,1.4417578242387208e-08
1893,1.7859408174558666e-08,1.1700991287000306e-08
1894,2.7096618282484997e-08,3.276800342177921e-08
1895,2.2268872967856623e-08,3.1296795377500075e-08
1896,1.9460195233023114e-08,3.597187830939319e-08
1897,2.6220211779559577e-08,3.437761009195128e-08
1898,2.2633418694795182e-08,2.3765091228256097e-08
1899,1.5477219506010442e-08,3.040167939616367e-08
1900,2.595526638060619e-08,2.699347589896206e-08
1901,3.129693837422565e-08,1.620734302321125e-08
1902,1.5221880644844532e-08,1.276673788908056e-08
1903,1.7820726228023887e-08,1.944079275340016e-08
1904,2.042357571951925e-08,1.7198800605910947e-08
1905,1.0837593933388234e-08,1.8062657147766004e-08
1906,1.8519063615940468e-08,2.3148829519925584e-08
1907,1.491424583832668e-08,1.902852098112362e-08
1908,2.2101250607420297e-08,1.8663278922304016e-08
1909,1.8153246017504898e-08,2.53045246978445e-08
1910,1.6566866989364826e-08,1.9238942883248455e-08
1911,2.181353409014264e-08,1.3832972989291648e-08
1912,3.125652625612929e-08,1.8753915753677575e-08
1913,1.484837142129436e-08,1.6969567084856862e-08
1914,1.808120764223986e-08,8.036092680185902e-09
1915,1.6493066468115103e-08,2.3561523843085297e-09
1916,1.7579939282086343e-08,3.955486249651585e-08
1917,1.315970976634162e-08,1.5352993543160665e-08
1918,2.756730310693456e-08,1.4932290071101306e-08
1919,3.775218004875569e-08,1.1970202606903513e-08
1920,2.6502810612782923e-08,9.843901693784574e-09
1921,2.8019165654313838e-08,1.7417319808643583e-08
1922,1.4018077365562931e-08,1.549366501762961e-08
1923,1.4862327368803108e-08,1.6985516992917837e-08
1924,2.4494086758863887e-08,1.804827398643738e-08
1925,2.0896537833436923e-08,1.6497267552040284e-08
1926,1.7833821530643945e-08,1.0031524944054127e-08
1927,2.8987985345452216e-08,1.2264147475349318e-08
1928,1.82816659588525e-08,1.5996457491951332e-08
1929,2.4508894469477127e-08,1.5596569369336066e-08
