year,trop_ADV aider_VERB,trop_ADV céder_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,1.904946067554647e-08
1802,2.2378401354217203e-08,6.713520406265161e-09
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,4.518061036407062e-09
1810,0.0,4.680253518074551e-09
1811,0.0,1.0028307073639553e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,2.2026739543434815e-08
1815,2.697223555614414e-09,4.315557688983063e-08
1816,0.0,3.9399267848239106e-08
1817,0.0,2.1796227045456362e-08
1818,0.0,1.9073883805731384e-08
1819,0.0,5.175524897538253e-09
1820,1.1866481131050932e-09,3.5599443393152796e-09
1821,0.0,8.875339574387908e-09
1822,0.0,1.0025615893027862e-08
1823,0.0,8.894418535021487e-09
1824,0.0,7.57900142644985e-09
1825,0.0,4.4027217427355936e-09
1826,2.025836387531399e-08,6.1655889282974385e-09
1827,0.0,1.8434546111834038e-09
1828,0.0,3.668920500743411e-09
1829,1.714635211591542e-09,1.714635211591542e-09
1830,0.0,1.0436835395921662e-08
1831,0.0,3.1182412207897414e-09
1832,0.0,1.2176972319366541e-08
1833,0.0,1.2741991461950875e-08
1834,9.334530925997342e-10,2.8003592777992026e-09
1835,0.0,1.0588323107185715e-08
1836,0.0,1.4113575197427508e-08
1837,7.653680356156656e-09,1.0436836284100082e-08
1838,0.0,1.2624323808552163e-09
1839,0.0,3.4957374772659477e-09
1840,0.0,2.229391071750797e-08
1841,6.420548537278137e-10,1.7977535904378783e-08
1842,0.0,1.8783142152756227e-08
1843,1.7720733769266417e-09,7.088293507706567e-09
1844,0.0,8.232841963717874e-09
1845,4.464182357111213e-09,1.674068350610014e-08
1846,4.6836010625384006e-09,1.9319854160926297e-08
1847,2.6966118227278457e-09,2.0494249852731627e-08
1848,8.045221711050488e-10,3.700802153616678e-08
1849,8.379414939696517e-10,5.865590679832167e-09
1850,3.394498016007219e-09,9.504594444820214e-09
1851,1.9348316282474798e-09,4.837079004005318e-08
1852,0.0,1.4974254725075298e-08
1853,5.3747388761848924e-09,7.166318205520383e-09
1854,2.0782657816909023e-09,1.2469595134234623e-08
1855,1.0613874223963649e-09,1.2205955357558196e-08
1856,0.0,1.1907535402144731e-08
1857,1.9526036343364694e-09,1.1715622250108026e-08
1858,9.787352039936081e-10,2.2510910469009104e-08
1859,5.092173349652285e-10,1.2221216039165483e-08
1860,0.0,1.5562426014525954e-08
1861,2.357981809808507e-09,3.159695793897299e-08
1862,4.517986262886353e-10,1.8071945717679228e-08
1863,4.994620828036034e-10,1.3485475847119233e-08
1864,9.589455896019672e-10,1.3904711160250827e-08
1865,0.0,1.9298061815220535e-08
1866,4.865612912574591e-10,1.1677471434268227e-08
1867,2.426405742994575e-09,3.299911810472622e-08
1868,5.433861360870651e-09,2.420538258718352e-08
1869,0.0,1.7580669364747337e-08
1870,6.307453670473251e-09,1.77755516972411e-08
1871,1.0621177271019633e-09,4.248470908407853e-09
1872,0.0,3.084143074261192e-08
1873,0.0,1.5563610844537834e-08
1874,0.0,2.9275584623178474e-08
1875,2.2886108563824337e-09,3.833423178889461e-08
1876,1.813804439976252e-09,3.02300739996042e-09
1877,6.184815992682502e-10,1.9172929910382663e-08
1878,0.0,9.662541877730746e-09
1879,0.0,2.871382953628654e-08
1880,0.0,1.0268554007097919e-08
1881,1.3945015142624584e-09,2.5101027034679646e-08
1882,6.655385131892899e-09,1.8635077481121698e-08
1883,6.319338941018771e-10,9.479008689083912e-09
1884,0.0,1.5183903911974994e-08
1885,0.0,4.1252068427866107e-08
1886,2.5813855497602844e-09,1.8069698626277386e-08
1887,0.0,2.6115698492645834e-09
1888,5.706553452000662e-09,8.876860135842435e-09
1889,5.6386229019267375e-09,3.759081934617825e-09
1890,6.554386478008212e-10,2.0974036729626278e-08
1891,5.099376032546843e-09,2.358461337337303e-08
1892,5.014809900671935e-09,1.3790726782758611e-08
1893,0.0,1.1700991287000306e-08
1894,1.2603078580752936e-09,1.5123694296903523e-08
1895,6.018614495673091e-10,1.8055843042930064e-08
1896,1.7691086373616827e-09,2.5357223876198987e-08
1897,2.330685422435863e-09,8.157399200570126e-09
1898,5.6583548957434e-10,1.13167097914868e-09
1899,3.3165470370022376e-09,1.326618814800895e-08
1900,6.22926377147337e-09,9.34389543516545e-09
1901,2.794369402536745e-09,3.912117296778206e-09
1902,1.4730852093691738e-09,9.820567470342212e-09
1903,5.400220270956879e-10,7.020286574288548e-09
1904,2.1498500757388683e-09,1.6123875568041512e-08
1905,3.6125313851442797e-09,1.1353670004154992e-08
1906,5.144184522798412e-10,1.2860461140462576e-08
1907,1.028568674676933e-09,1.7485668024619372e-08
1908,9.822778146428846e-10,1.276961114626829e-08
1909,1.1001967115120692e-09,1.320236009405562e-08
1910,3.740905363258662e-09,1.068830179917768e-08
