year,beaucoup_ADV en_ADP,beaucoup_ADV sans_ADP
1800,3.4805900668288814e-06,4.401830153710762e-07
1801,3.1907845823297976e-06,3.286031926563737e-07
1802,3.3410954074497567e-06,2.774921767922933e-07
1803,3.7056445307825925e-06,3.491107349873346e-07
1804,2.840156639649649e-06,3.831368928786105e-07
1805,3.1214797218126478e-06,5.25932364325854e-07
1806,2.2131218884169357e-06,3.630903142592956e-07
1807,2.209237209171988e-06,3.387876668092815e-07
1808,2.6717011678556446e-06,2.1527702642742952e-07
1809,3.5805633160634898e-06,3.727400326170027e-07
1810,2.237161197626847e-06,2.1295153063149996e-07
1811,2.4393857529503293e-06,3.560049037787394e-07
1812,2.307135218870826e-06,2.1337666566978442e-07
1813,2.3379780031973496e-06,3.278345559465379e-07
1814,2.101980271618231e-06,2.0453401816666883e-07
1815,1.777470288288896e-06,2.88602933551374e-07
1816,2.5516819732729346e-06,3.1055893146003655e-07
1817,3.2040454698289977e-06,3.829908621355571e-07
1818,2.5487477159913396e-06,2.1815755246734625e-07
1819,2.0225952539476566e-06,4.399196177340414e-07
1820,2.341256731597241e-06,3.643009733877989e-07
1821,2.393383283560979e-06,2.8598316470507257e-07
1822,2.447252882120665e-06,3.1480433904107485e-07
1823,2.816565711327712e-06,3.59729793508734e-07
1824,2.629071332194144e-06,3.494761857680828e-07
1825,2.5747115159902023e-06,2.8353526881907953e-07
1826,2.244274355689413e-06,3.2941860350632624e-07
1827,2.0637473880924517e-06,2.8573547855570425e-07
1828,2.271978928547469e-06,3.42126838859258e-07
1829,2.277035491715651e-06,3.712185203674778e-07
1830,2.414040181974997e-06,3.799008354565814e-07
1831,1.9379870082048e-06,3.4612477861628577e-07
1832,2.278446800119127e-06,4.086050893192805e-07
1833,2.310933950866456e-06,4.239607971356918e-07
1834,2.0395950741658453e-06,3.3417620337594656e-07
1835,2.5820381779340096e-06,3.426078762913676e-07
1836,2.291775672347285e-06,3.225960103492298e-07
1837,2.4415239749941975e-06,3.3397876730845155e-07
1838,2.4005150862649316e-06,2.9162188441844705e-07
1839,2.4589019176346483e-06,3.076249202038639e-07
1840,2.1548655695369234e-06,3.6179832241245435e-07
