year,beaucoup_ADV aider_VERB,beaucoup_ADV céder_VERB
1800,1.2576657937302116e-08,0.0
1801,2.8574191901498125e-08,4.7623651688866175e-09
1802,2.2378401354217203e-08,0.0
1803,7.801356893821776e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,2.842877711017877e-09,0.0
1806,3.7461699520235925e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,4.758755522971114e-08,0.0
1809,0.0,0.0
1810,1.6380887757350138e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,0.0,0.0
1813,2.0130190847567064e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,8.091670444798638e-09,0.0
1816,3.244645441213834e-08,0.0
1817,2.1796227045456362e-08,1.0898113522728181e-08
1818,2.98029441125891e-08,2.026600220972341e-08
1819,2.6912729822470283e-08,2.070210003424222e-09
1820,1.0679833017945839e-08,2.0173018810965004e-08
1821,3.254291058851777e-08,4.930744257336528e-09
1822,9.524335098376469e-08,6.015369535816717e-09
1823,6.81905376609393e-08,9.882686891060644e-10
1824,4.8000341479337294e-08,1.3473780313688621e-08
1825,6.868245350233337e-08,1.1447076175841175e-08
1826,4.1397527184017235e-08,7.927186018719112e-09
1827,1.7512819638909605e-08,1.1060727445055818e-08
1828,8.255071293206129e-09,2.7516904310687096e-09
1829,4.2865881511033876e-08,2.571952872898464e-09
1830,1.7742621594152297e-08,0.0
1831,7.795603274018958e-09,6.236482441579483e-09
1832,4.058990921151917e-09,1.6235963684607668e-08
1833,9.266902800675325e-09,1.2741991461950875e-08
1834,2.8937046536725575e-08,4.667265685043276e-09
1835,9.075705520444899e-09,4.5378527602224494e-09
1836,2.083432448785061e-08,7.392825018825988e-09
1837,5.0096815584765864e-08,6.957891152126194e-09
1838,4.039783618736692e-08,5.680945491803868e-09
1839,2.027527834513876e-08,1.11863602825224e-08
1840,1.2102408852854296e-08,1.7198159341091923e-08
1841,1.3483152372373297e-08,1.0914932957462042e-08
1842,2.817471411731276e-08,8.720745015011744e-09
1843,2.539971788451112e-08,6.497602011990011e-09
1844,3.622450606144412e-08,4.390849017710252e-09
1845,2.2320911341466854e-08,2.3436957263811564e-08
1846,8.196302303531411e-09,1.5221703009160592e-08
1847,7.011190739092399e-09,2.426950729272903e-08
1848,8.04522137798358e-09,8.045221711050488e-10
1849,8.379414495607307e-09,0.0
1850,2.987158254086353e-08,7.467895635215882e-09
1851,1.805842941848823e-08,3.2247193804124663e-09
1852,8.463708844885787e-09,7.161600201754936e-09
1853,2.030456869306363e-08,2.20961471342207e-08
1854,4.1045748133683446e-08,1.1950028522278444e-08
1855,8.491099379170919e-09,2.1227748447927297e-09
1856,1.7602443946884705e-08,2.019103817474388e-08
1857,1.9526035899275485e-08,1.4156376515472857e-08
1858,3.131952652779546e-08,4.893676019968041e-10
1859,2.5970084749360467e-08,1.5276520048956854e-09
1860,1.5104706818647173e-08,9.15436793036406e-09
1861,8.488735048217677e-09,1.1789909493131745e-08
1862,7.680577063240435e-09,2.2589932147099034e-09
1863,1.9978482868054925e-08,9.989241656072068e-10
1864,2.2535221688713136e-08,9.589455896019672e-10
1865,1.6003271596787272e-08,2.8241067262513297e-09
1866,9.244664589402873e-09,9.731225825149181e-10
1867,1.552899675516528e-08,4.85281148598915e-10
1868,8.89177353968762e-09,1.4819622196071691e-09
1869,1.2208797528501236e-08,4.883519144627257e-10
1870,1.3188312664169644e-08,0.0
1871,6.37270636261178e-09,1.0621177271019633e-09
1872,1.6327815544059376e-08,6.047339295989218e-10
1873,7.781805422268917e-09,1.1373408881354408e-08
1874,1.4339061493728877e-08,2.3898436563030145e-09
1875,2.7463329388410784e-08,1.1443054281912168e-09
1876,1.753344314181504e-08,2.418405919968336e-09
1877,2.1646856751544874e-08,3.0924081073635534e-09
1878,1.268208649207736e-08,1.8117265465633636e-09
1879,1.649517855639715e-08,0.0
1880,2.4387816210946767e-08,0.0
1881,1.324776466304911e-08,6.972507571312292e-10
1882,1.7969540522244642e-08,0.0
1883,6.951272890631799e-09,6.319338941018771e-10
1884,6.601696966868076e-09,1.9805090900604227e-09
1885,1.2246707647989297e-08,0.0
1886,1.097088819790315e-08,5.808117542471791e-09
1887,1.2404957061562527e-08,1.9586774424595887e-09
1888,1.014498351992188e-08,0.0
1889,1.1903759755682586e-08,1.2530273485467092e-09
1890,1.9007721618891082e-08,5.898947996740844e-09
1891,1.6572972327821844e-08,1.9122659011827636e-09
1892,1.56712811616444e-08,3.761107425503951e-09
1893,8.621783287310336e-09,0.0
1894,1.5123694296903523e-08,6.301539290376468e-09
1895,4.814891596538473e-09,6.018614495673091e-10
1896,1.4152869098893461e-08,0.0
1897,1.2818770045441852e-08,0.0
1898,1.3014216371232123e-08,0.0
1899,1.7688250864011934e-08,0.0
1900,9.34389543516545e-09,0.0
1901,1.2295225282343836e-08,0.0
1902,2.8479647085077886e-08,3.437198747846537e-09
1903,2.7001101354784396e-09,0.0
1904,3.2247751136083025e-09,0.0
1905,8.773290538499623e-09,5.160759042333041e-10
1906,1.4403716441790948e-08,5.144184522798412e-10
1907,8.742834012309686e-09,1.028568674676933e-09
1908,4.4202499438483756e-09,0.0
1909,5.5009836685826485e-09,1.6502950117569526e-09
1910,2.67207544979442e-09,5.344150677544235e-10
1911,1.1704822888702893e-08,2.6601871816467337e-09
1912,7.814131564032323e-09,5.730363294986773e-09
1913,3.181793939432964e-09,7.42418571064718e-09
1914,6.027069510139427e-09,2.678697486047099e-09
1915,1.4136913861761968e-08,0.0
1916,3.2962386153911893e-09,1.0987462051303964e-09
1917,8.773139548168274e-09,0.0
1918,1.6080926812378493e-08,4.594550517822427e-09
1919,2.762354567309444e-09,7.366278698128781e-09
1920,1.1358347151713133e-08,0.0
1921,1.3630945261411398e-08,7.572747429129834e-10
1922,5.902348387820666e-09,0.0
1923,9.554353752605493e-09,0.0
1924,1.1602462102189293e-08,1.289162443462999e-09
1925,8.798542339150117e-09,3.299453377181294e-09
1926,1.2260752413340015e-08,1.1146138456652466e-09
1927,6.689535148041159e-09,4.4596899506643695e-09
1928,1.0283437212876834e-08,4.570416489713125e-09
1929,1.1140405931087116e-08,0.0
1930,2.3107928015519974e-08,0.0
1931,1.3686427990933225e-08,3.4216069977333063e-09
1932,6.575722188983946e-09,3.287861094491973e-09
1933,2.982372038218273e-08,0.0
1934,1.1981580172459871e-08,1.1981580172459871e-09
1935,2.393656828303392e-09,2.393656828303392e-09
1936,1.4549657478823974e-08,0.0
1937,1.3850230295986421e-08,5.0364472592434595e-09
1938,2.5930429359277696e-08,1.2965214457594243e-09
1939,1.5294050470515685e-08,1.5294050470515685e-09
1940,1.2678914806940611e-08,0.0
1941,8.854508237732261e-09,0.0
1942,2.4273694165799498e-08,0.0
1943,2.322588166236983e-08,1.1612940831184915e-08
1944,1.927911696952833e-08,3.2131861615880553e-09
1945,1.5249527862692958e-08,6.535512131478072e-09
1946,2.227376683094917e-08,4.1763312808029696e-09
1947,7.152522574216391e-09,0.0
1948,5.435944139264848e-09,1.0871887834440486e-09
1949,1.2762110479513922e-08,1.9634016634739737e-09
1950,1.3825969702452312e-08,0.0
1951,1.9190522948520083e-08,3.1984206394497505e-09
1952,3.1634410646574906e-09,0.0
1953,1.1851209791302608e-08,3.232148326759443e-09
1954,1.7590565448699635e-08,6.840775057526116e-09
1955,7.508486277174597e-09,0.0
1956,1.5698054411927842e-08,0.0
1957,1.9437083054185678e-08,0.0
1958,2.0680609225109947e-08,3.3088973783179654e-09
1959,1.3951345856355601e-08,0.0
1960,1.1765417085030094e-08,0.0
1961,1.250668635321972e-08,1.3896318540318475e-09
1962,1.2049716779927166e-08,0.0
1963,1.0992290633282664e-08,3.2330267352165265e-09
1964,1.034274621503073e-08,2.4335873316516654e-09
1965,1.8057743744748223e-08,2.188817349590977e-09
1966,1.8278946356531378e-08,1.1078149508847446e-09
