year,beaucoup_ADV eu_VERB,beaucoup_ADV su_VERB
1800,9.432493897065797e-09,0.0
1801,1.904946067554647e-08,1.6668277424969347e-08
1802,1.5664880947952042e-08,6.713520406265161e-09
1803,1.950339267864365e-08,3.900678446910888e-09
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,1.7057265822018053e-08,2.842877711017877e-09
1806,8.645007376628655e-09,1.729001475325731e-08
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,1.8128591960930862e-08,6.798221985349073e-09
1809,9.036122072814123e-09,6.7770917766551975e-09
1810,1.8721014072298203e-08,9.360507036149102e-09
1811,5.0141535368197765e-09,5.0141535368197765e-09
1812,1.3336041604361526e-08,5.3344164641089264e-09
1813,8.627225156487839e-09,3.4508900625951355e-08
1814,6.293354282149721e-09,6.293354282149721e-09
1815,1.6183340889597275e-08,1.0788894222457657e-08
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,2.1796227045456362e-08,0.0
1818,2.384235386898581e-08,1.1921177378582115e-09
1819,1.449147024601416e-08,2.070210003424222e-09
1820,1.898636980968149e-08,2.3732962262101864e-09
1821,1.1833785507064931e-08,4.930744257336528e-09
1822,2.3058916553964082e-08,2.0051231786055723e-09
1823,1.680056804787e-08,0.0
1824,5.894778887238772e-09,4.210556348027694e-09
1825,2.8177417732422327e-08,8.805443041381977e-10
1826,9.688783109140786e-09,4.403992281964975e-09
1827,6.452091305675367e-09,9.217273055917019e-10
1828,5.503380862137419e-09,1.4675682002973645e-08
1829,1.2002446148073886e-08,6.001223074036943e-09
1830,1.1480519646056564e-08,3.1310507520032616e-09
1831,1.5591206548037917e-08,0.0
1832,2.4353944638733083e-08,1.488296597074168e-08
1833,1.3900354645102198e-08,1.1583628500844156e-09
1834,5.600718555598405e-09,2.8003592777992026e-09
1835,2.0420337421001022e-08,4.5378527602224494e-09
1836,1.4113575197427508e-08,4.704525213838906e-09
1837,1.8090515752078318e-08,4.87052354003481e-09
1838,2.840472923537618e-08,3.1560809521380406e-09
1839,7.690622361167243e-09,4.194885327990505e-09
1840,1.6561189752906103e-08,6.369688665408546e-10
1841,1.219904177673925e-08,5.1364388298225094e-09
1842,1.2745703159566801e-08,6.037438549100216e-09
1843,2.9534556134080958e-08,2.953455480181333e-09
1844,1.2623690537338916e-08,5.488561272137815e-10
1845,1.674068350610014e-08,1.1718478631905782e-08
1846,1.8734404250153602e-08,6.439951683034906e-09
1847,1.5101026207275936e-08,1.4022381478184798e-08
1848,1.448139919091318e-08,9.65426583121598e-09
1849,7.54147322368226e-09,0.0
1850,1.9009188889640427e-08,3.394498016007219e-09
1851,9.674158363282004e-09,1.9348316282474798e-09
1852,1.1067927019325907e-08,4.557382027314816e-09
1853,6.569124799682413e-09,3.5831591027601917e-09
1854,1.2989160858012383e-08,3.117398783558656e-09
1855,2.7065379271107304e-08,1.0083180512765466e-08
1856,1.0354378687793542e-08,6.212626857404757e-09
1857,1.5620829074691756e-08,7.322263684272912e-09
1858,1.2723557318849998e-08,5.872411001917044e-09
1859,4.582956236731661e-09,6.619825576592575e-09
1860,1.0985241161165504e-08,5.034902272882391e-09
1861,1.5091083938045813e-08,6.6023493339173456e-09
1862,1.536115412648087e-08,3.162590411776023e-09
1863,1.1487627737949424e-08,8.990317823531768e-09
1864,1.726102105692462e-08,4.794728170054441e-09
1865,1.0825742080555756e-08,2.8241067262513297e-09
1866,1.751620715140234e-08,2.919367858567057e-09
1867,1.3102591012170706e-08,5.338092634588065e-09
1868,1.3831646938911035e-08,9.87974813071446e-10
1869,1.4162205630441349e-08,1.953407657850903e-09
1870,9.17447806614291e-09,4.587239033071455e-09
1871,7.434824311758348e-09,2.1242354542039266e-09
1872,2.237515595027162e-08,1.9351485747165498e-08
1873,9.577607151811662e-09,8.979006871356887e-09
1874,1.1949218503559678e-08,4.182226565063729e-09
1875,8.010138330405425e-09,0.0
1876,1.0882827083946722e-08,1.1487427897804992e-08
1877,5.566334504436554e-09,4.9478527941460015e-09
1878,1.0870359723469392e-08,5.435179861734696e-09
1879,1.3440515367335593e-08,7.331190321480108e-09
1880,1.0910338410496934e-08,5.776061406947974e-09
1881,7.669758161910067e-09,4.8807553554297556e-09
1882,8.652000893505374e-09,3.9932310791357395e-09
1883,2.464542170343975e-08,6.319338941018771e-10
1884,8.582206056928499e-09,3.300848483434038e-09
1885,9.66845359329227e-09,6.445635580831777e-09
1886,1.2261581083805595e-08,8.38950331427668e-09
1887,1.3710741875172516e-08,1.3057849246322917e-09
1888,6.340614699951175e-09,5.07249175996094e-09
1889,1.0024218788373673e-08,6.265136742733546e-10
1890,6.554386366985909e-09,2.6217545912032847e-09
1891,1.3385862196457765e-08,1.3385862196457765e-08
1892,1.4417578242387208e-08,7.522214851007902e-09
1893,1.7243566574620672e-08,4.926733243593162e-09
1894,9.452309157609307e-09,5.671385139294216e-09
1895,9.629783193076946e-09,3.0093072478365457e-09
1896,7.66613794667137e-09,6.486732040400511e-09
1897,1.4566784223291052e-08,6.409385022720926e-09
1898,1.5277558773618694e-08,3.3950129374460403e-09
1899,6.633094074004475e-09,3.3165470370022376e-09
1900,1.2977633190303095e-08,2.07642125715779e-09
1901,7.824234593556412e-09,3.353243460679778e-09
