year,trop_ADV en_ADP,trop_ADV sans_ADP
1800,1.4085857173995464e-06,5.65949598296811e-08
1801,1.7382633359375177e-06,6.905429472681135e-08
1802,1.4232663261282141e-06,9.622712582313397e-08
1803,1.7045964568751515e-06,7.80135707145746e-08
1804,1.9774806787609123e-06,5.19088700912107e-08
1805,1.862084900494665e-06,9.665784261869703e-08
1806,1.4379528465724434e-06,1.4120178093435243e-07
1807,1.204262048304372e-06,4.839823830593559e-08
1808,1.559058887323772e-06,7.704651494577774e-08
1809,1.6445742403448094e-06,8.358412628695078e-08
1810,1.5725652247056132e-06,3.7442028144596406e-08
1811,1.2560454933918663e-06,2.757784400841956e-08
1812,1.256255131920625e-06,5.067695596494559e-08
1813,1.2394446002872428e-06,4.3136125782439194e-08
1814,1.3436310837278143e-06,1.0069366851439554e-07
1815,1.2083561387044028e-06,5.664169577812572e-08
1816,1.2885877822554903e-06,6.952811304472561e-08
1817,1.6549564634260605e-06,1.2299300067297736e-07
1818,1.6761175629653735e-06,1.0609847578280096e-07
1819,1.2431611366992001e-06,1.3456364911235141e-07
1820,1.4975498743297067e-06,1.18664814863223e-07
1821,1.4466803577306564e-06,1.4003313708599308e-07
1822,1.6221446230701986e-06,8.622029668003961e-08
1823,1.3549163213610882e-06,1.7393529105902417e-07
1824,1.445905013497395e-06,2.0463303940232436e-07
1825,1.6202014876398607e-06,1.3736490700466675e-07
1826,1.4577213960365043e-06,7.48678701256722e-08
1827,1.3070093700662255e-06,8.572063592282575e-08
1828,1.3327353372005746e-06,8.346793833879929e-08
1829,1.5243107327478356e-06,1.2688300898844318e-07
1830,1.2691192523561767e-06,6.679574937606958e-08
1831,1.2535330142782186e-06,6.080570358335535e-08
1832,1.7101881439884892e-06,1.055337577327009e-07
1833,1.2209144415464834e-06,8.108539617524002e-08
1834,1.2900321735287434e-06,1.1388127774125678e-07
1835,1.340935455118597e-06,1.187404805591541e-07
1836,1.3018093341088388e-06,6.58633538819231e-08
1837,1.2510288343037246e-06,1.1897993346110525e-07
1838,1.3533275478039286e-06,9.278878110308142e-08
1839,1.3004143966099946e-06,1.0766872104994718e-07
1840,1.3166146572984871e-06,7.134051571711097e-08
1841,1.1890855375895626e-06,8.731946365969634e-08
1842,1.1692505950122722e-06,8.385331362603665e-08
1843,1.1996936564173666e-06,7.265500556741245e-08
