year,trop_ADV à_ADP,trop_ADV a_ADP,trop_ADV las_ADJ
1800,4.084269676241092e-06,6.288328968651058e-09,1.2576657937302116e-08
1801,5.350517312763259e-06,1.1905912922216544e-08,1.6668277424969347e-08
1802,4.654707481677178e-06,4.475680270843441e-09,0.0
1803,4.1600737858971115e-06,3.900678446910888e-09,9.751696339321825e-09
1804,4.736066330224276e-06,2.4718509461507665e-09,4.943701892301533e-09
1805,5.048950697528198e-06,0.0,2.842877711017877e-09
1806,4.236053428030573e-06,1.152667650217154e-08,5.76333825108577e-09
1807,3.6469496080826502e-06,0.0,0.0
1808,4.013217221654486e-06,0.0,1.1330369531492579e-08
1809,4.312489181756973e-06,6.7770915546105925e-09,6.09938268780752e-08
1810,5.405692718341015e-06,7.020380277111826e-09,4.446240753352981e-08
1811,3.780671704589622e-06,7.521230305229665e-09,3.760615285841595e-08
1812,4.05949094783864e-06,8.00162425207418e-09,4.5342538612658245e-08
1813,4.644322871172335e-06,1.1502966579257645e-08,5.751483289628823e-09
1814,4.39905443272437e-06,9.440030979135372e-09,0.0
1815,4.3587133404798806e-06,5.394447111228828e-09,2.4275012222574333e-08
1816,4.194862867734628e-06,6.952811659743929e-09,4.6352077731626196e-09
1817,5.190615866013104e-06,1.556873407970727e-09,1.0898113522728181e-08
1818,4.500244358496275e-06,5.9605886892910576e-09,9.536941902865692e-09
1819,4.836010703002103e-06,1.1386155129855524e-08,7.24573512300708e-09
1820,4.957815690431744e-06,1.4239777357261119e-08,1.1866481131050932e-09
1821,5.271951522445306e-06,9.861488514673056e-09,3.550135829755163e-08
1822,4.8874876483750995e-06,4.010246357211145e-09,1.5038423839541792e-08
1823,4.268332304491196e-06,4.941343556552624e-09,3.9530746676064155e-08
1824,4.954982614435721e-06,5.052667617633233e-09,1.6842225392110777e-08
1825,4.516311946645146e-06,5.283265824829186e-09,7.924898959288385e-09
1826,4.313269982958445e-06,3.5231937367541377e-09,2.3781558056157337e-08
1827,4.013200850749854e-06,9.217273055917019e-10,1.1060727445055818e-08
1828,4.094515134056564e-06,9.172301251858528e-10,2.2930752408001354e-08
1829,4.414328486745944e-06,6.001223296081548e-09,2.1432940755516938e-08
1830,4.407475898915436e-06,2.0873671680021744e-09,1.982998831806526e-08
1831,4.000703484052792e-06,3.1182412207897414e-09,4.677361609140007e-09
1832,4.5650117499462795e-06,8.117981842303834e-09,3.111892965534935e-08
1833,4.1770563257159665e-06,6.950176989484191e-09,3.8225973497674204e-08
1834,3.6675371575256577e-06,4.667265462998671e-09,4.200539072130027e-08
1835,4.210371116641909e-06,8.31939672707449e-09,4.9160071569076536e-08
1836,3.9780120459909085e-06,2.0162250202737653e-09,5.309392392405243e-08
1837,3.885286332661053e-06,0.0,1.87863058442872e-08
1838,3.995598490291741e-06,5.680945713848473e-09,1.830527018853445e-08
1839,4.075330707564717e-06,4.194884994923598e-09,1.2584655095793096e-08
1840,3.759390210689162e-06,7.643626342979104e-09,1.7835128929277744e-08
1841,3.621831410782761e-06,3.2102742686390684e-09,1.219904177673925e-08
1842,4.026971510029398e-06,2.683306021822318e-09,1.0062397581833693e-08
1843,3.8790685721323825e-06,8.269675388916653e-09,1.7130041385371442e-08
1844,3.7854606489418074e-06,3.293136707771538e-09,7.1351298203126134e-09
1845,3.647794983407948e-06,6.138250796539069e-09,3.013322924516615e-08
1846,3.822403868980473e-06,4.0981509297211005e-09,1.5221703009160592e-08
1847,3.3718433769536205e-06,3.775256551818984e-09,1.0247124926365814e-08
1848,3.414392040212988e-06,8.849743882155536e-09,2.574470947536156e-08
1849,3.4363981740170857e-06,8.379414939696517e-09,2.6814127807028854e-08
1850,3.4936174415634014e-06,4.752297222410107e-09,1.425689166723032e-08
1851,3.6665060179075226e-06,5.159551008659946e-09,1.096404567135778e-08
1852,3.832107267953688e-06,5.208436348880241e-09,1.6927417689771573e-08
1853,3.7372349197539734e-06,1.1943863675867306e-09,2.329053394589664e-08
1854,4.139905286137946e-06,4.676097953293379e-09,2.338049043260071e-08
1855,4.08262667406234e-06,5.306937111981824e-09,1.8574279891936385e-08
1856,4.019569587399019e-06,4.659470143053568e-09,1.6049286344355096e-08
1857,4.291334789741086e-06,1.4644527812635033e-09,2.2943092758964667e-08
1858,3.968771125073545e-06,1.4681028059904122e-09,1.712786601437699e-08
1859,4.264185918145813e-06,3.5645213447565993e-09,2.2405562072336238e-08
1860,4.193615950498497e-06,1.8308735638683515e-09,2.5632230560290736e-08
1861,4.3787722461274825e-06,5.187560214725551e-09,1.7449066469499286e-08
