year,beaucoup_ADV à_ADP,beaucoup_ADV a_ADP,beaucoup_ADV las_ADJ
1800,1.8075801563099958e-05,2.2009151834367913e-08,0.0
1801,1.806365071388427e-05,7.143547753329926e-09,0.0
1802,1.703220186755061e-05,4.475680270843441e-09,0.0
1803,1.7371670764987357e-05,2.3404071125554538e-08,0.0
1804,1.705330032564234e-05,2.2246657849223084e-08,0.0
1805,1.868623439804651e-05,1.7057266266107263e-08,0.0
1806,1.5405403246404603e-05,2.0171683878800195e-08,0.0
1807,1.2270376828382723e-05,2.2775640928784924e-08,0.0
1808,1.5452358638867736e-05,1.3596443970698147e-08,0.0
1809,1.7001464584609494e-05,2.2590304959990704e-08,0.0
1810,1.51312597154174e-05,9.360507036149102e-09,0.0
1811,1.676732972555328e-05,1.2535383397960231e-08,0.0
1812,1.4037516848475207e-05,2.6672081432366213e-08,2.6672082320544632e-09
1813,1.4927974916645326e-05,2.5881674581285097e-08,0.0
1814,1.405620696459664e-05,1.2586708564299443e-08,0.0
1815,1.6771336959209293e-05,1.3486117778072071e-08,0.0
1816,1.717576196824666e-05,1.8540831092650478e-08,0.0
1817,1.6129208233905956e-05,1.71256075987003e-08,0.0
1818,1.5281757441698574e-05,1.668964833001496e-08,0.0
1819,1.4135393939795904e-05,2.2772310259711048e-08,0.0
1820,1.583819175721146e-05,1.0679833017945839e-08,0.0
1821,1.5968707884894684e-05,1.9722976585256902e-08,0.0
1822,1.604098542884458e-05,1.303330066093622e-08,0.0
1823,1.5837993487366475e-05,9.882687113105248e-09,0.0
1824,1.4848105820419732e-05,5.894778887238772e-09,0.0
1825,1.646177588554565e-05,1.8491430608946757e-08,0.0
1826,1.4919844943506178e-05,1.849676745102613e-08,0.0
1827,1.5444462405866943e-05,1.566936447261469e-08,0.0
1828,1.4779328921576962e-05,2.0179062865111064e-08,0.0
1829,1.533483919047285e-05,1.1145128819833872e-08,0.0
1830,1.563437945151236e-05,1.461157017601522e-08,0.0
1831,1.474460350436857e-05,1.5591205659859497e-08,0.0
1832,1.4083345377002843e-05,1.623596324051846e-08,1.3529969367098715e-09
1833,1.5754892956465483e-05,1.3900354645102198e-08,0.0
1834,1.42930339279701e-05,1.3068343740485489e-08,0.0
1835,1.4492388800135814e-05,1.1344631900556124e-08,0.0
1836,1.4375684258993715e-05,1.7473950730817478e-08,0.0
1837,1.4518334864987992e-05,1.0436836506144687e-08,0.0
1838,1.4376580111274961e-05,1.4517972157790382e-08,0.0
1839,1.3849413335265126e-05,9.088918062616358e-09,0.0
1840,1.3446412594930734e-05,1.5287253130047418e-08,0.0
1841,1.3614772797154728e-05,1.0272877659645019e-08,0.0
1842,1.3711022802453954e-05,1.1404050592744852e-08,0.0
1843,1.3875333934265655e-05,1.3585895519696578e-08,5.906911071384968e-10
