year,trop_ADV eu_VERB,trop_ADV lu_VERB
1800,3.144164395507687e-08,6.288328968651058e-09
1801,3.095537337571841e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,2.5354410126965377e-08,5.851017448321727e-09
1804,1.4831105232815389e-08,0.0
1805,6.822906328807221e-08,0.0
1806,3.458002950651462e-08,0.0
1807,1.7081731584767113e-08,5.693910232196231e-09
1808,2.2660739062985158e-08,0.0
1809,8.584316191218022e-08,0.0
1810,2.106114038724627e-08,2.3401267590372754e-09
1811,4.262030373070047e-08,0.0
1812,6.934741492159446e-08,4.000812481308458e-08
1813,3.4508900625951355e-08,4.026038169513413e-08
1814,3.1466772298927026e-08,3.1466771410748606e-09
1815,2.966945977789237e-08,0.0
1816,3.244645441213834e-08,1.1588019432906549e-08
1817,5.60474440192138e-08,0.0
1818,1.1921176934492905e-08,1.1921177378582115e-09
1819,5.175525075173937e-08,1.035105001712111e-09
1820,5.102586797534059e-08,1.779972080839798e-08
1821,2.070912508145284e-08,5.9168927535324656e-09
1822,2.3058916553964082e-08,2.2056354964661296e-08
1823,2.8659792761231984e-08,0.0
1824,1.2631669044083083e-08,2.5263338088166165e-09
1825,2.1133063299316746e-08,2.641632912414593e-09
1826,2.4662355713189754e-08,0.0
1827,1.3825909306319772e-08,4.608636583469661e-09
1828,1.0089530988466322e-08,3.668920500743411e-09
1829,1.800366966620004e-08,8.57317605795771e-10
1830,2.2961039292113128e-08,1.0436835395921662e-08
1831,2.0268567268999504e-08,2.0268567268999504e-08
1832,2.0294953273491956e-08,6.764984572527055e-09
1833,1.50587169400751e-08,2.3167257001688313e-09
1834,1.213489042584115e-08,9.334530925997342e-10
1835,2.7983425354705105e-08,1.5126175867408165e-09
1836,3.024337402735e-08,6.720750067579218e-10
1837,1.1132625488130543e-08,0.0
1838,1.830527018853445e-08,5.049729523420865e-09
1839,1.957613093850341e-08,6.9914751765765e-10
1840,5.732719632334238e-09,6.369688665408546e-10
1841,1.6051371787284552e-08,6.420548537278137e-10
1842,1.609983613093391e-08,6.708265054555795e-10
1843,3.0125246297529884e-08,1.2995204023980023e-08
1844,1.0977122322231025e-08,1.0977122322231025e-08
1845,2.0088821273134272e-08,2.7901139176833567e-09
1846,8.781752214304106e-09,2.9272506640865004e-09
1847,1.5640349459999925e-08,2.6966118227278457e-09
1848,2.252662056889676e-08,1.045878850192139e-08
1849,1.1731181359664333e-08,0.0
1850,2.0366988096043315e-08,0.0
1851,2.3217978650791338e-08,7.094382858952031e-09
1852,1.7578472011337e-08,9.765818376195057e-09
1853,1.2541057081705276e-08,8.957897534855874e-09
1854,2.4419623656513068e-08,1.0391328908454511e-09
1855,2.865746040470185e-08,9.021793090369101e-09
1856,1.7084724746041502e-08,1.65670055451983e-08
1857,1.4156376515472857e-08,1.4644527812635033e-09
1858,1.0766087576996597e-08,9.297984604472731e-09
1859,2.036869339860914e-08,9.165912473463322e-09
1860,2.242820151820979e-08,8.238931314963338e-09
1861,2.87673795895671e-08,4.715963619617014e-09
1862,1.9427341513278407e-08,2.710791813242963e-09
1863,1.2486552236623538e-08,3.496234635136375e-09
1864,3.5001512799226475e-08,7.671564716815737e-09
1865,1.694463946932956e-08,9.88437331983505e-09
1866,2.0435575009969398e-08,8.271541673821048e-09
1867,1.067618526917613e-08,7.279217228983725e-09
1868,4.44588676984381e-09,5.433861360870651e-09
1869,1.8557372527538973e-08,1.4650557433881772e-09
1870,2.8096838633473453e-08,5.734048791339319e-09
1871,1.1683295220166201e-08,5.3105884134652115e-09
1872,1.814201766592305e-08,4.23313739617015e-09
1873,3.292302608315367e-08,5.387403856360606e-09
1874,1.4936523129449597e-08,4.182226565063729e-09
1875,3.032409523484603e-08,9.7265964171811e-09
1876,1.934724735974669e-08,6.04601479992084e-09
1877,2.3502300550148902e-08,9.895705588292003e-09
1878,3.32149880932775e-08,1.2078177347163432e-09
1879,2.1993571408529533e-08,9.774920428640144e-09
1880,8.343199908722454e-09,1.2835692508872398e-09
1881,1.324776466304911e-08,6.2752567586699115e-09
1882,9.317538740560849e-09,2.6621540527571597e-09
1883,1.9589950994713945e-08,1.8958017378167824e-09
1884,1.4523733327109767e-08,6.601696966868076e-10
1885,7.090199094506033e-09,8.379326565943757e-09
1886,1.2906927970846027e-08,2.5813855497602844e-09
1887,1.3057849024278312e-08,6.528924623161458e-10
1888,1.9021843655764314e-08,1.268122939990235e-09
1889,2.6313573542324775e-08,3.759081934617825e-09
1890,1.3764211992395303e-08,4.5880703680722945e-09
1891,1.9122660788184476e-08,2.5496880162734215e-09
1892,1.4417578242387208e-08,6.268512375839919e-09
1893,1.847524977449666e-08,4.310891643655168e-09
1894,7.561847148451761e-09,1.2603078580752936e-09
1895,1.023164486468886e-08,1.0833506536300774e-08
1896,2.1229304536518612e-08,3.5382172747233653e-09
1897,1.1070755867592652e-08,4.661370844871726e-09
1898,1.5277558773618694e-08,7.921697076085366e-09
1899,6.080336234504102e-09,1.1055156790007459e-09
1900,7.786579381274805e-09,2.07642125715779e-09
1901,1.4530721514915967e-08,5.58873880507349e-09
1902,9.820567470342212e-09,5.4013122863239005e-09
1903,1.6200660368781428e-08,5.400220270956879e-09
1904,2.3110889202371254e-08,1.6123875568041512e-09
1905,8.257214467732865e-09,5.160758931310738e-09
1906,9.773950537805831e-09,3.0865106026567446e-09
1907,1.0285686968813934e-08,2.5714217422034835e-09
1908,9.822778146428846e-09,7.367083831866239e-09
1909,1.7603147384193107e-08,4.400786846048277e-09
1910,9.085056262847502e-09,9.085056262847502e-09
1911,1.9153347352585115e-08,9.044636151145369e-09
1912,1.3544495303108306e-08,6.251305251225858e-09
1913,5.833288518886093e-09,5.302989602995467e-09
1914,1.5402511266415786e-08,1.3393487430235496e-09
1915,1.4136913861761968e-08,2.1205371680821372e-08
1916,1.8678685265172135e-08,1.0987461607214755e-08
1917,1.4256351654751143e-08,5.483212106582869e-09
1918,1.6080926812378493e-08,0.0
1919,9.207848705727883e-09,2.762354567309444e-09
1920,6.057785384427916e-09,6.815008557481406e-09
1921,1.3630945261411398e-08,4.543648568500203e-09
1922,1.549366501762961e-08,1.1804696775641332e-08
1923,4.246379248229459e-09,1.1677542488541803e-08
1924,1.5469948877466777e-08,9.02413699321869e-09
1925,1.4297631523163545e-08,7.698724324711748e-09
1926,1.5604593173179637e-08,1.1146138456652466e-09
1927,1.2264147031260109e-08,4.4596899506643695e-09
1928,9.14083297942625e-09,1.0283437212876834e-08
1929,1.5596569369336066e-08,1.1140406375176326e-09
1930,1.6805765667982087e-08,9.453243521306831e-09
1931,1.8248570654577634e-08,2.2810713318222042e-09
1932,1.53433514782364e-08,6.575722188983946e-09
1933,2.1794258842078307e-08,2.2941324395731044e-09
1934,2.156684431042777e-08,3.5944740517379614e-09
1935,1.4361940969820353e-08,1.196828414151696e-09
1936,8.487299751891442e-09,1.2124714565686645e-09
1937,1.3850230295986421e-08,2.5182236296217297e-09
1938,1.4261735792331365e-08,1.2965214457594243e-09
1939,1.5294050470515685e-08,1.5294050470515685e-09
1940,1.0143131667916805e-08,1.2678914806940611e-08
1941,3.246652724442356e-08,2.9515025978810172e-09
1942,1.8205270180260413e-08,3.034211770724937e-09
1943,1.7419411690866582e-08,5.806470415592457e-09
1944,1.927911696952833e-08,9.639558484764166e-09
1945,2.178504132643866e-08,8.714016175304096e-09
1946,6.960552134671616e-09,5.568441707737293e-09
1947,2.622591566137089e-08,5.960435700558264e-09
1948,2.2830963786191205e-08,4.348755133776194e-09
1949,1.1780409536754632e-08,8.835307596655184e-09
1950,2.7651939404904624e-08,1.0635361036293034e-08
1951,2.0256663901818683e-08,1.4925962688039363e-08
1952,1.370824520563474e-08,5.272402070488624e-09
1953,2.3702419582605216e-08,1.0773827385790469e-09
1954,9.772536557761669e-09,1.4658803948464083e-08
1955,1.5016972554349195e-08,5.631364707880948e-09
1956,2.703553825256222e-08,6.976913269340912e-09
1957,3.268964121616591e-08,3.534015080575159e-09
1958,9.099467845885556e-09,4.9633461784992505e-09
1959,1.1626121398933265e-08,5.425523585955716e-09
1960,1.1765417085030094e-08,2.7683333403416555e-09
1961,2.014966149488373e-08,1.181187059273725e-08
1962,2.029426049432459e-08,6.341956293454132e-09
1963,1.3578711488548834e-08,7.1126584622049904e-09
1964,7.300761772910391e-09,1.8251904432275978e-09
1965,1.6963333848707407e-08,7.660860390501512e-09
1966,1.9940669560014612e-08,6.092982118843793e-09
1967,1.6763140209263838e-08,2.9582012395223956e-09
1968,2.515192853991266e-08,8.533690198930799e-09
1969,2.043791091921321e-08,8.175163657142548e-09
1970,1.7015283404475667e-08,7.817832603507213e-09
1971,2.2608949379332444e-08,8.221435976452085e-09
1972,1.5903454553267693e-08,2.565073486948677e-09
1973,1.598829157956061e-08,8.269805285010534e-09
1974,1.406392957647995e-08,3.3753431161187564e-09
1975,1.1994108817248161e-08,5.711480177694739e-09
1976,2.171140245366132e-08,3.4281160132820787e-09
1977,2.4682483612537e-08,6.464460078348111e-09
1978,1.0693064211864112e-08,4.752473081737207e-09
1979,1.1703946256602649e-08,8.192762912528906e-09
1980,3.013130012163856e-08,3.97960553399912e-09
1981,2.5934753011824796e-08,5.060439622894819e-09
1982,1.8622506203769262e-08,4.345251713999687e-09
1983,1.6419821946556112e-08,5.68378455412244e-09
1984,9.858314165001048e-09,7.538710988796993e-09
1985,1.6242006850575308e-08,7.820225356169885e-09
1986,1.978180286243969e-08,1.0790073723399018e-08
1987,1.588812459374367e-08,3.6664902225425067e-09
1988,1.2592763276586538e-08,7.195864348830128e-09
1989,1.9757239400064464e-08,7.134558721588746e-09
1990,1.3076762783725826e-08,3.2691906959314565e-09
1991,1.934283488935762e-08,5.8614650910726596e-09
1992,1.652983172562017e-08,4.4079553340736766e-09
1993,1.606370148010683e-08,6.093128224193833e-09
1994,2.0572214154412904e-08,1.002236071911966e-08
1995,1.9520822291951845e-08,5.964695848348356e-09
1996,2.081855932090093e-08,5.871901187504136e-09
1997,2.205651483677684e-08,8.151320507465698e-09
1998,1.954932926651054e-08,5.2449422582867555e-09
1999,1.0968483010742602e-08,5.941261704833778e-09
2000,1.8113929911578452e-08,5.3016377954406835e-09
2001,1.9277331730904734e-08,4.381211837767296e-09
