year,trop_ADV en_ADP,trop_ADV lent_ADJ
1800,1.4085857173995464e-06,4.62192190298083e-07
1801,1.7382633359375177e-06,4.143257634758868e-07
1802,1.4232663261282141e-06,4.072869046467531e-07
1803,1.7045964568751515e-06,4.193229301563406e-07
1804,1.9774806787609123e-06,3.361717233474337e-07
1805,1.862084900494665e-06,3.7241699146761675e-07
1806,1.4379528465724434e-06,2.737585713674662e-07
1807,1.204262048304372e-06,1.992868541300652e-07
1808,1.559058887323772e-06,2.3793776904312836e-07
1809,1.6445742403448094e-06,2.2590305093217466e-07
1810,1.5725652247056132e-06,3.908011732001171e-07
1811,1.2560454933918663e-06,3.08370431412186e-07
1812,1.256255131920625e-06,2.3738152776786592e-07
1813,1.2394446002872428e-06,3.5084048022326897e-07
1814,1.3436310837278143e-06,3.901879779277806e-07
1815,1.2083561387044028e-06,2.8051124445482856e-07
1816,1.2885877822554903e-06,2.3176039576355834e-07
1817,1.6549564634260605e-06,3.6275150705478154e-07
1818,1.6761175629653735e-06,2.8849248190354615e-07
1819,1.2431611366992001e-06,4.0162073899896455e-07
1820,1.4975498743297067e-06,3.6311431994562327e-07
1821,1.4466803577306564e-06,3.126091652205787e-07
1822,1.6221446230701986e-06,3.138017916626268e-07
1823,1.3549163213610882e-06,3.0636329384492456e-07
1824,1.445905013497395e-06,3.1831805813453684e-07
1825,1.6202014876398607e-06,2.7384928102947015e-07
1826,1.4577213960365043e-06,1.8937166657018167e-07
1827,1.3070093700662255e-06,3.0324828692585015e-07
1828,1.3327353372005746e-06,2.522382942515833e-07
1829,1.5243107327478356e-06,2.1261477006762064e-07
1830,1.2691192523561767e-06,3.402408426111947e-07
1831,1.2535330142782186e-06,2.0892215957246663e-07
1832,1.7101881439884892e-06,2.0565553882079257e-07
1833,1.2209144415464834e-06,2.976992524716948e-07
1834,1.2900321735287434e-06,3.1457369353837805e-07
1835,1.340935455118597e-06,2.427751155664737e-07
1836,1.3018093341088388e-06,2.103594791691421e-07
1837,1.2510288343037246e-06,2.2126093313090678e-07
1838,1.3533275478039286e-06,2.2913148245429227e-07
1839,1.3004143966099946e-06,2.2023147039362811e-07
1840,1.3166146572984871e-06,2.445960416430637e-07
1841,1.1890855375895626e-06,1.9261645434198726e-07
1842,1.1692505950122722e-06,2.0996868954625825e-07
1843,1.1996936564173666e-06,2.061511992224041e-07
1844,1.1427184745116392e-06,2.3216614858379003e-07
1845,1.2689438335655723e-06,1.8135740342817286e-07
1846,1.3037974895269144e-06,2.575980515562293e-07
1847,1.0818806686074822e-06,2.4916692797916085e-07
1848,1.1931064136661007e-06,2.2204811500614596e-07
1849,1.1278692682026303e-06,1.7429182719297387e-07
1850,1.0658724249879015e-06,2.3286256123355997e-07
1851,1.040294478116266e-06,2.2637529983882132e-07
1852,1.1699449942170759e-06,2.0833745395520964e-07
1853,1.1985666787950322e-06,2.436548300899233e-07
1854,1.4189359944793978e-06,2.11463549781854e-07
1855,1.2195341696497053e-06,2.595092283286249e-07
1856,1.2725531632895581e-06,1.956977546124783e-07
1857,1.2916473224322544e-06,2.274783237332656e-07
1858,1.637424020373146e-06,1.9330020584185093e-07
1859,1.4894607147653005e-06,2.036869339860914e-07
1860,1.376359250571113e-06,2.2611289035578963e-07
1861,1.3445212516671745e-06,2.249514636787353e-07
1862,1.3517815204977524e-06,3.008978808338725e-07
1863,1.3475487321557011e-06,2.0827568736336843e-07
1864,1.2557392210510443e-06,2.4644901508441563e-07
1865,1.3325076224646182e-06,2.2263374432895944e-07
