year,trop_ADV latin_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,9.751696339321825e-09
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,6.015369535816717e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,5.791814139399776e-09
1834,0.0
1835,0.0
1836,5.376600054063374e-09
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,5.906911071384968e-10
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,1.3021090872200602e-08
1853,0.0
1854,0.0
1855,4.2455496895854594e-09
1856,1.2425253714809514e-08
1857,7.322263684272912e-09
1858,9.787352039936081e-10
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,6.99246927027275e-09
1864,0.0
1865,0.0
1866,5.838735717134114e-09
1867,0.0
1868,8.397785578040384e-09
1869,2.9301114867763545e-09
1870,0.0
1871,1.1683295220166201e-08
1872,2.4189357183956872e-09
1873,0.0
1874,5.974609251779839e-09
1875,4.577221712764867e-09
1876,4.232210137899983e-09
1877,0.0
1878,3.6234530931267273e-09
1879,0.0
1880,3.8507077526617195e-09
1881,0.0
1882,0.0
1883,6.951272890631799e-09
1884,4.621187876807653e-09
1885,1.933690763067375e-09
1886,6.453463874400711e-10
1887,6.528924623161458e-10
1888,4.4384300679212174e-09
1889,5.012109394186837e-09
1890,2.6217545912032847e-09
1891,2.5496880162734215e-09
1892,0.0
1893,2.463366621796581e-09
1894,8.192000855444803e-09
1895,0.0
1896,5.897029087265082e-09
1897,4.078699600285063e-09
1898,5.6583546736987955e-09
1899,2.2110313580014918e-09
1900,0.0
1901,8.941982265753268e-09
1902,4.419255628107521e-09
1903,4.320176216765503e-09
1904,5.912087708281888e-09
1905,1.0321518084666081e-09
1906,9.773950537805831e-09
1907,5.65712765521198e-09
1908,4.4202499438483756e-09
1909,1.4302557360679202e-08
1910,0.0
1911,2.128149656499545e-09
1912,3.646594803896619e-09
1913,2.121195885607108e-09
1914,0.0
1915,5.890381071793627e-09
1916,4.394984820521586e-09
1917,3.289927441585405e-09
1918,4.594550517822427e-09
1919,0.0
1920,2.2716695191604686e-09
1921,1.5145494858259667e-09
1922,1.4755870969551665e-09
1923,4.246379248229459e-09
1924,1.289162443462999e-09
1925,6.598906754362588e-09
1926,1.1146138456652466e-09
1927,5.574612327308159e-09
1928,5.713020723163709e-09
1929,1.0026365515614089e-08
1930,1.3654684494213143e-08
1931,6.843213995466613e-09
1932,6.575722188983946e-09
1933,5.735331320977366e-09
1934,4.7926320689839486e-09
1935,2.393656828303392e-09
1936,2.424942913137329e-09
1937,7.554670666820584e-09
1938,1.2965214457594243e-09
1939,7.647025235257843e-09
1940,7.607348528892999e-09
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,0.0
1946,6.960552134671616e-09
1947,3.5762612871081956e-09
1948,4.348755133776194e-09
1949,1.9634016634739737e-09
1950,2.1270722960764488e-09
1951,1.0661401761424827e-09
1952,0.0
1953,2.1547654771580937e-09
1954,0.0
1955,1.8771215692936494e-09
1956,4.360570571293465e-09
1957,7.068030161150318e-09
1958,1.6544486891589827e-09
1959,3.100299128533379e-09
1960,2.076250060767393e-09
1961,6.94815938118154e-09
1962,8.244543714397423e-09
1963,6.466053248388448e-10
1964,6.083968329129164e-10
1965,3.830430195250756e-09
1966,1.0524241922382771e-08
1967,3.451234853457663e-09
1968,7.186265360559219e-09
1969,3.6334062425424918e-09
1970,1.8394900047624674e-09
1971,5.652237344833111e-09
1972,7.69522046084603e-09
1973,1.102640756478479e-09
1974,5.625571675160757e-10
1975,3.4268881066168433e-09
1976,5.713526873840635e-10
1977,5.876781838942691e-10
1978,5.940591352171509e-10
1979,5.851973350345929e-10
1980,4.548120546843393e-09
1981,4.427884725544118e-09
1982,2.483000915987077e-09
1983,1.89459470334441e-09
1984,1.739702604197646e-09
1985,2.4062232206745193e-09
1986,1.1988970927134801e-09
1987,1.2221633705067347e-09
1988,5.996553809062277e-10
1989,0.0
1990,2.724325431913144e-09
1991,1.1722930404189924e-09
1992,2.7549720282848966e-09
1993,1.1078414852150331e-09
1994,2.637463358823311e-09
1995,2.1689803286761844e-09
1996,2.6690460952494277e-09
1997,4.315404922294874e-09
1998,3.814503379828693e-09
1999,3.1991407301035224e-09
2000,1.3254094488601709e-09
2001,3.066848330846028e-09
2002,4.38122149670761e-10
2003,8.333845835650777e-10
2004,5.726228824443069e-09
2005,1.8014998381943315e-09
2006,2.0589450144825605e-09
2007,3.994479413904628e-09
2008,2.1287198670449925e-09
2009,1.430457752249481e-09
2010,2.3618964561933353e-09
2011,2.2943831279320648e-09
2012,1.0212758416727752e-09
2013,8.367375126105969e-10
2014,3.031623174720721e-09
2015,6.649726325136385e-10
2016,1.2428040818690533e-09
2017,1.0062445321423752e-09
2018,1.8070267504555204e-09
2019,1.2754939326953263e-09
