year,trop_ADV égale_ADJ,trop_ADV légale_ADJ
1800,7.545995117652637e-08,0.0
1801,2.1430643926123594e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,2.9255089017965474e-08,0.0
1804,4.943701892301533e-09,0.0
1805,3.4114531644036106e-08,0.0
1806,1.0085842205853623e-07,2.881669125542885e-09
1807,1.9928686256776018e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,3.7442028144596406e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,6.326631307729258e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,8.091670444798638e-09,0.0
1816,0.0,0.0
1817,1.5568733857662664e-08,0.0
1818,9.536941902865692e-09,5.960588467246453e-09
1819,1.449147024601416e-08,0.0
1820,2.1359666035891678e-08,0.0
1821,1.3806083387635226e-08,0.0
1822,4.010246357211145e-09,0.0
1823,1.087095569118901e-08,0.0
1824,1.8526447931321854e-08,0.0
1825,1.2327619813845558e-08,0.0
1826,7.0463874735082754e-09,0.0
1827,5.530363722527909e-09,0.0
1828,1.834460228167245e-08,0.0
1829,3.086343269842473e-08,0.0
1830,8.349468672008697e-09,0.0
1831,4.677361609140007e-09,0.0
1832,2.3000948701223933e-08,0.0
1833,2.7800709290204395e-08,0.0
1834,1.6802156110884425e-08,2.8003592777992026e-09
1835,3.781543966852041e-09,7.563087933704082e-10
1836,1.344150035720304e-08,2.688300027031687e-09
1837,4.174734336004349e-09,0.0
1838,1.9567702125300457e-08,0.0
1839,1.3982949909063791e-08,0.0
1840,1.1465439264668476e-08,0.0
1841,3.852329122366882e-09,0.0
1842,1.2745703159566801e-08,0.0
1843,8.269675610961258e-09,2.3627644285539873e-09
1844,7.683985892015244e-09,2.7442805805577564e-09
1845,1.3392547515422848e-08,5.580227946389016e-10
1846,1.4636253098387897e-08,0.0
1847,1.0786447290911383e-08,5.393223645455691e-10
1848,1.367687652020777e-08,3.218088684420195e-09
1849,5.02764896381791e-09,5.865590679832167e-09
1850,9.504594444820214e-09,0.0
1851,1.4188765717904062e-08,0.0
1852,7.812654523320361e-09,0.0
1853,1.791579506971175e-08,0.0
1854,8.313063126763609e-09,1.0391328908454511e-09
1855,1.6451505047143655e-08,0.0
1856,2.3815070804289462e-08,0.0
1857,1.9037885934380938e-08,0.0
1858,2.7893953813418193e-08,0.0
1859,1.2730433596175317e-08,5.092173349652285e-10
1860,4.57718396518203e-09,4.577183909670879e-10
1861,2.169343282787395e-08,0.0
1862,4.517986429419807e-09,0.0
1863,1.1987090431375691e-08,0.0
1864,1.7740493518658695e-08,0.0
1865,7.0602665935837194e-09,1.4120533631256649e-09
1866,9.244664589402873e-09,0.0
1867,5.82337378318698e-09,0.0
1868,8.89177353968762e-09,4.93987406535723e-10
1869,8.790334682373668e-09,4.883519144627257e-10
1870,6.880858549607183e-09,1.1468097582678638e-09
1871,1.0621177271019633e-09,0.0
1872,1.3908880269752899e-08,0.0
1873,9.577607151811662e-09,0.0
1874,7.766991494406739e-09,4.779687312606029e-09
1875,1.8881038954532414e-08,0.0
1876,3.929909553335165e-08,0.0
1877,1.2988113695655557e-08,0.0
1878,1.509772218355465e-08,0.0
1879,2.077170613290491e-08,0.0
1880,1.5402831010646878e-08,1.2835692508872398e-09
1881,1.5339516323820135e-08,0.0
1882,6.655385131892899e-09,0.0
