year,trop_ADV en_ADP,trop_ADV lents_ADJ
1800,1.4085857173995464e-06,1.8550569791386806e-07
1801,1.7382633359375177e-06,2.500241578218265e-07
1802,1.4232663261282141e-06,1.969299319171114e-07
1803,1.7045964568751515e-06,1.501761204281138e-07
1804,1.9774806787609123e-06,1.2606439270257397e-07
1805,1.862084900494665e-06,1.7625842474444653e-07
1806,1.4379528465724434e-06,1.469651236263303e-07
1807,1.204262048304372e-06,1.3380688734798696e-07
1808,1.559058887323772e-06,1.7901984517010305e-07
1809,1.6445742403448094e-06,2.41716264781644e-07
1810,1.5725652247056132e-06,3.135769857109949e-07
1811,1.2560454933918663e-06,1.8301660098529737e-07
1812,1.256255131920625e-06,3.707419580223359e-07
1813,1.2394446002872428e-06,2.501895242090768e-07
1814,1.3436310837278143e-06,1.1013369771717407e-07
1815,1.2083561387044028e-06,9.710004511553905e-08
1816,1.2885877822554903e-06,8.806894946644661e-08
1817,1.6549564634260605e-06,1.416754777938678e-07
1818,1.6761175629653735e-06,1.6570436400797917e-07
1819,1.2431611366992001e-06,1.6665190294418153e-07
1820,1.4975498743297067e-06,1.9579694221505406e-07
1821,1.4466803577306564e-06,1.1340711203455811e-07
1822,1.6221446230701986e-06,1.6241497746705136e-07
1823,1.3549163213610882e-06,1.1661570520349329e-07
1824,1.445905013497395e-06,1.6758014798057275e-07
1825,1.6202014876398607e-06,1.6113960699115637e-07
1826,1.4577213960365043e-06,1.268349717475914e-07
1827,1.3070093700662255e-06,1.4286773364347027e-07
1828,1.3327353372005746e-06,1.3116390107370535e-07
1829,1.5243107327478356e-06,8.230248804697027e-08
1830,1.2691192523561767e-06,1.1480519646056564e-07
1831,1.2535330142782186e-06,7.327867024287116e-08
1832,1.7101881439884892e-06,8.794480088614165e-08
1833,1.2209144415464834e-06,1.2626155632133873e-07
1834,1.2900321735287434e-06,1.2974997454229253e-07
1835,1.340935455118597e-06,1.187404805591541e-07
1836,1.3018093341088388e-06,1.3777537438697252e-07
1837,1.2510288343037246e-06,1.0715152010121187e-07
1838,1.3533275478039286e-06,1.0793796523245192e-07
1839,1.3004143966099946e-06,1.0277468476260765e-07
1840,1.3166146572984871e-06,1.3503740631248817e-07
1841,1.1890855375895626e-06,1.1749603867627911e-07
1842,1.1692505950122722e-06,1.1269885558107262e-07
1843,1.1996936564173666e-06,1.2109167901730444e-07
1844,1.1427184745116392e-06,1.2349262967781272e-07
1845,1.2689438335655723e-06,1.3001931753464646e-07
1846,1.3037974895269144e-06,9.250111787650894e-08
1847,1.0818806686074822e-06,1.3536990817186734e-07
1848,1.1931064136661007e-06,9.573813641861051e-08
1849,1.1278692682026303e-06,9.803915190786938e-08
1850,1.0658724249879015e-06,9.029364633761361e-08
1851,1.040294478116266e-06,9.35168609217385e-08
1852,1.1699449942170759e-06,7.812654700956045e-08
1853,1.1985666787950322e-06,7.763511300495907e-08
1854,1.4189359944793978e-06,6.130884178112694e-08
1855,1.2195341696497053e-06,7.695058457102277e-08
1856,1.2725531632895581e-06,9.526028266204634e-08
1857,1.2916473224322544e-06,1.1081025708126191e-07
1858,1.637424020373146e-06,1.0080972923098841e-07
1859,1.4894607147653005e-06,1.0235268610436776e-07
1860,1.376359250571113e-06,1.0024033092470575e-07
1861,1.3445212516671745e-06,9.384767657438786e-08
1862,1.3517815204977524e-06,1.4818994745202652e-07
1863,1.3475487321557011e-06,1.4883970378409828e-07
1864,1.2557392210510443e-06,9.781245036144526e-08
1865,1.3325076224646182e-06,1.016678390364234e-07
1866,1.1872095910803182e-06,1.0898972685469133e-07
1867,1.3330673027667217e-06,7.036576477048584e-08
1868,1.1835937812065822e-06,9.435159142867633e-08
1869,1.4064535207580775e-06,1.0841412523276972e-07
1870,1.4306451703305356e-06,8.199689638388463e-08
1871,1.51670406012272e-06,8.815577245968598e-08
1872,1.376979184897209e-06,9.8571632634048e-08
1873,1.305547584706801e-06,8.081105962176593e-08
1874,1.4362960882863263e-06,7.408515045881359e-08
1875,1.3811766166327288e-06,1.1557484924651362e-07
1876,1.4716000578118837e-06,1.0822366713902909e-07
1877,1.2685057981798309e-06,8.906135273711868e-08
1878,1.2114411447328166e-06,7.548861175044053e-08
1879,1.3330547972145723e-06,8.553055153015521e-08
1880,1.254688982044172e-06,6.931273777155411e-08
1881,1.2320421092226752e-06,9.482610124900148e-08
1882,1.297134531341726e-06,8.518893124254134e-08
1883,1.174765088762797e-06,6.761692361578753e-08
1884,1.2780885754182236e-06,8.186104327734256e-08
1885,1.0809330888150726e-06,6.832373600218489e-08
1886,1.1216120583412703e-06,8.518572425231241e-08
1887,1.1497436389618088e-06,9.205783868537765e-08
1888,1.1102416692665429e-06,9.510922183153525e-08
1889,1.2336054169281852e-06,7.768769449967294e-08
1890,1.226981112267822e-06,8.25852666253013e-08
1891,1.1569209164008498e-06,8.860165934265751e-08
1892,1.1308396778986207e-06,6.64462296295909e-08
1893,1.0321506351829157e-06,8.313862309705655e-08
1894,1.0536173249420244e-06,1.1468801375258408e-07
1895,1.1627963658611407e-06,8.546432894718237e-08
1896,1.1027443633793155e-06,1.1027444202227343e-07
1897,1.035989726005937e-06,1.0604618694287637e-07
1898,1.1599627214309294e-06,7.525611778191887e-08
1899,1.2243585842952598e-06,8.457194944355706e-08
1900,1.0122553248947952e-06,7.630847942419194e-08
1901,1.0378288379797596e-06,1.3077648836068434e-07
1902,9.791106094780844e-07,7.561837378489145e-08
1903,1.0584432175164693e-06,8.478346114060287e-08
1904,1.0566512855803012e-06,1.1017981904615226e-07
1905,1.0739539675341803e-06,1.0992416843436104e-07
1906,9.7276529231749e-07,9.928276423210036e-08
1907,1.0316543921362609e-06,1.1211398864841016e-07
1908,1.194449851027457e-06,9.528094557786915e-08
1909,1.0913951200564043e-06,1.072691796499825e-07
1910,9.913399026117986e-07,7.90934268080079e-08
1911,1.0656709719114588e-06,1.3886176197797084e-07
1912,1.0908528338404722e-06,1.1981669112426374e-07
1913,1.149157924373867e-06,9.916590848479956e-08
1914,1.068130586645566e-06,8.036092175034426e-08
1915,1.1015011978088296e-06,1.4136914217033336e-07
1916,1.1954358569710166e-06,8.789969285771804e-08
1917,1.0867726132346434e-06,9.760117425372528e-08
1918,9.855310736384126e-07,9.074237539152818e-08
1919,1.1021794534826768e-06,1.1878124361874853e-07
1920,9.260839419766853e-07,1.2872794519225295e-07
1921,9.730980536915013e-07,1.1434848723457236e-07
1922,8.809254836705804e-07,1.3501622520006862e-07
1923,8.683845749146712e-07,1.0403629158162175e-07
1924,1.0223058097835747e-06,1.0313299358966077e-07
1925,8.95251673682651e-07,1.0668232586219517e-07
1926,1.0410493587187375e-06,1.0365909020038089e-07
1927,1.0903942211371032e-06,1.0257287064163734e-07
1928,1.0180602885156986e-06,7.769708243454687e-08
1929,9.112852694670437e-07,8.466708778520626e-08
1930,9.495257700109505e-07,9.978423121115298e-08
1931,9.30677117594314e-07,1.0721035437200044e-07
1932,8.504600259584549e-07,7.890866104975913e-08
1933,8.327700697918772e-07,1.1011835709950901e-07
1934,8.950240157901135e-07,8.866369149984621e-08
1935,9.215578984367312e-07,1.1848601388919633e-07
1936,6.571595463356061e-07,1.1275984235226133e-07
1937,8.209408974835242e-07,1.0324716892551322e-07
1938,7.960641710269556e-07,1.0890780188788085e-07
