year,beaucoup_ADV eu_VERB,beaucoup_ADV lu_VERB
1800,9.432493897065797e-09,8.803660733747165e-08
1801,1.904946067554647e-08,6.429193177837078e-08
1802,1.5664880947952042e-08,3.5805442166747525e-08
1803,1.950339267864365e-08,6.631153581793114e-08
1804,1.730295728918918e-08,9.145848167690929e-08
1805,1.7057265822018053e-08,6.538618890772341e-08
1806,8.645007376628655e-09,3.458002950651462e-08
1807,1.4234775136401367e-08,5.693910232196231e-09
1808,1.8128591960930862e-08,6.118399653587403e-08
1809,9.036122072814123e-09,5.1957702140725814e-08
1810,1.8721014072298203e-08,3.978215445954447e-08
1811,5.0141535368197765e-09,1.7549536934780008e-08
1812,1.3336041604361526e-08,1.7070132685148565e-07
1813,8.627225156487839e-09,9.489947672136623e-08
1814,6.293354282149721e-09,2.2026739543434815e-08
1815,1.6183340889597275e-08,6.203614333344376e-08
1816,1.3905623319487859e-08,2.3176038865813098e-08
1817,2.1796227045456362e-08,2.9580593974287694e-08
1818,2.384235386898581e-08,2.2650237241350624e-08
1819,1.449147024601416e-08,5.589566853814176e-08
1820,1.898636980968149e-08,5.458581142647745e-08
1821,1.1833785507064931e-08,1.0058717947458717e-07
1822,2.3058916553964082e-08,6.717162648328667e-08
1823,1.680056804787e-08,4.5460360809101985e-08
1824,5.894778887238772e-09,5.810567671460376e-08
1825,2.8177417732422327e-08,6.60408261410339e-08
1826,9.688783109140786e-09,2.9947145208097936e-08
1827,6.452091305675367e-09,3.6869092667757286e-08
1828,5.503380862137419e-09,2.4765213879618386e-08
1829,1.2002446148073886e-08,3.772197487705853e-08
1830,1.1480519646056564e-08,1.982998831806526e-08
1831,1.5591206548037917e-08,4.053713453799901e-08
1832,2.4353944638733083e-08,2.570694235259907e-08
1833,1.3900354645102198e-08,3.1275796175123105e-08
1834,5.600718555598405e-09,3.267085801894609e-08
1835,2.0420337421001022e-08,1.8151411040889798e-08
1836,1.4113575197427508e-08,3.1587525484155776e-08
1837,1.8090515752078318e-08,2.7135774516295896e-08
1838,2.840472923537618e-08,2.209256599883247e-08
